Val loss: 2.295757296681404, pck_50: 44.72968514328807, pck_40: 31.86993306938161, pck_30: 20.31450320512819, pck_20: 10.205505279034686, pck_10: 2.7491044494720986, pck_5: 0.7147907239819051
Val loss: 0.8487436671669667, pck_50: 77.71563914027152, pck_40: 64.34990101809954, pck_30: 46.31551659125187, pck_20: 25.021210407239828, pck_10: 6.998963046757166, pck_5: 1.8409455128205152
Val loss: 0.5170094090012404, pck_50: 89.72650358220214, pck_40: 80.30990761689284, pck_30: 63.089531485671124, pck_20: 38.13065610859732, pck_10: 12.639399509803926, pck_5: 3.4880514705882337
Val loss: 0.42082389650436547, pck_50: 93.11168457767727, pck_40: 85.50115478883858, pck_30: 70.0605674962293, pck_20: 44.447468891402735, pck_10: 15.538744343891416, pck_5: 4.423901772247363
Val loss: 0.386937615275383, pck_50: 94.34389140271495, pck_40: 87.70668363499232, pck_30: 72.90229072398196, pck_20: 47.29602658371041, pck_10: 16.406485671191565, pck_5: 4.511924962292607
Val loss: 0.36719877874621976, pck_50: 95.12278469079932, pck_40: 89.37700320512818, pck_30: 74.81228789592764, pck_20: 49.08194287330315, pck_10: 16.975513763197593, pck_5: 4.624104449472098
Val loss: 0.3594174125446723, pck_50: 95.35774886877824, pck_40: 89.93754713423837, pck_30: 75.96472002262433, pck_20: 50.447421757164385, pck_10: 17.702205882352924, pck_5: 4.891944758672696
Val loss: 0.3518556216588387, pck_50: 95.43127828054291, pck_40: 90.27773849924574, pck_30: 76.88207013574657, pck_20: 51.61045908748113, pck_10: 18.209370286576167, pck_5: 5.079656862745098
Val loss: 0.34714014363976625, pck_50: 95.45955882352945, pck_40: 90.3994626696833, pck_30: 77.26656768476609, pck_20: 52.318061840120706, pck_10: 18.64453714177978, pck_5: 5.222473604826543
Val loss: 0.34310168125308477, pck_50: 95.49054958521879, pck_40: 90.63053827300156, pck_30: 77.8139140271493, pck_20: 53.18815987933634, pck_10: 19.174915158371036, pck_5: 5.393453054298643
Val loss: 0.3399355828475494, pck_50: 95.50975678733037, pck_40: 90.74000754147816, pck_30: 78.17684766214178, pck_20: 53.74399038461542, pck_10: 19.604543740573135, pck_5: 5.555005656108601
Val loss: 0.3360499741652837, pck_50: 95.5497030542987, pck_40: 90.89496134992456, pck_30: 78.56028469079938, pck_20: 54.342123868778316, pck_10: 20.063984728506803, pck_5: 5.676965497737553
Val loss: 0.33286556529884154, pck_50: 95.56949943438919, pck_40: 90.99288273001501, pck_30: 78.90377545248869, pck_20: 54.817708333333336, pck_10: 20.474052601809984, pck_5: 5.81330128205129
Val loss: 0.3302828652067826, pck_50: 95.58328619909503, pck_40: 91.14394796380093, pck_30: 79.33517156862756, pck_20: 55.310968137254925, pck_10: 20.881056749622946, pck_5: 5.958474736048267
Val loss: 0.32716636267992166, pck_50: 95.60979920814474, pck_40: 91.22926093514324, pck_30: 79.59334935897434, pck_20: 55.801399886877746, pck_10: 21.236684577677238, pck_5: 6.067472662141783
Val loss: 0.3239249295340135, pck_50: 95.65646210407232, pck_40: 91.35652337858217, pck_30: 79.93707579185521, pck_20: 56.27238876319753, pck_10: 21.541171757164417, pck_5: 6.11613876319759
Val loss: 0.3215356747404887, pck_50: 95.64750659879329, pck_40: 91.42050810708892, pck_30: 80.2070371417797, pck_20: 56.84365573152333, pck_10: 21.922959087481164, pck_5: 6.263315422322775
Val loss: 0.31865593364032413, pck_50: 95.67508012820508, pck_40: 91.50075414781301, pck_30: 80.45296003016595, pck_20: 57.34987745098034, pck_10: 22.23675527903468, pck_5: 6.407428355957769
Val loss: 0.31688704668329315, pck_50: 95.67625848416284, pck_40: 91.50805995475109, pck_30: 80.52436840120667, pck_20: 57.70680147058824, pck_10: 22.653775452488684, pck_5: 6.5927837481146305
Val loss: 0.31431096029969363, pck_50: 95.68627450980391, pck_40: 91.59997171945697, pck_30: 80.77700791855199, pck_20: 58.135723039215634, pck_10: 22.877545248868792, pck_5: 6.651819381598787
Val loss: 0.31178367054806305, pck_50: 95.7099594645551, pck_40: 91.70731994720961, pck_30: 81.16692590497733, pck_20: 58.76060520361989, pck_10: 23.368684012066353, pck_5: 6.823977187028659
Val loss: 0.30946605735673355, pck_50: 95.73753299396682, pck_40: 91.7193391779789, pck_30: 81.11531391402718, pck_20: 58.97883672699843, pck_10: 23.7423406862745, pck_5: 6.9724500377073895
Val loss: 0.30663859635018387, pck_50: 95.76864159125202, pck_40: 91.82633389894428, pck_30: 81.44301470588238, pck_20: 59.39892062594263, pck_10: 24.06249999999998, pck_5: 7.10065516591252
Val loss: 0.3055348122635713, pck_50: 95.76157145550539, pck_40: 91.83446455505276, pck_30: 81.50452488687783, pck_20: 59.81629430618405, pck_10: 24.549043174962307, pck_5: 7.356358408748108
Val loss: 0.30174373279397304, pck_50: 95.81424396681757, pck_40: 91.98953619909494, pck_30: 81.88972944947209, pck_20: 60.35975207390649, pck_10: 24.87957202111615, pck_5: 7.45086255656109
Val loss: 0.2993140360770317, pck_50: 95.82225678733028, pck_40: 92.1010086726998, pck_30: 82.1682927978884, pck_20: 60.844527714932106, pck_10: 25.276913650075393, pck_5: 7.55008012820513
Val loss: 0.2967717759884321, pck_50: 95.83757541478127, pck_40: 92.14932126696824, pck_30: 82.35199849170435, pck_20: 61.26166572398185, pck_10: 25.590120663650083, pck_5: 7.720352564102574
Val loss: 0.291624831322294, pck_50: 95.86220305429869, pck_40: 92.28966346153847, pck_30: 82.88261217948723, pck_20: 62.16346153846146, pck_10: 25.948812217194583, pck_5: 7.87613122171946
Val loss: 0.2887506605627445, pck_50: 95.85018382352938, pck_40: 92.30828148567113, pck_30: 83.17649415535436, pck_20: 62.92703619909503, pck_10: 26.51642628205127, pck_5: 8.088588800904972
Val loss: 0.28605001133221847, pck_50: 95.88435614630467, pck_40: 92.37191270739069, pck_30: 83.43007635746605, pck_20: 63.37928921568627, pck_10: 26.883130656108595, pck_5: 8.230934200603308
Val loss: 0.28429167416806406, pck_50: 95.94127073906478, pck_40: 92.40066459276025, pck_30: 83.42760180995474, pck_20: 63.461067119155366, pck_10: 26.940280920060335, pck_5: 8.270055618401205
Val loss: 0.2835287080074732, pck_50: 95.90320984162894, pck_40: 92.4449707767723, pck_30: 83.6102469834086, pck_20: 63.956212292609344, pck_10: 27.488687782805417, pck_5: 8.481452677224734
Val loss: 0.2811442223019325, pck_50: 95.9539969834087, pck_40: 92.55361519607848, pck_30: 83.85581636500754, pck_20: 64.20390271493203, pck_10: 27.60463800904979, pck_5: 8.477564102564104
Val loss: 0.2794853324786975, pck_50: 95.97662141779786, pck_40: 92.57282239819014, pck_30: 83.94666760935146, pck_20: 64.33634992458525, pck_10: 27.824872737556575, pck_5: 8.62120569381598
Val loss: 0.2785205587458152, pck_50: 95.98934766214168, pck_40: 92.60558069381607, pck_30: 83.97400546757163, pck_20: 64.5007305806938, pck_10: 28.096248114630473, pck_5: 8.685661764705868
