Val loss: 0.33872554127413496, pck_50: 95.5742128582202, pck_40: 90.83356900452495, pck_30: 78.15068815987927, pck_20: 53.7837009803921, pck_10: 19.34023849924585, pck_5: 5.198552978883863
Val loss: 0.3332931819443519, pck_50: 95.6495098039215, pck_40: 91.06735482654611, pck_30: 78.76425810708896, pck_20: 54.50049490950226, pck_10: 19.656744909502258, pck_5: 5.303308823529411
Val loss: 0.3299973472952843, pck_50: 95.67637631975865, pck_40: 91.2154741704375, pck_30: 79.15547228506789, pck_20: 55.18311651583713, pck_10: 20.17427884615383, pck_5: 5.4513103318250415
Val loss: 0.3256428535167988, pck_50: 95.74000754147809, pck_40: 91.37031014328801, pck_30: 79.59323152337848, pck_20: 55.76911293363506, pck_10: 20.437994909502258, pck_5: 5.491020927601816
Val loss: 0.3240082846811185, pck_50: 95.7230392156862, pck_40: 91.383036387632, pck_30: 79.69527714932126, pck_20: 56.207461349924564, pck_10: 20.760039592760204, pck_5: 5.644678544494723
Val loss: 0.32163223993892853, pck_50: 95.73824000754149, pck_40: 91.47718702865758, pck_30: 80.02121040723982, pck_20: 56.699189291101035, pck_10: 21.083616138763205, pck_5: 5.716086915535442
Val loss: 0.3182413469140346, pck_50: 95.77712575414778, pck_40: 91.61411199095014, pck_30: 80.31438536953243, pck_20: 57.07378865007541, pck_10: 21.239041289592762, pck_5: 5.743189102564099
Val loss: 0.3172024844644161, pck_50: 95.7587434012067, pck_40: 91.59891119909506, pck_30: 80.44211915535445, pck_20: 57.475018853695346, pck_10: 21.628723604826547, pck_5: 5.896139705882351
Val loss: 0.3148505203999006, pck_50: 95.77182315233782, pck_40: 91.69588989441938, pck_30: 80.81683634992463, pck_20: 57.97263857466064, pck_10: 21.797935520361992, pck_5: 5.861967383107089
Val loss: 0.3126495249569416, pck_50: 95.7792467948718, pck_40: 91.75162613122167, pck_30: 80.97320418552039, pck_20: 58.38317779034686, pck_10: 22.099594645550532, pck_5: 5.99264705882354
Val loss: 0.3113363330467389, pck_50: 95.7700556184012, pck_40: 91.77696078431372, pck_30: 81.09893476621421, pck_20: 58.788532239819, pck_10: 22.382046568627437, pck_5: 6.072068250377075
Val loss: 0.30907473767606114, pck_50: 95.77618306938159, pck_40: 91.85355392156868, pck_30: 81.36041195324293, pck_20: 59.13720776772253, pck_10: 22.55373303167422, pck_5: 6.178945135746609
Val loss: 0.30722240725388894, pck_50: 95.7836067119155, pck_40: 91.88713706636506, pck_30: 81.54305712669688, pck_20: 59.5065045248869, pck_10: 22.82169117647057, pck_5: 6.234917043740571
Val loss: 0.30493090089697106, pck_50: 95.82708804675713, pck_40: 91.99012537707388, pck_30: 81.7302978883861, pck_20: 59.73758012820513, pck_10: 22.9104213800905, pck_5: 6.315870098039218
Val loss: 0.3032926234488304, pck_50: 95.81259426847654, pck_40: 92.01546003016588, pck_30: 81.92543363499247, pck_20: 60.1283229638009, pck_10: 23.214908559577687, pck_5: 6.4135558069381515
Val loss: 0.3016859303873319, pck_50: 95.83557220965308, pck_40: 92.07661670437406, pck_30: 82.09158182503762, pck_20: 60.37365667420814, pck_10: 23.280425150829544, pck_5: 6.449495663650073
Val loss: 0.3002922324607005, pck_50: 95.81789687028655, pck_40: 92.0911104826546, pck_30: 82.1912707390648, pck_20: 60.78278186274503, pck_10: 23.66291949472097, pck_5: 6.536929675716435
Val loss: 0.29910925472011934, pck_50: 95.79527243589737, pck_40: 92.07897341628959, pck_30: 82.30333239064852, pck_20: 61.233149509803894, pck_10: 24.150405354449482, pck_5: 6.683634992458521
Val loss: 0.2976310909654085, pck_50: 95.80257824283554, pck_40: 92.11326357466059, pck_30: 82.47442967571637, pck_20: 61.57145550527902, pck_10: 24.261524321266943, pck_5: 6.791101055806932
Val loss: 0.29600244459624475, pck_50: 95.85218702865755, pck_40: 92.15662707390658, pck_30: 82.59250094268481, pck_20: 61.55165912518853, pck_10: 24.262349170437396, pck_5: 6.792515082956258
Test result: {'loss': 0.295808690900986, 'pck_50': 95.8830599547511, 'pck_40': 92.0893429487179, 'pck_30': 82.42941647812981, 'pck_20': 61.501932503770746, 'pck_10': 24.410822021116157, 'pck_5': 6.8154930241327305}
