Val loss: 0.8615672732775028, pck_50: 77.10383672699854, pck_40: 61.01703902714938, pck_30: 40.76168929110106, pck_20: 20.470281862745136, pck_10: 5.4626225490196125, pck_5: 1.3645361990950242
Val loss: 0.5517476182144422, pck_50: 89.89654034690808, pck_40: 78.56900452488685, pck_30: 59.21839649321261, pck_20: 33.15033465309199, pck_10: 9.527125754147802, pck_5: 2.468420060331827
Val loss: 0.47157440901948855, pck_50: 92.40349264705883, pck_40: 83.69367458521856, pck_30: 66.43429487179486, pck_20: 39.694216628959296, pck_10: 11.974688914027151, pck_5: 3.1062641402714903
Val loss: 0.43704692526505545, pck_50: 93.31318344645554, pck_40: 85.57185614630471, pck_30: 69.4272011689291, pck_20: 42.920319570135696, pck_10: 13.424891591251882, pck_5: 3.5337716817496236
Val loss: 0.4260748717074211, pck_50: 93.62851150075423, pck_40: 86.1936745852187, pck_30: 70.41607748868779, pck_20: 43.80161199095022, pck_10: 13.85027809200604, pck_5: 3.6706966440422355
Val loss: 0.41075662976274124, pck_50: 93.98178261689289, pck_40: 87.02441553544483, pck_30: 71.88348416289585, pck_20: 45.5328525641026, pck_10: 14.587811085972834, pck_5: 3.9530307315233753
Val loss: 0.4122893745509478, pck_50: 93.87702677224735, pck_40: 86.92873303167418, pck_30: 71.83045814479642, pck_20: 45.816482843137244, pck_10: 14.81876885369532, pck_5: 4.00287518853695
Val loss: 0.39980261234136727, pck_50: 94.18775923831076, pck_40: 87.54289215686283, pck_30: 72.91902337858227, pck_20: 47.0022624434389, pck_10: 15.417373680241313, pck_5: 4.21144419306184
Val loss: 0.3945673551123876, pck_50: 94.34094551282045, pck_40: 87.92562217194573, pck_30: 73.50678733031673, pck_20: 47.54524886877831, pck_10: 15.707367081447968, pck_5: 4.3130184766214175
Val loss: 0.3824699126183987, pck_50: 94.50803638763199, pck_40: 88.50101338612369, pck_30: 74.5862792232278, pck_20: 48.86924962292612, pck_10: 16.402597096530915, pck_5: 4.4495899321266945
Val loss: 0.37768632798240737, pck_50: 94.6966911764706, pck_40: 88.81115667420809, pck_30: 75.11276866515834, pck_20: 49.46125565610861, pck_10: 16.7218137254902, pck_5: 4.562594268476622
