Val loss: 0.34616577120927666, pck_50: 95.24981146304668, pck_40: 90.27396776018087, pck_30: 78.00197963800906, pck_20: 53.5236378205128, pck_10: 19.23854638009048, pck_5: 5.380844645550522
Val loss: 0.30830913140223576, pck_50: 95.72952017345402, pck_40: 91.84235953996978, pck_30: 81.71521493212668, pck_20: 59.133790535444966, pck_10: 23.012938348416288, pck_5: 6.634261877828056
Val loss: 0.34614128321409227, pck_50: 95.251225490196, pck_40: 90.27679581447953, pck_30: 78.00127262443439, pck_20: 53.53035444947208, pck_10: 19.2399604072398, pck_5: 5.378605769230765
Val loss: 0.7381273015187337, pck_50: 79.50956825037699, pck_40: 65.1106476244344, pck_30: 45.84511689291104, pck_20: 23.901890082956275, pck_10: 6.385510935143289, pck_5: 1.3619438159879347
Val loss: 0.4583926246716426, pck_50: 94.67819098793353, pck_40: 84.63659502262438, pck_30: 62.64682315233776, pck_20: 37.34386783559578, pck_10: 11.20298359728508, pck_5: 2.4440280920060355
Val loss: 0.4404266129892606, pck_50: 93.72890742835597, pck_40: 84.57202111613873, pck_30: 66.32447209653097, pck_20: 39.938489819004516, pck_10: 11.885487368024123, pck_5: 2.809200603318255
Val loss: 0.3531844468930593, pck_50: 95.25275735294125, pck_40: 89.66888197586714, pck_30: 75.64597473604836, pck_20: 52.121747737556554, pck_10: 19.785303544494717, pck_5: 5.59990101809955
Val loss: 0.3465430748863862, pck_50: 95.41159973604832, pck_40: 89.90372831825043, pck_30: 75.88883389894421, pck_20: 53.08069381598789, pck_10: 19.721200980392155, pck_5: 5.018500188536947
Val loss: 0.359639961960224, pck_50: 95.22318061840124, pck_40: 89.39715309200601, pck_30: 75.04678073152341, pck_20: 51.06299490950224, pck_10: 17.1575697586727, pck_5: 4.505797511312212
Val loss: 0.33990497964505967, pck_50: 95.43410633484176, pck_40: 90.26289121417801, pck_30: 76.56473887631977, pck_20: 54.128959276018094, pck_10: 20.659643665158377, pck_5: 5.164144984917043
Val loss: 0.3527180476543995, pck_50: 95.29329279788845, pck_40: 89.64696455505283, pck_30: 75.47523095776772, pck_20: 52.00497266214181, pck_10: 18.1159266591252, pck_5: 4.996936274509807
Val loss: 0.3451805955515458, pck_50: 95.34207673454016, pck_40: 89.94874151583711, pck_30: 76.08986142533938, pck_20: 53.598227752639474, pck_10: 19.27637160633483, pck_5: 5.072233220211163
Val loss: 0.3484319352759765, pck_50: 95.30213046757177, pck_40: 89.89972190799396, pck_30: 75.98404506033182, pck_20: 52.89439573906487, pck_10: 18.467548076923077, pck_5: 4.857536764705876
Val loss: 0.34538239610309784, pck_50: 95.33842383107105, pck_40: 89.94508861236801, pck_30: 76.07572115384619, pck_20: 53.37705033936654, pck_10: 19.50791855203619, pck_5: 4.98774509803922
Val loss: 0.35189727963163303, pck_50: 95.26430524132728, pck_40: 89.72827111613881, pck_30: 75.4736990950226, pck_20: 52.48043929110104, pck_10: 18.151630844645556, pck_5: 4.74712481146305
Val loss: 0.35098832656557744, pck_50: 95.26065233785816, pck_40: 89.62540064102575, pck_30: 75.61580882352936, pck_20: 52.29956165158375, pck_10: 18.938301282051288, pck_5: 4.790370475113122
Val loss: 0.355361340338221, pck_50: 95.1872407616893, pck_40: 89.49802036199098, pck_30: 75.11924962292609, pck_20: 51.75598604826548, pck_10: 17.977587669683242, pck_5: 4.7200226244343915
