
data_shape
START TRAINING DENOISER AT:  2723554684547
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.35588935017585754
Iter 1: MSE - 384.9904479980469
Iter 2: MSE - 182.82867431640625
Iter 3: MSE - 0.4918910264968872
Iter 4: MSE - 0.49946632981300354
Iter 5: MSE - 0.48865148425102234
Iter 6: MSE - 0.49750420451164246
Iter 7: MSE - 0.4902263879776001
Iter 8: MSE - 0.4899764657020569
Iter 9: MSE - 0.48156043887138367
Iter 10: MSE - 0.5061391592025757
Iter 11: MSE - 0.5029357671737671
Iter 12: MSE - 0.4838942885398865
Iter 13: MSE - 0.4886534512042999
Iter 14: MSE - 0.4895721673965454
Iter 15: MSE - 0.49499860405921936
Iter 16: MSE - 0.4988414943218231
Iter 17: MSE - 0.49832889437675476
Iter 18: MSE - 0.500110924243927
Iter 19: MSE - 0.48844751715660095
Iter 20: MSE - 0.49760666489601135
Iter 21: MSE - 0.5022885799407959
Iter 22: MSE - 0.4986432194709778
Iter 23: MSE - 0.48991069197654724
Iter 24: MSE - 0.49487367272377014
Iter 25: MSE - 0.49309369921684265
Iter 26: MSE - 0.4933547377586365
Iter 27: MSE - 0.49711766839027405
Iter 28: MSE - 0.5004155039787292
Iter 29: MSE - 0.4918237328529358
Iter 30: MSE - 0.5002789497375488
Iter 31: MSE - 0.4971873164176941
Iter 32: MSE - 0.48777028918266296
Iter 33: MSE - 0.5028791427612305
Iter 34: MSE - 0.4935561716556549
Iter 35: MSE - 0.4970203638076782
Iter 36: MSE - 0.4973311424255371
Iter 37: MSE - 0.4953627586364746
Iter 38: MSE - 0.5005549192428589
Iter 39: MSE - 0.485313355922699
Iter 40: MSE - 0.5029546022415161
Iter 41: MSE - 0.4931955635547638
Iter 42: MSE - 0.5083515644073486
Iter 43: MSE - 0.495426207780838
Iter 44: MSE - 0.5112963318824768
Iter 45: MSE - 0.5016774535179138
Iter 46: MSE - 0.49783992767333984
Iter 47: MSE - 0.4971686005592346
Iter 48: MSE - 0.49773359298706055
Iter 49: MSE - 0.5027323365211487
Iter 50: MSE - 0.4957627058029175
Iter 51: MSE - 0.49263912439346313
Iter 52: MSE - 0.49345168471336365
Iter 53: MSE - 0.49096646904945374
Iter 54: MSE - 0.5050495266914368
Iter 55: MSE - 0.48505306243896484
Iter 56: MSE - 0.5000107288360596
Iter 57: MSE - 0.4886760413646698
Iter 58: MSE - 0.49444499611854553
Iter 59: MSE - 0.4948919117450714
Iter 60: MSE - 0.5010328888893127
Iter 61: MSE - 0.49768269062042236
Iter 62: MSE - 0.49143099784851074
Iter 63: MSE - 0.4929042458534241
Iter 64: MSE - 0.5049793720245361
Iter 65: MSE - 0.5034391283988953
Iter 66: MSE - 0.48494601249694824
Iter 67: MSE - 0.5008224844932556
