
data_shape
START TRAINING DENOISER AT:  15019898158762
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.34506943821907043
Iter 1: MSE - 0.67490553855896
Iter 2: MSE - 0.4313201308250427
Iter 3: MSE - 0.2941509783267975
Iter 4: MSE - 0.22148747742176056
Iter 5: MSE - 0.16440986096858978
Iter 6: MSE - 0.1348755955696106
Iter 7: MSE - 0.12461556494235992
Iter 8: MSE - 0.10114140808582306
Iter 9: MSE - 0.09016574174165726
Iter 10: MSE - 0.08293052762746811
Iter 11: MSE - 0.07427608221769333
Iter 12: MSE - 0.06847073882818222
Iter 13: MSE - 0.06409760564565659
Iter 14: MSE - 0.05773703381419182
Iter 15: MSE - 0.05648278072476387
Iter 16: MSE - 0.049305565655231476
Iter 17: MSE - 0.05111487954854965
Iter 18: MSE - 0.045141566544771194
Iter 19: MSE - 0.04362643137574196
Iter 20: MSE - 0.039397161453962326
Iter 21: MSE - 0.03828344866633415
Iter 22: MSE - 0.03843789920210838
Iter 23: MSE - 0.036671899259090424
Iter 24: MSE - 0.05784048140048981
Iter 25: MSE - 0.033881187438964844
Iter 26: MSE - 0.038883522152900696
Iter 27: MSE - 0.030473707243800163
Iter 28: MSE - 0.03366139531135559
Iter 29: MSE - 0.02870745211839676
Iter 30: MSE - 0.03674763813614845
Iter 31: MSE - 0.026873352006077766
Iter 32: MSE - 0.02653571218252182
Iter 33: MSE - 0.027456356212496758
Iter 34: MSE - 0.026067856699228287
Iter 35: MSE - 0.022940991446375847
Iter 36: MSE - 0.021922500804066658
Iter 37: MSE - 0.021671071648597717
Iter 38: MSE - 0.02193044312298298
Iter 39: MSE - 0.024845415726304054
Iter 40: MSE - 0.020743796601891518
Iter 41: MSE - 0.028111187741160393
Iter 42: MSE - 0.019193163141608238
Iter 43: MSE - 0.023310599848628044
Iter 44: MSE - 0.0191090889275074
Iter 45: MSE - 0.026124510914087296
Iter 46: MSE - 0.01762630231678486
Iter 47: MSE - 0.019861292093992233
Iter 48: MSE - 0.016642292961478233
Iter 49: MSE - 0.017160965129733086
Iter 50: MSE - 0.018379824236035347
Iter 51: MSE - 0.015266146510839462
Iter 52: MSE - 0.01731250435113907
Iter 53: MSE - 0.016387920826673508
Iter 54: MSE - 0.028769059106707573
Iter 55: MSE - 0.017347807064652443
Iter 56: MSE - 0.01878078281879425
Iter 57: MSE - 0.015615388751029968
Iter 58: MSE - 0.01734820567071438
Iter 59: MSE - 0.015157532878220081
Iter 60: MSE - 0.016192959621548653
Iter 61: MSE - 0.01670127734541893
Iter 62: MSE - 0.013413622975349426
Iter 63: MSE - 0.013039064593613148
