
data_shape
START TRAINING DENOISER AT:  15265304835315
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.37483397126197815
Iter 1: MSE - 0.2861362397670746
Iter 2: MSE - 0.27904871106147766
Iter 3: MSE - 0.22521857917308807
Iter 4: MSE - 0.19192056357860565
Iter 5: MSE - 0.16689619421958923
Iter 6: MSE - 0.15544646978378296
Iter 7: MSE - 0.14236807823181152
Iter 8: MSE - 0.13641966879367828
Iter 9: MSE - 0.12364279478788376
Iter 10: MSE - 0.12193655222654343
Iter 11: MSE - 0.11264904588460922
Iter 12: MSE - 0.10500713437795639
Iter 13: MSE - 0.10574914515018463
Iter 14: MSE - 0.104996457695961
Iter 15: MSE - 0.09631948918104172
Iter 16: MSE - 0.09239449352025986
Iter 17: MSE - 0.09658456593751907
Iter 18: MSE - 0.09176391363143921
Iter 19: MSE - 0.0889095738530159
Iter 20: MSE - 0.08826827257871628
Iter 21: MSE - 0.08878876268863678
Iter 22: MSE - 0.08215106278657913
Iter 23: MSE - 0.0791851133108139
Iter 24: MSE - 0.0786471739411354
Iter 25: MSE - 0.07879842817783356
Iter 26: MSE - 0.07593699544668198
Iter 27: MSE - 0.07529403269290924
Iter 28: MSE - 0.07495610415935516
Iter 29: MSE - 0.07357283681631088
Iter 30: MSE - 0.0750417560338974
Iter 31: MSE - 0.07126861810684204
Iter 32: MSE - 0.06906750053167343
Iter 33: MSE - 0.07336225360631943
