
data_shape
START TRAINING DENOISER AT:  16638183897418
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.3931124210357666
Iter 1: MSE - 116.40972900390625
Iter 2: MSE - 1131.9163818359375
Iter 3: MSE - 4.634542465209961
Iter 4: MSE - 0.4839518964290619
Iter 5: MSE - 0.490588515996933
Iter 6: MSE - 0.49402084946632385
Iter 7: MSE - 0.5705653429031372
Iter 8: MSE - 0.5009990334510803
Iter 9: MSE - 0.4968082308769226
Iter 10: MSE - 0.47299182415008545
Iter 11: MSE - 0.4958130419254303
Iter 12: MSE - 6.222323894500732
Iter 13: MSE - 0.5066422820091248
Iter 14: MSE - 0.4701281785964966
Iter 15: MSE - 0.49756675958633423
Iter 16: MSE - 0.4996606707572937
Iter 17: MSE - 0.5009548664093018
Iter 18: MSE - 0.48720380663871765
Iter 19: MSE - 0.5076248049736023
Iter 20: MSE - 0.49298620223999023
Iter 21: MSE - 0.4894898533821106
Iter 22: MSE - 0.5025172829627991
Iter 23: MSE - 0.49558398127555847
Iter 24: MSE - 0.47327476739883423
Iter 25: MSE - 0.5021252036094666
Iter 26: MSE - 0.5201573371887207
Iter 27: MSE - 0.5006062388420105
Iter 28: MSE - 0.5134133100509644
Iter 29: MSE - 0.47347208857536316
Iter 30: MSE - 0.48752716183662415
Iter 31: MSE - 0.5177863836288452
Iter 32: MSE - 0.5014594197273254
Iter 33: MSE - 0.49937593936920166
Iter 34: MSE - 0.48669373989105225
Iter 35: MSE - 0.510273277759552
Iter 36: MSE - 0.5011655688285828
Iter 37: MSE - 0.49989596009254456
Iter 38: MSE - 0.498144268989563
Iter 39: MSE - 0.5173826217651367
Iter 40: MSE - 0.4978612959384918
Iter 41: MSE - 0.5000674724578857
Iter 42: MSE - 0.4941791892051697
Iter 43: MSE - 0.5034391283988953
Iter 44: MSE - 0.4802180826663971
Iter 45: MSE - 0.5144066214561462
Iter 46: MSE - 0.4709967374801636
Iter 47: MSE - 0.48601916432380676
Iter 48: MSE - 0.5044978260993958
Iter 49: MSE - 0.48795366287231445
Iter 50: MSE - 0.479703813791275
Iter 51: MSE - 0.4984450340270996
Iter 52: MSE - 0.5025749206542969
Iter 53: MSE - 0.473397433757782
Iter 54: MSE - 0.5106220841407776
Iter 55: MSE - 0.49867740273475647
Iter 56: MSE - 0.48362040519714355
Iter 57: MSE - 0.4763953685760498
Iter 58: MSE - 0.5136175751686096
Iter 59: MSE - 0.527881920337677
Iter 60: MSE - 0.4897313416004181
Iter 61: MSE - 0.4973742961883545
Iter 62: MSE - 0.47403958439826965
Iter 63: MSE - 0.5011123418807983
Iter 64: MSE - 0.49571692943573
Iter 65: MSE - 0.4878588914871216
Iter 66: MSE - 0.48990771174430847
Iter 67: MSE - 0.5144184827804565
Iter 68: MSE - 0.4833454191684723
Iter 69: MSE - 0.48266589641571045
Iter 70: MSE - 0.5052585601806641
Iter 71: MSE - 0.4939996600151062
Iter 72: MSE - 0.49552246928215027
Iter 73: MSE - 0.486578106880188
Iter 74: MSE - 0.4789452850818634
Iter 75: MSE - 0.49009257555007935
Iter 76: MSE - 0.49238401651382446
Iter 77: MSE - 0.4990794360637665
Iter 78: MSE - 0.5011601448059082
Iter 79: MSE - 0.48009517788887024
Iter 80: MSE - 0.5057274699211121
Iter 81: MSE - 0.48643675446510315
Iter 82: MSE - 0.4926410913467407
Iter 83: MSE - 0.49303337931632996
Iter 84: MSE - 0.5037029385566711
Iter 85: MSE - 0.4938846230506897
Iter 86: MSE - 0.49963274598121643
Iter 87: MSE - 0.5089157223701477
Iter 88: MSE - 0.5007001161575317
Iter 89: MSE - 0.5039432048797607
Iter 90: MSE - 0.5172016620635986
Iter 91: MSE - 0.4979233145713806
