START TRAINING DENOISER AT:  17152882219725
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.37919336557388306
Iter 1: MSE - 1.7700450420379639
Iter 2: MSE - 6.696593284606934
Iter 3: MSE - 7.610721588134766
Iter 4: MSE - 4.926569938659668
Iter 5: MSE - 0.9751919507980347
Iter 6: MSE - 0.48335155844688416
Iter 7: MSE - 0.4815520942211151
Iter 8: MSE - 0.4870167374610901
Iter 9: MSE - 0.4912073016166687
Iter 10: MSE - 0.49125006794929504
Iter 11: MSE - 0.507443368434906
Iter 12: MSE - 0.4934725761413574
Iter 13: MSE - 0.49101707339286804
Iter 14: MSE - 0.4824674129486084
Iter 15: MSE - 0.4908720552921295
Iter 16: MSE - 0.4949485957622528
Iter 17: MSE - 0.48871639370918274
Iter 18: MSE - 0.5033161640167236
Iter 19: MSE - 0.49735283851623535
Iter 20: MSE - 0.49841034412384033
Iter 21: MSE - 0.4963076114654541
Iter 22: MSE - 0.4957762360572815
Iter 23: MSE - 0.489770770072937
Iter 24: MSE - 0.4902128279209137
Iter 25: MSE - 0.49104055762290955
Iter 26: MSE - 0.49609115719795227
Iter 27: MSE - 0.4903700053691864
Iter 28: MSE - 0.49580836296081543
Iter 29: MSE - 0.5004282593727112
Iter 30: MSE - 0.4927048981189728
Iter 31: MSE - 0.4982835054397583
Iter 32: MSE - 0.4893231689929962
Iter 33: MSE - 0.49160873889923096
Iter 34: MSE - 0.50064617395401
Iter 35: MSE - 0.49381473660469055
Iter 36: MSE - 0.489226758480072
Iter 37: MSE - 0.5024155378341675
Iter 38: MSE - 0.48336130380630493
Iter 39: MSE - 0.4905726909637451
Iter 40: MSE - 0.49208295345306396
Iter 41: MSE - 0.49220791459083557
Iter 42: MSE - 0.5009997487068176
Iter 43: MSE - 0.4942416250705719
Iter 44: MSE - 0.4987415373325348
Iter 45: MSE - 0.4938788414001465
Iter 46: MSE - 0.49837297201156616
Iter 47: MSE - 0.4935136139392853
Iter 48: MSE - 0.48891884088516235
Iter 49: MSE - 0.4977298974990845
Iter 50: MSE - 0.4983882009983063
Iter 51: MSE - 0.49952512979507446
Iter 52: MSE - 0.49889758229255676
Iter 53: MSE - 0.4839318096637726
Iter 54: MSE - 0.48183414340019226
Iter 55: MSE - 0.4896232783794403
Iter 56: MSE - 0.49795788526535034
Iter 57: MSE - 0.49712345004081726
Iter 58: MSE - 0.49591705203056335
Iter 59: MSE - 0.4920905828475952
Iter 60: MSE - 0.49570077657699585
Iter 61: MSE - 0.4907640516757965
Iter 62: MSE - 0.4950648546218872
Iter 63: MSE - 0.49989601969718933
Iter 64: MSE - 0.5006008744239807
Iter 65: MSE - 0.5020788311958313
Iter 66: MSE - 0.5043450593948364
Iter 67: MSE - 0.4951326549053192
Iter 68: MSE - 0.4983697831630707
Iter 69: MSE - 0.5071123242378235
Iter 70: MSE - 0.49438267946243286
Iter 71: MSE - 0.5042327642440796
Iter 72: MSE - 0.48767396807670593
Iter 73: MSE - 0.4976670742034912
Iter 74: MSE - 0.5034155249595642
Iter 75: MSE - 0.4950147271156311
Iter 76: MSE - 0.4897737503051758
Iter 77: MSE - 0.49602600932121277
Iter 78: MSE - 0.49603673815727234
Iter 79: MSE - 0.4935949146747589
Iter 80: MSE - 0.4971962869167328
Iter 81: MSE - 0.4820140600204468
Iter 82: MSE - 0.4948650598526001
Iter 83: MSE - 0.49231788516044617
Iter 84: MSE - 0.49228137731552124
Iter 85: MSE - 0.4906000792980194
Iter 86: MSE - 0.4879544675350189
Iter 87: MSE - 0.49745145440101624
Iter 88: MSE - 0.4999372661113739
Iter 89: MSE - 0.5088374614715576
Iter 90: MSE - 0.49921897053718567
Iter 91: MSE - 0.499237596988678
Iter 92: MSE - 0.4809584617614746
Iter 93: MSE - 0.4993722438812256
Iter 94: MSE - 0.4868793189525604
Iter 95: MSE - 0.49882277846336365
Iter 96: MSE - 0.4909226894378662
Iter 97: MSE - 0.4972420930862427
Iter 98: MSE - 0.49463826417922974
Iter 99: MSE - 0.4999738037586212
Iter 100: MSE - 0.4833293557167053
Iter 101: MSE - 0.4981219172477722
Iter 102: MSE - 0.4926150143146515
Iter 103: MSE - 0.4902404546737671
Iter 104: MSE - 0.49132418632507324
Iter 105: MSE - 0.5002150535583496
Iter 106: MSE - 0.4942626655101776
Iter 107: MSE - 0.4844883382320404
Iter 108: MSE - 0.48515528440475464
Iter 109: MSE - 0.5018157958984375
Iter 110: MSE - 0.5001549124717712
Iter 111: MSE - 0.49298402667045593
Iter 112: MSE - 0.5060867667198181
Iter 113: MSE - 0.4897857904434204
Iter 114: MSE - 0.4946915805339813
Iter 115: MSE - 0.499347060918808
Iter 116: MSE - 0.4934363067150116
Iter 117: MSE - 0.4948333501815796
Iter 118: MSE - 0.5046019554138184
Iter 119: MSE - 0.49345216155052185
Iter 120: MSE - 0.4931962490081787
Iter 121: MSE - 0.49402275681495667
Iter 122: MSE - 0.49756279587745667
Iter 123: MSE - 0.5020955204963684
Iter 124: MSE - 0.49552690982818604
Iter 125: MSE - 0.49783068895339966
Iter 126: MSE - 0.4937150776386261
Iter 127: MSE - 0.5069382786750793
Iter 128: MSE - 0.4900495707988739
Iter 129: MSE - 0.49779990315437317
Iter 130: MSE - 0.4935894310474396
Iter 131: MSE - 0.5072485208511353
Iter 132: MSE - 0.4981258809566498
Iter 133: MSE - 0.4983088970184326
Iter 134: MSE - 0.48519352078437805
Iter 135: MSE - 0.4922598600387573
Iter 136: MSE - 0.49453967809677124
Iter 137: MSE - 0.4948432445526123
Iter 138: MSE - 0.5018192529678345
