START TRAINING DENOISER AT:  17373355736011
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.35214489698410034
Iter 1: MSE - 0.7029980421066284
Iter 2: MSE - 0.28406012058258057
Iter 3: MSE - 0.21128509938716888
Iter 4: MSE - 0.16650958359241486
Iter 5: MSE - 0.13948726654052734
Iter 6: MSE - 0.12793466448783875
Iter 7: MSE - 0.1136474683880806
Iter 8: MSE - 0.1087460070848465
Iter 9: MSE - 0.09003738313913345
Iter 10: MSE - 0.08711490035057068
Iter 11: MSE - 0.07541355490684509
Iter 12: MSE - 0.074139304459095
Iter 13: MSE - 0.07132796943187714
Iter 14: MSE - 0.07476340979337692
Iter 15: MSE - 0.07960376143455505
Iter 16: MSE - 0.07333236187696457
Iter 17: MSE - 0.05345138907432556
Iter 18: MSE - 0.058635275810956955
Iter 19: MSE - 0.053518906235694885
Iter 20: MSE - 0.061142127960920334
Iter 21: MSE - 0.05944327637553215
Iter 22: MSE - 0.05818157643079758
Iter 23: MSE - 0.06924532353878021
Iter 24: MSE - 0.05910061299800873
Iter 25: MSE - 0.050026893615722656
Iter 26: MSE - 0.052562616765499115
Iter 27: MSE - 0.045808345079422
Iter 28: MSE - 0.04250791296362877
Iter 29: MSE - 0.043845027685165405
Iter 30: MSE - 0.045698054134845734
Iter 31: MSE - 0.043691959232091904
Iter 32: MSE - 0.040273070335388184
Iter 33: MSE - 0.041746340692043304
Iter 34: MSE - 0.038607221096754074
Iter 35: MSE - 0.04019533097743988
Iter 36: MSE - 0.0364687517285347
Iter 37: MSE - 0.038814231753349304
Iter 38: MSE - 0.0408799983561039
Iter 39: MSE - 0.029758000746369362
Iter 40: MSE - 0.06589451432228088
Iter 41: MSE - 0.056703414767980576
Iter 42: MSE - 0.05335475131869316
Iter 43: MSE - 0.08646692335605621
Iter 44: MSE - 0.04127030447125435
Iter 45: MSE - 0.038445331156253815
Iter 46: MSE - 0.03778873383998871
Iter 47: MSE - 0.037030380219221115
Iter 48: MSE - 0.035964690148830414
Iter 49: MSE - 0.027149982750415802
Iter 50: MSE - 0.05558475852012634
Iter 51: MSE - 0.036631904542446136
Iter 52: MSE - 0.0563838928937912
Iter 53: MSE - 0.03178083151578903
Iter 54: MSE - 0.035317208617925644
Iter 55: MSE - 0.03730994835495949
Iter 56: MSE - 0.03042006678879261
Iter 57: MSE - 0.047979678958654404
Iter 58: MSE - 0.029565175995230675
Iter 59: MSE - 0.02916445955634117
Iter 60: MSE - 0.02679256722331047
Iter 61: MSE - 0.03484717383980751
Iter 62: MSE - 0.02987770363688469
Iter 63: MSE - 0.03131528198719025
Iter 64: MSE - 0.04376989230513573
Iter 65: MSE - 0.02719382382929325
Iter 66: MSE - 0.03299915790557861
Iter 67: MSE - 0.03816959261894226
Iter 68: MSE - 0.035393912345170975
Iter 69: MSE - 0.03783779218792915
Iter 70: MSE - 0.0313059538602829
Iter 71: MSE - 0.04246529936790466
Iter 72: MSE - 0.026401838287711143
Iter 73: MSE - 0.03260345757007599
Iter 74: MSE - 0.02595851942896843
Iter 75: MSE - 0.03042142651975155
Iter 76: MSE - 0.02764851599931717
Iter 77: MSE - 0.028826862573623657
Iter 78: MSE - 0.025680748745799065
Iter 79: MSE - 0.02974032610654831
Iter 80: MSE - 0.03657284751534462
Iter 81: MSE - 0.024485060945153236
Iter 82: MSE - 0.033259522169828415
Iter 83: MSE - 0.02550734393298626
Iter 84: MSE - 0.028101501986384392
Iter 85: MSE - 0.022304097190499306
Iter 86: MSE - 0.021637436002492905
Iter 87: MSE - 0.04000446945428848
Iter 88: MSE - 0.041048984974622726
Iter 89: MSE - 0.045138005167245865
Iter 90: MSE - 0.07277022302150726
Iter 91: MSE - 0.045279741287231445
Iter 92: MSE - 0.07716478407382965
Iter 93: MSE - 0.02914797142148018
Iter 94: MSE - 0.027099955826997757
Iter 95: MSE - 0.02220459096133709
Iter 96: MSE - 0.023895464837551117
Iter 97: MSE - 0.0373394675552845
Iter 98: MSE - 0.022056179121136665
Iter 99: MSE - 0.02416006289422512
Iter 100: MSE - 0.025543050840497017
Iter 101: MSE - 0.02699509635567665
Iter 102: MSE - 0.02379431203007698
Iter 103: MSE - 0.0239088237285614
Iter 104: MSE - 0.024207213893532753
Iter 105: MSE - 0.02513650245964527
Iter 106: MSE - 0.02864466793835163
Iter 107: MSE - 0.031190339475870132
Iter 108: MSE - 0.023124387487769127
Iter 109: MSE - 0.021740606054663658
Iter 110: MSE - 0.02159419283270836
Iter 111: MSE - 0.02024640329182148
Iter 112: MSE - 0.019200799986720085
Iter 113: MSE - 0.02119050920009613
Iter 114: MSE - 0.02602079138159752
Iter 115: MSE - 0.019472993910312653
Iter 116: MSE - 0.02157413400709629
Iter 117: MSE - 0.019143372774124146
Iter 118: MSE - 0.019309235736727715
Iter 119: MSE - 0.019832149147987366
Iter 120: MSE - 0.019329654052853584
Iter 121: MSE - 0.021166807040572166
Iter 122: MSE - 0.021163221448659897
Iter 123: MSE - 0.023021282628178596
Iter 124: MSE - 0.018655018880963326
Iter 125: MSE - 0.021167339757084846
Iter 126: MSE - 0.016099829226732254
Iter 127: MSE - 0.01876646652817726
Iter 128: MSE - 0.03685741499066353
Iter 129: MSE - 0.018812762573361397
Iter 130: MSE - 0.021528994664549828
Iter 131: MSE - 0.01920282281935215
Iter 132: MSE - 0.017310064285993576
Iter 133: MSE - 0.020235057920217514
Iter 134: MSE - 0.025722190737724304
Iter 135: MSE - 0.01720595918595791
Iter 136: MSE - 0.03236107528209686
Iter 137: MSE - 0.020965883508324623
Iter 138: MSE - 0.025640813633799553
Iter 139: MSE - 0.01545187272131443
Iter 140: MSE - 0.02774694561958313
Iter 141: MSE - 0.013127542100846767
Iter 142: MSE - 0.01497143879532814
Iter 143: MSE - 0.013563407585024834
Iter 144: MSE - 0.015818016603589058
Iter 145: MSE - 0.01774154044687748
Iter 146: MSE - 0.015795106068253517
Iter 147: MSE - 0.019824007526040077
Iter 148: MSE - 0.026684623211622238
Iter 149: MSE - 0.023425869643688202
Iter 150: MSE - 0.016443684697151184
Iter 151: MSE - 0.019684098660945892
Iter 152: MSE - 0.02959258295595646
Iter 153: MSE - 0.023971207439899445
Iter 154: MSE - 0.028031351044774055
Iter 155: MSE - 0.019912756979465485
Iter 156: MSE - 0.015390487387776375
Iter 157: MSE - 0.020756693556904793
Iter 158: MSE - 0.02151067741215229
Iter 159: MSE - 0.027222448959946632
Iter 160: MSE - 0.015505668707191944
Iter 161: MSE - 0.019015496596693993
Iter 162: MSE - 0.01600758172571659
Iter 163: MSE - 0.02616257779300213
Iter 164: MSE - 0.031001828610897064
Iter 165: MSE - 0.017811134457588196
Iter 166: MSE - 0.020116833969950676
Iter 167: MSE - 0.01637427695095539
Iter 168: MSE - 0.013496299274265766
Iter 169: MSE - 0.01528498250991106
Iter 170: MSE - 0.01692240498960018
Iter 171: MSE - 0.015468892641365528
Iter 172: MSE - 0.017698194831609726
Iter 173: MSE - 0.01366369053721428
Iter 174: MSE - 0.013912498019635677
Iter 175: MSE - 0.01165772695094347
Iter 176: MSE - 0.016563037410378456
Iter 177: MSE - 0.018441567197442055
Iter 178: MSE - 0.016207441687583923
Iter 179: MSE - 0.027803510427474976
Iter 180: MSE - 0.03398787975311279
Iter 181: MSE - 0.01652628555893898
Iter 182: MSE - 0.014359981752932072
Iter 183: MSE - 0.01495269499719143
Iter 184: MSE - 0.019401999190449715
Iter 185: MSE - 0.021542657166719437
Iter 186: MSE - 0.022778844460844994
Iter 187: MSE - 0.01569349505007267
Iter 188: MSE - 0.03837147727608681
Iter 189: MSE - 0.024902760982513428
Iter 190: MSE - 0.015161242336034775
Iter 191: MSE - 0.012179825454950333
Iter 192: MSE - 0.014278150163590908
Iter 193: MSE - 0.014680586755275726
Iter 194: MSE - 0.012862207368016243
