START TRAINING DENOISER AT:  17556847855819
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.3771604895591736
Iter 1: MSE - 4.2294440269470215
Iter 2: MSE - 22.618778228759766
Iter 3: MSE - 37.209964752197266
Iter 4: MSE - 16.0434513092041
Iter 5: MSE - 0.5706236958503723
Iter 6: MSE - 0.49545198678970337
Iter 7: MSE - 0.5239192843437195
Iter 8: MSE - 0.5135106444358826
Iter 9: MSE - 0.5052460432052612
Iter 10: MSE - 0.49175065755844116
Iter 11: MSE - 0.4902728497982025
Iter 12: MSE - 0.4980437457561493
Iter 13: MSE - 0.49114519357681274
Iter 14: MSE - 0.49616655707359314
Iter 15: MSE - 0.4998895525932312
Iter 16: MSE - 0.49695679545402527
Iter 17: MSE - 0.4975747764110565
Iter 18: MSE - 0.49487629532814026
Iter 19: MSE - 0.49852919578552246
Iter 20: MSE - 0.4929310977458954
Iter 21: MSE - 0.4975658357143402
Iter 22: MSE - 0.5018767714500427
Iter 23: MSE - 0.5064279437065125
Iter 24: MSE - 0.49761608242988586
Iter 25: MSE - 0.49188706278800964
Iter 26: MSE - 0.5003277063369751
Iter 27: MSE - 0.4973345994949341
Iter 28: MSE - 0.4988402724266052
Iter 29: MSE - 0.4944153130054474
Iter 30: MSE - 0.49336063861846924
Iter 31: MSE - 0.4948015511035919
Iter 32: MSE - 0.4952825903892517
Iter 33: MSE - 0.4933752715587616
Iter 34: MSE - 0.4904797375202179
Iter 35: MSE - 0.5015373229980469
Iter 36: MSE - 0.49713000655174255
Iter 37: MSE - 0.4887233376502991
Iter 38: MSE - 0.4879656136035919
Iter 39: MSE - 0.49161767959594727
Iter 40: MSE - 0.49480390548706055
Iter 41: MSE - 0.48963144421577454
Iter 42: MSE - 0.4881974458694458
Iter 43: MSE - 0.49456486105918884
Iter 44: MSE - 0.4960515797138214
Iter 45: MSE - 0.4982771873474121
Iter 46: MSE - 0.4905991852283478
Iter 47: MSE - 0.5022006630897522
Iter 48: MSE - 0.4967969059944153
Iter 49: MSE - 0.48837175965309143
Iter 50: MSE - 0.4872092604637146
Iter 51: MSE - 0.49254801869392395
Iter 52: MSE - 0.489263653755188
Iter 53: MSE - 0.48153793811798096
Iter 54: MSE - 0.4933626353740692
Iter 55: MSE - 0.4842723309993744
Iter 56: MSE - 0.4951043725013733
Iter 57: MSE - 0.4876106381416321
Iter 58: MSE - 0.48775699734687805
Iter 59: MSE - 0.48894786834716797
Iter 60: MSE - 0.4878554344177246
Iter 61: MSE - 0.4874742031097412
Iter 62: MSE - 0.4827752113342285
Iter 63: MSE - 0.49017155170440674
Iter 64: MSE - 0.48630985617637634
Iter 65: MSE - 0.4912745952606201
Iter 66: MSE - 0.47560182213783264
Iter 67: MSE - 0.4825485348701477
Iter 68: MSE - 0.4762641489505768
Iter 69: MSE - 0.4799274206161499
Iter 70: MSE - 0.47964927554130554
Iter 71: MSE - 0.4820854365825653
Iter 72: MSE - 0.47932472825050354
Iter 73: MSE - 0.4789062738418579
Iter 74: MSE - 0.47839468717575073
Iter 75: MSE - 0.46637383103370667
Iter 76: MSE - 0.4745459258556366
Iter 77: MSE - 0.4773613512516022
Iter 78: MSE - 0.4738210141658783
Iter 79: MSE - 0.47453024983406067
Iter 80: MSE - 0.4839899241924286
Iter 81: MSE - 0.47090306878089905
Iter 82: MSE - 0.46198931336402893
Iter 83: MSE - 0.46963921189308167
Iter 84: MSE - 0.4704650938510895
Iter 85: MSE - 0.46746015548706055
Iter 86: MSE - 0.46625325083732605
Iter 87: MSE - 0.4681670069694519
Iter 88: MSE - 0.4632413983345032
Iter 89: MSE - 0.46724680066108704
Iter 90: MSE - 0.4686312973499298
Iter 91: MSE - 0.4659683406352997
Iter 92: MSE - 0.46692973375320435
Iter 93: MSE - 0.460099995136261
Iter 94: MSE - 0.4686737358570099
Iter 95: MSE - 0.47058045864105225
Iter 96: MSE - 0.46851783990859985
Iter 97: MSE - 0.4605012536048889
Iter 98: MSE - 0.468273401260376
Iter 99: MSE - 0.4658098518848419
Iter 100: MSE - 0.46275100111961365
Iter 101: MSE - 0.4600158631801605
Iter 102: MSE - 0.46652230620384216
Iter 103: MSE - 0.4603242874145508
Iter 104: MSE - 0.46293336153030396
Iter 105: MSE - 0.4540579319000244
Iter 106: MSE - 0.45957568287849426
Iter 107: MSE - 0.45760637521743774
Iter 108: MSE - 0.45608922839164734
Iter 109: MSE - 0.45959556102752686
Iter 110: MSE - 0.45537278056144714
Iter 111: MSE - 0.46445056796073914
Iter 112: MSE - 0.4541185200214386
Iter 113: MSE - 0.4544701874256134
Iter 114: MSE - 0.4551374912261963
Iter 115: MSE - 0.45252737402915955
Iter 116: MSE - 0.4638313055038452
Iter 117: MSE - 0.4613184630870819
Iter 118: MSE - 0.45050185918807983
Iter 119: MSE - 0.4585588574409485
Iter 120: MSE - 0.4512266516685486
Iter 121: MSE - 0.44765323400497437
Iter 122: MSE - 0.44901207089424133
Iter 123: MSE - 0.45618605613708496
Iter 124: MSE - 0.4622507691383362
Iter 125: MSE - 0.4484701156616211
Iter 126: MSE - 0.45124590396881104
Iter 127: MSE - 0.4535716474056244
Iter 128: MSE - 0.44956108927726746
Iter 129: MSE - 0.45601195096969604
