START TRAINING DENOISER AT:  17781754868802
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.34343886375427246
Iter 1: MSE - 0.3368942439556122
Iter 2: MSE - 0.30672067403793335
Iter 3: MSE - 0.3255479633808136
Iter 4: MSE - 0.2411724179983139
Iter 5: MSE - 0.2067684382200241
Iter 6: MSE - 0.16224528849124908
Iter 7: MSE - 0.14922764897346497
Iter 8: MSE - 0.15395916998386383
Iter 9: MSE - 0.13381069898605347
Iter 10: MSE - 0.10573598742485046
Iter 11: MSE - 0.10063999891281128
Iter 12: MSE - 0.10701015591621399
Iter 13: MSE - 0.09450412541627884
Iter 14: MSE - 0.09162362664937973
Iter 15: MSE - 0.08372904360294342
Iter 16: MSE - 0.07393055409193039
Iter 17: MSE - 0.06724318861961365
Iter 18: MSE - 0.06618905812501907
Iter 19: MSE - 0.06316427141427994
Iter 20: MSE - 0.05805369094014168
Iter 21: MSE - 0.057595524936914444
Iter 22: MSE - 0.0582299679517746
Iter 23: MSE - 0.054767075926065445
Iter 24: MSE - 0.0558580718934536
Iter 25: MSE - 0.050251878798007965
Iter 26: MSE - 0.04408789798617363
Iter 27: MSE - 0.0421346053481102
Iter 28: MSE - 0.04192494601011276
Iter 29: MSE - 0.04786241054534912
Iter 30: MSE - 0.04358210042119026
Iter 31: MSE - 0.040040358901023865
Iter 32: MSE - 0.04043562710285187
Iter 33: MSE - 0.04280955344438553
Iter 34: MSE - 0.03628562390804291
Iter 35: MSE - 0.03349519520998001
Iter 36: MSE - 0.0327296257019043
Iter 37: MSE - 0.05716462433338165
Iter 38: MSE - 0.03423599153757095
Iter 39: MSE - 0.0319950096309185
Iter 40: MSE - 0.042344626039266586
Iter 41: MSE - 0.036894336342811584
Iter 42: MSE - 0.030077144503593445
Iter 43: MSE - 0.04889227822422981
Iter 44: MSE - 0.02834273874759674
Iter 45: MSE - 0.029418235644698143
Iter 46: MSE - 0.02508479543030262
Iter 47: MSE - 0.030358880758285522
Iter 48: MSE - 0.025248762220144272
Iter 49: MSE - 0.024636326357722282
Iter 50: MSE - 0.02961030602455139
Iter 51: MSE - 0.02758130431175232
Iter 52: MSE - 0.022557390853762627
Iter 53: MSE - 0.022368133068084717
Iter 54: MSE - 0.023376138880848885
Iter 55: MSE - 0.0233222097158432
Iter 56: MSE - 0.023821569979190826
Iter 57: MSE - 0.024358058348298073
Iter 58: MSE - 0.020886389538645744
Iter 59: MSE - 0.021392907947301865
Iter 60: MSE - 0.019798502326011658
Iter 61: MSE - 0.018861031159758568
Iter 62: MSE - 0.022665102034807205
Iter 63: MSE - 0.02113356441259384
Iter 64: MSE - 0.0192179623991251
Iter 65: MSE - 0.024808039888739586
Iter 66: MSE - 0.02086740918457508
Iter 67: MSE - 0.019029861316084862
Iter 68: MSE - 0.021806173026561737
Iter 69: MSE - 0.019758952781558037
Iter 70: MSE - 0.019537828862667084
Iter 71: MSE - 0.01744375191628933
Iter 72: MSE - 0.019505538046360016
Iter 73: MSE - 0.01752794347703457
Iter 74: MSE - 0.017947601154446602
Iter 75: MSE - 0.018024800345301628
Iter 76: MSE - 0.018706878647208214
Iter 77: MSE - 0.018705612048506737
Iter 78: MSE - 0.01740625686943531
Iter 79: MSE - 0.020820947363972664
Iter 80: MSE - 0.01610392890870571
Iter 81: MSE - 0.01994338259100914
Iter 82: MSE - 0.01966460421681404
Iter 83: MSE - 0.01693057455122471
Iter 84: MSE - 0.015312796458601952
Iter 85: MSE - 0.014301741495728493
Iter 86: MSE - 0.01600031368434429
Iter 87: MSE - 0.014225347898900509
Iter 88: MSE - 0.01716519519686699
Iter 89: MSE - 0.016440609470009804
Iter 90: MSE - 0.014803104102611542
Iter 91: MSE - 0.015701547265052795
Iter 92: MSE - 0.014319476671516895
Iter 93: MSE - 0.01676727831363678
Iter 94: MSE - 0.014550100080668926
Iter 95: MSE - 0.013353638350963593
Iter 96: MSE - 0.013695252127945423
Iter 97: MSE - 0.01400733832269907
Iter 98: MSE - 0.019113536924123764
Iter 99: MSE - 0.012687749229371548
Iter 100: MSE - 0.01456499844789505
Iter 101: MSE - 0.015760958194732666
Iter 102: MSE - 0.014253459870815277
Iter 103: MSE - 0.02599858120083809
Iter 104: MSE - 0.021506095305085182
Iter 105: MSE - 0.029666999354958534
Iter 106: MSE - 0.027313917875289917
Iter 107: MSE - 0.024463102221488953
Iter 108: MSE - 0.028493301942944527
Iter 109: MSE - 0.031803715974092484
Iter 110: MSE - 0.028099076822400093
Iter 111: MSE - 0.024349618703126907
Iter 112: MSE - 0.023713037371635437
Iter 113: MSE - 0.03378898277878761
Iter 114: MSE - 0.02781275473535061
Iter 115: MSE - 0.031521156430244446
Iter 116: MSE - 0.024613503366708755
Iter 117: MSE - 0.021210450679063797
Iter 118: MSE - 0.027394017204642296
Iter 119: MSE - 0.026349082589149475
Iter 120: MSE - 0.021923499181866646
Iter 121: MSE - 0.022737259045243263
Iter 122: MSE - 0.02605978213250637
Iter 123: MSE - 0.02326950617134571
Iter 124: MSE - 0.018673595041036606
Iter 125: MSE - 0.02179180085659027
Iter 126: MSE - 0.022520646452903748
Iter 127: MSE - 0.01842229627072811
Iter 128: MSE - 0.019150594249367714
Iter 129: MSE - 0.017475290223956108
Iter 130: MSE - 0.018892599269747734
Iter 131: MSE - 0.01819992996752262
Iter 132: MSE - 0.014492018148303032
Iter 133: MSE - 0.01579125039279461
Iter 134: MSE - 0.014660880900919437
Iter 135: MSE - 0.015647374093532562
Iter 136: MSE - 0.015729526057839394
Iter 137: MSE - 0.013610769994556904
Iter 138: MSE - 0.015329050831496716
Iter 139: MSE - 0.015519186854362488
Iter 140: MSE - 0.01393717247992754
Iter 141: MSE - 0.01329230796545744
Iter 142: MSE - 0.013549162074923515
Iter 143: MSE - 0.011472515761852264
Iter 144: MSE - 0.01254080981016159
Iter 145: MSE - 0.012478490360081196
Iter 146: MSE - 0.012560797855257988
Iter 147: MSE - 0.01066247932612896
Iter 148: MSE - 0.014154724776744843
Iter 149: MSE - 0.009637103416025639
Iter 150: MSE - 0.010555068962275982
Iter 151: MSE - 0.01083686575293541
Iter 152: MSE - 0.009966840036213398
Iter 153: MSE - 0.010362664237618446
Iter 154: MSE - 0.01149745099246502
Iter 155: MSE - 0.010698146186769009
Iter 156: MSE - 0.012202562764286995
Iter 157: MSE - 0.009983588941395283
Iter 158: MSE - 0.011556586250662804
Iter 159: MSE - 0.010033982805907726
Iter 160: MSE - 0.01109584141522646
Iter 161: MSE - 0.010545550845563412
Iter 162: MSE - 0.011270476505160332
Iter 163: MSE - 0.009192964062094688
Iter 164: MSE - 0.010417171753942966
Iter 165: MSE - 0.010333705693483353
Iter 166: MSE - 0.009693896397948265
Iter 167: MSE - 0.01171944197267294
Iter 168: MSE - 0.010711527429521084
Iter 169: MSE - 0.012110677547752857
Iter 170: MSE - 0.012098455801606178
Iter 171: MSE - 0.009846177883446217
Iter 172: MSE - 0.013968824408948421
Iter 173: MSE - 0.010368810035288334
Iter 174: MSE - 0.011044586077332497
Iter 175: MSE - 0.011948290280997753
Iter 176: MSE - 0.01067928783595562
Iter 177: MSE - 0.009426489472389221
Iter 178: MSE - 0.009788795374333858
Iter 179: MSE - 0.008870209567248821
Iter 180: MSE - 0.008313647471368313
Iter 181: MSE - 0.0099412826821208
Iter 182: MSE - 0.011145942844450474
Iter 183: MSE - 0.008898615837097168
Iter 184: MSE - 0.011852337047457695
Iter 185: MSE - 0.01089519914239645
Iter 186: MSE - 0.009966578334569931
Iter 187: MSE - 0.009662705473601818
Iter 188: MSE - 0.0108060073107481
