START TRAINING DENOISER AT:  466233268416
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.37464621663093567
Iter 1: MSE - 27.875499725341797
Iter 2: MSE - 1.210121750831604
Iter 3: MSE - 0.5832765698432922
Iter 4: MSE - 8.014490127563477
Iter 5: MSE - 0.7163497805595398
Iter 6: MSE - 0.5004295706748962
Iter 7: MSE - 0.5168870091438293
Iter 8: MSE - 0.5462690591812134
Iter 9: MSE - 0.5040115118026733
Iter 10: MSE - 0.49901658296585083
Iter 11: MSE - 0.48890769481658936
Iter 12: MSE - 0.49851685762405396
Iter 13: MSE - 0.5543308258056641
Iter 14: MSE - 0.48699095845222473
Iter 15: MSE - 0.4929233491420746
Iter 16: MSE - 0.4912743866443634
Iter 17: MSE - 0.48939403891563416
Iter 18: MSE - 0.4941968619823456
Iter 19: MSE - 0.4884115159511566
Iter 20: MSE - 0.4903406798839569
Iter 21: MSE - 0.49246302247047424
Iter 22: MSE - 0.4943110942840576
Iter 23: MSE - 0.4932190477848053
Iter 24: MSE - 0.5111729502677917
Iter 25: MSE - 0.49299877882003784
Iter 26: MSE - 0.4975815713405609
Iter 27: MSE - 0.4879351258277893
Iter 28: MSE - 0.4975877106189728
Iter 29: MSE - 0.49582573771476746
Iter 30: MSE - 0.5034028887748718
Iter 31: MSE - 0.5015891194343567
Iter 32: MSE - 0.49577251076698303
Iter 33: MSE - 0.500712513923645
Iter 34: MSE - 0.4948074519634247
Iter 35: MSE - 0.49836620688438416
Iter 36: MSE - 0.501089334487915
Iter 37: MSE - 0.4943981468677521
Iter 38: MSE - 0.488587349653244
Iter 39: MSE - 0.49541983008384705
Iter 40: MSE - 0.4886913001537323
Iter 41: MSE - 0.48184436559677124
Iter 42: MSE - 0.4961761236190796
Iter 43: MSE - 0.49063000082969666
Iter 44: MSE - 0.4914698302745819
Iter 45: MSE - 0.486815482378006
Iter 46: MSE - 0.4858560264110565
Iter 47: MSE - 0.504641592502594
Iter 48: MSE - 0.49457237124443054
Iter 49: MSE - 0.49444088339805603
Iter 50: MSE - 0.4851684868335724
Iter 51: MSE - 0.5004683136940002
Iter 52: MSE - 0.4823947846889496
Iter 53: MSE - 0.49798181653022766
Iter 54: MSE - 0.4842813014984131
Iter 55: MSE - 0.4870204031467438
Iter 56: MSE - 0.49480515718460083
Iter 57: MSE - 0.4934028387069702
Iter 58: MSE - 0.49018779397010803
Iter 59: MSE - 0.49847203493118286
Iter 60: MSE - 0.4913608729839325
Iter 61: MSE - 0.4918955862522125
Iter 62: MSE - 0.4960559904575348
Iter 63: MSE - 0.4906311333179474
Iter 64: MSE - 0.4981519877910614
Iter 65: MSE - 0.49790361523628235
Iter 66: MSE - 0.49734580516815186
Iter 67: MSE - 0.4993361234664917
Iter 68: MSE - 0.4996403157711029
Iter 69: MSE - 0.5020222067832947
Iter 70: MSE - 0.5070717930793762
Iter 71: MSE - 0.49607521295547485
Iter 72: MSE - 0.49962788820266724
Iter 73: MSE - 0.5002169609069824
Iter 74: MSE - 0.49128052592277527
Iter 75: MSE - 0.5002608895301819
Iter 76: MSE - 0.4894666373729706
Iter 77: MSE - 0.4925680160522461
Iter 78: MSE - 0.4890435039997101
Iter 79: MSE - 0.4953945279121399
Iter 80: MSE - 0.48589932918548584
Iter 81: MSE - 0.4818931519985199
Iter 82: MSE - 0.49936580657958984
Iter 83: MSE - 0.4983202815055847
Iter 84: MSE - 0.5101751089096069
Iter 85: MSE - 0.49378833174705505
Iter 86: MSE - 0.4841688871383667
Iter 87: MSE - 0.49636203050613403
Iter 88: MSE - 0.5027884244918823
Iter 89: MSE - 0.4858848452568054
Iter 90: MSE - 0.4919780194759369
Iter 91: MSE - 0.49246853590011597
Iter 92: MSE - 0.4964279234409332
Iter 93: MSE - 0.500163733959198
Iter 94: MSE - 0.4926382601261139
Iter 95: MSE - 0.48766475915908813
Iter 96: MSE - 0.5021094679832458
Iter 97: MSE - 0.4975513219833374
Iter 98: MSE - 0.5013752579689026
Iter 99: MSE - 0.4935136139392853
Iter 100: MSE - 0.501524031162262
Iter 101: MSE - 0.49588412046432495
Iter 102: MSE - 0.4906724989414215
Iter 103: MSE - 0.5013538002967834
Iter 104: MSE - 0.49725380539894104
Iter 105: MSE - 0.5024683475494385
Iter 106: MSE - 0.49268555641174316
Iter 107: MSE - 0.4940313994884491
Iter 108: MSE - 0.49824419617652893
Iter 109: MSE - 0.4998053312301636
Iter 110: MSE - 0.4830341041088104
Iter 111: MSE - 0.49140602350234985
Iter 112: MSE - 0.4965154826641083
Iter 113: MSE - 0.49521660804748535
Iter 114: MSE - 0.49305459856987
Iter 115: MSE - 0.48873940110206604
Iter 116: MSE - 0.4934031069278717
Iter 117: MSE - 0.4999258816242218
Iter 118: MSE - 0.4950322210788727
Iter 119: MSE - 0.49330082535743713
Iter 120: MSE - 0.48348286747932434
Iter 121: MSE - 0.5081509947776794
Iter 122: MSE - 0.4961888790130615
Iter 123: MSE - 0.4994334876537323
Iter 124: MSE - 0.49305301904678345
Iter 125: MSE - 0.48690080642700195
Iter 126: MSE - 0.492690771818161
Iter 127: MSE - 0.49672484397888184
Iter 128: MSE - 0.49941331148147583
Iter 129: MSE - 0.48833152651786804
Iter 130: MSE - 0.4970923960208893
Iter 131: MSE - 0.49082517623901367
Iter 132: MSE - 0.4950815737247467
Iter 133: MSE - 0.49952101707458496
Iter 134: MSE - 0.5027794241905212
Iter 135: MSE - 0.5114006400108337
Iter 136: MSE - 0.49599093198776245
Iter 137: MSE - 0.48773181438446045
Iter 138: MSE - 0.49219438433647156
Iter 139: MSE - 0.4964321553707123
Iter 140: MSE - 0.497770220041275
Iter 141: MSE - 0.4909234344959259
Iter 142: MSE - 0.5008534789085388
Iter 143: MSE - 0.5035895109176636
Iter 144: MSE - 0.4890388250350952
Iter 145: MSE - 0.5043137669563293
Iter 146: MSE - 0.49000993371009827
Iter 147: MSE - 0.496565043926239
Iter 148: MSE - 0.4942241311073303
Iter 149: MSE - 0.4942079484462738
Iter 150: MSE - 0.5084258317947388
Iter 151: MSE - 0.5011517405509949
Iter 152: MSE - 0.5032068490982056
Iter 153: MSE - 0.48414576053619385
Iter 154: MSE - 0.5086338520050049
Iter 155: MSE - 0.494426965713501
Iter 156: MSE - 0.5023501515388489
Iter 157: MSE - 0.4980705976486206
Iter 158: MSE - 0.48704150319099426
Iter 159: MSE - 0.5029376149177551
Iter 160: MSE - 0.5004536509513855
Iter 161: MSE - 0.4903135895729065
Iter 162: MSE - 0.49240541458129883
Iter 163: MSE - 0.4955640435218811
Iter 164: MSE - 0.5013917088508606
Iter 165: MSE - 0.49358829855918884
Iter 166: MSE - 0.4904633164405823
Iter 167: MSE - 0.512255072593689
Iter 168: MSE - 0.4906071126461029
Iter 169: MSE - 0.5040825009346008
Iter 170: MSE - 0.49137285351753235
Iter 171: MSE - 0.4819912016391754
Iter 172: MSE - 0.5017414689064026
Iter 173: MSE - 0.49972349405288696
Iter 174: MSE - 0.49804607033729553
Iter 175: MSE - 0.48685547709465027
Iter 176: MSE - 0.49938318133354187
Iter 177: MSE - 0.4866974651813507
Iter 178: MSE - 0.5029059052467346
Iter 179: MSE - 0.4934656322002411
Iter 180: MSE - 0.4953436851501465
Iter 181: MSE - 0.5018594264984131
Iter 182: MSE - 0.5060467720031738
Iter 183: MSE - 0.49452629685401917
Iter 184: MSE - 0.49705979228019714
Iter 185: MSE - 0.48935365676879883
Iter 186: MSE - 0.49795714020729065
Iter 187: MSE - 0.5021055936813354
Iter 188: MSE - 0.49244391918182373
Iter 189: MSE - 0.5028709769248962
Iter 190: MSE - 0.4993537664413452
Iter 191: MSE - 0.491131067276001
Iter 192: MSE - 0.49523627758026123
Iter 193: MSE - 0.5032452940940857
Iter 194: MSE - 0.4884895086288452
Iter 195: MSE - 0.4961146116256714
Iter 196: MSE - 0.4991876780986786
Iter 197: MSE - 0.5001175999641418
Iter 198: MSE - 0.4975563585758209
Iter 199: MSE - 0.4904223680496216
Iter 200: MSE - 0.5041522979736328
Iter 201: MSE - 0.48683756589889526
Iter 202: MSE - 0.4964562654495239
Iter 203: MSE - 0.49808555841445923
Iter 204: MSE - 0.5096218585968018
Iter 205: MSE - 0.4963248074054718
Iter 206: MSE - 0.4952024817466736
Iter 207: MSE - 0.4952818751335144
Iter 208: MSE - 0.4911378026008606
Iter 209: MSE - 0.4940108060836792
Iter 210: MSE - 0.49390238523483276
Iter 211: MSE - 0.5000897645950317
Iter 212: MSE - 0.506343424320221
Iter 213: MSE - 0.4944382905960083
Iter 214: MSE - 0.5017899870872498
Iter 215: MSE - 0.493533730506897
Iter 216: MSE - 0.492082417011261
Iter 217: MSE - 0.4978877604007721
Iter 218: MSE - 0.5004786252975464
Iter 219: MSE - 0.507836103439331
Iter 220: MSE - 0.4887565076351166
Iter 221: MSE - 0.4900961220264435
Iter 222: MSE - 0.49670320749282837
Iter 223: MSE - 0.4999811053276062
Iter 224: MSE - 0.48749789595603943
Iter 225: MSE - 0.4977438747882843
Iter 226: MSE - 0.4931354224681854
Iter 227: MSE - 0.4938964247703552
Iter 228: MSE - 0.500764012336731
Iter 229: MSE - 0.49811360239982605
Iter 230: MSE - 0.4956994950771332
Iter 231: MSE - 0.4915212094783783
Iter 232: MSE - 0.4942442774772644
Iter 233: MSE - 0.4898662865161896
Iter 234: MSE - 0.4889814555644989
Iter 235: MSE - 0.4896765351295471
Iter 236: MSE - 0.5014628171920776
Iter 237: MSE - 0.4950975477695465
Iter 238: MSE - 0.5014108419418335
Iter 239: MSE - 0.5016589760780334
Iter 240: MSE - 0.4853939414024353
Iter 241: MSE - 0.4950224459171295
Iter 242: MSE - 0.4906134009361267
Iter 243: MSE - 0.4927957057952881
Iter 244: MSE - 0.49576711654663086
Iter 245: MSE - 0.49380794167518616
Iter 246: MSE - 0.49329647421836853
Iter 247: MSE - 0.50266033411026
Iter 248: MSE - 0.48808586597442627
Iter 249: MSE - 0.49655094742774963
Iter 250: MSE - 0.49698370695114136
Iter 251: MSE - 0.49469539523124695
Iter 252: MSE - 0.49258649349212646
Iter 253: MSE - 0.4908914268016815
Iter 254: MSE - 0.4993404746055603
Iter 255: MSE - 0.5009697079658508
Iter 256: MSE - 0.49589455127716064
Iter 257: MSE - 0.49278631806373596
Iter 258: MSE - 0.5027138590812683
Iter 259: MSE - 0.49923422932624817
Iter 260: MSE - 0.4987347424030304
Iter 261: MSE - 0.49759387969970703
Iter 262: MSE - 0.5045146346092224
Iter 263: MSE - 0.5032078623771667
Iter 264: MSE - 0.4970739185810089
Iter 265: MSE - 0.488201767206192
Iter 266: MSE - 0.49247196316719055
Iter 267: MSE - 0.49465838074684143
Iter 268: MSE - 0.4946739971637726
Iter 269: MSE - 0.4987224042415619
Iter 270: MSE - 0.5015000104904175
Iter 271: MSE - 0.5019466876983643
Iter 272: MSE - 0.49751314520835876
Iter 273: MSE - 0.4844578206539154
Iter 274: MSE - 0.4999936521053314
Iter 275: MSE - 0.5007229447364807
Iter 276: MSE - 0.4871406853199005
Iter 277: MSE - 0.4931771755218506
Iter 278: MSE - 0.501032829284668
Iter 279: MSE - 0.4980441927909851
Iter 280: MSE - 0.4995143413543701
Iter 281: MSE - 0.49855610728263855
Iter 282: MSE - 0.5001408457756042
Iter 283: MSE - 0.502539873123169
Iter 284: MSE - 0.5018502473831177
Iter 285: MSE - 0.5026064515113831
Iter 286: MSE - 0.4874420464038849
Iter 287: MSE - 0.49295201897621155
Iter 288: MSE - 0.4981132447719574
Iter 289: MSE - 0.49385324120521545
Iter 290: MSE - 0.5013450980186462
Iter 291: MSE - 0.49126574397087097
Iter 292: MSE - 0.49104902148246765
Iter 293: MSE - 0.4949193596839905
Iter 294: MSE - 0.5032106637954712
Iter 295: MSE - 0.49694138765335083
Iter 296: MSE - 0.4953799843788147
Iter 297: MSE - 0.49054667353630066
Iter 298: MSE - 0.4991394579410553
Iter 299: MSE - 0.494351863861084
Iter 300: MSE - 0.49155423045158386
Iter 301: MSE - 0.49855971336364746
Iter 302: MSE - 0.48852458596229553
Iter 303: MSE - 0.49749869108200073
Iter 304: MSE - 0.49414369463920593
Iter 305: MSE - 0.4998277723789215
Iter 306: MSE - 0.4900730848312378
Iter 307: MSE - 0.4957474172115326
Iter 308: MSE - 0.49118754267692566
Iter 309: MSE - 0.4943212866783142
Iter 310: MSE - 0.5061835050582886
Iter 311: MSE - 0.49063557386398315
Iter 312: MSE - 0.48687511682510376
Iter 313: MSE - 0.4945409595966339
Iter 314: MSE - 0.4964613914489746
Iter 315: MSE - 0.4913361668586731
Iter 316: MSE - 0.4968891739845276
Iter 317: MSE - 0.5106581449508667
Iter 318: MSE - 0.5036393404006958
Iter 319: MSE - 0.4784719944000244
Iter 320: MSE - 0.5030314922332764
Iter 321: MSE - 0.48787787556648254
Iter 322: MSE - 0.4964928925037384
Iter 323: MSE - 0.500858724117279
Iter 324: MSE - 0.4978622496128082
Iter 325: MSE - 0.4941018223762512
Iter 326: MSE - 0.49405574798583984
Iter 327: MSE - 0.5049470067024231
Iter 328: MSE - 0.5004515647888184
Iter 329: MSE - 0.49974533915519714
Iter 330: MSE - 0.500981867313385
Iter 331: MSE - 0.4906570017337799
Iter 332: MSE - 0.4994032382965088
Iter 333: MSE - 0.49221235513687134
Iter 334: MSE - 0.49716585874557495
Iter 335: MSE - 0.4934740662574768
Iter 336: MSE - 0.4970104992389679
Iter 337: MSE - 0.49237239360809326
Iter 338: MSE - 0.4993508756160736
Iter 339: MSE - 0.49996262788772583
Iter 340: MSE - 0.48659196496009827
Iter 341: MSE - 0.49543246626853943
Iter 342: MSE - 0.49313950538635254
Iter 343: MSE - 0.49544191360473633
Iter 344: MSE - 0.49613386392593384
Iter 345: MSE - 0.4943012297153473
Iter 346: MSE - 0.4995063543319702
Iter 347: MSE - 0.48672157526016235
Iter 348: MSE - 0.509676992893219
Iter 349: MSE - 0.49267977476119995
Iter 350: MSE - 0.48886632919311523
Iter 351: MSE - 0.5010474920272827
Iter 352: MSE - 0.49521881341934204
Iter 353: MSE - 0.4901694357395172
Iter 354: MSE - 0.49759241938591003
Iter 355: MSE - 0.49456751346588135
Iter 356: MSE - 0.4957031011581421
Iter 357: MSE - 0.5031495094299316
Iter 358: MSE - 0.5007774829864502
Iter 359: MSE - 0.4948543906211853
Iter 360: MSE - 0.5110481381416321
Iter 361: MSE - 0.49432674050331116
Iter 362: MSE - 0.4925430417060852
Iter 363: MSE - 0.4948383867740631
Iter 364: MSE - 0.4927811026573181
Iter 365: MSE - 0.4979685842990875
Iter 366: MSE - 0.4964419901371002
Iter 367: MSE - 0.5034849047660828
Iter 368: MSE - 0.49429988861083984
Iter 369: MSE - 0.5015038251876831
Iter 370: MSE - 0.5009637475013733
Iter 371: MSE - 0.4873872697353363
Iter 372: MSE - 0.4868933856487274
Iter 373: MSE - 0.48945432901382446
Iter 374: MSE - 0.4890221357345581
Iter 375: MSE - 0.5005576610565186
Iter 376: MSE - 0.4935804009437561
Iter 377: MSE - 0.49051061272621155
Iter 378: MSE - 0.4925137758255005
Iter 379: MSE - 0.5085858702659607
Iter 380: MSE - 0.5015884637832642
Iter 381: MSE - 0.4978663921356201
Iter 382: MSE - 0.5033926367759705
Iter 383: MSE - 0.4854125380516052
Iter 384: MSE - 0.49090421199798584
Iter 385: MSE - 0.49392738938331604
Iter 386: MSE - 0.49327829480171204
Iter 387: MSE - 0.49073755741119385
Iter 388: MSE - 0.5047228932380676
Iter 389: MSE - 0.5009533166885376
Iter 390: MSE - 0.5010889768600464
Iter 391: MSE - 0.4930351674556732
Iter 392: MSE - 0.48890432715415955
Iter 393: MSE - 0.4986397325992584
Iter 394: MSE - 0.48644182085990906
Iter 395: MSE - 0.495516836643219
Iter 396: MSE - 0.4876249432563782
Iter 397: MSE - 0.4979828894138336
Iter 398: MSE - 0.5075492262840271
Iter 399: MSE - 0.49411430954933167
Iter 400: MSE - 0.49918845295906067
Iter 401: MSE - 0.49688297510147095
Iter 402: MSE - 0.4888977110385895
Iter 403: MSE - 0.5037438273429871
Iter 404: MSE - 0.4992750883102417
Iter 405: MSE - 0.4839681088924408
Iter 406: MSE - 0.4928685128688812
Iter 407: MSE - 0.48919448256492615
Iter 408: MSE - 0.4887045919895172
Iter 409: MSE - 0.4928884506225586
Iter 410: MSE - 0.5084373950958252
Iter 411: MSE - 0.4946971833705902
Iter 412: MSE - 0.4900124967098236
Iter 413: MSE - 0.5017807483673096
Iter 414: MSE - 0.4994732141494751
Iter 415: MSE - 0.4956110119819641
Iter 416: MSE - 0.5041574239730835
Iter 417: MSE - 0.49620169401168823
Iter 418: MSE - 0.49382296204566956
Iter 419: MSE - 0.4905797243118286
Iter 420: MSE - 0.5026788115501404
Iter 421: MSE - 0.49969297647476196
Iter 422: MSE - 0.49442121386528015
Iter 423: MSE - 0.49430331587791443
Iter 424: MSE - 0.49605220556259155
Iter 425: MSE - 0.49650388956069946
Iter 426: MSE - 0.49703332781791687
Iter 427: MSE - 0.504241943359375
Iter 428: MSE - 0.49539318680763245
Iter 429: MSE - 0.4933576285839081
Iter 430: MSE - 0.48479530215263367
Iter 431: MSE - 0.5020766854286194
Iter 432: MSE - 0.4930625855922699
Iter 433: MSE - 0.493936151266098
Iter 434: MSE - 0.48807886242866516
Iter 435: MSE - 0.49575677514076233
Iter 436: MSE - 0.49293750524520874
Iter 437: MSE - 0.49948039650917053
Iter 438: MSE - 0.4935177266597748
