START TRAINING DENOISER AT:  2004999545203
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.361584335565567
Iter 1: MSE - 353.30413818359375
Iter 2: MSE - 59.66582489013672
Iter 3: MSE - 5.665369033813477
Iter 4: MSE - 1.110490083694458
Iter 5: MSE - 0.521501898765564
Iter 6: MSE - 0.500885009765625
Iter 7: MSE - 0.5006735920906067
Iter 8: MSE - 0.49752140045166016
Iter 9: MSE - 0.49952077865600586
Iter 10: MSE - 0.5044749975204468
Iter 11: MSE - 0.4923732280731201
Iter 12: MSE - 0.49317896366119385
Iter 13: MSE - 0.4918455183506012
Iter 14: MSE - 0.5017411112785339
Iter 15: MSE - 0.49592748284339905
Iter 16: MSE - 0.49209296703338623
Iter 17: MSE - 0.49458426237106323
Iter 18: MSE - 0.49674975872039795
Iter 19: MSE - 0.497445672750473
Iter 20: MSE - 0.500307559967041
Iter 21: MSE - 0.49320101737976074
Iter 22: MSE - 0.5028742551803589
Iter 23: MSE - 0.4988761842250824
Iter 24: MSE - 0.4946068525314331
Iter 25: MSE - 0.4919891655445099
Iter 26: MSE - 0.4983731508255005
Iter 27: MSE - 0.494907408952713
Iter 28: MSE - 0.500226616859436
Iter 29: MSE - 0.49279966950416565
Iter 30: MSE - 0.5000103116035461
Iter 31: MSE - 0.49069663882255554
Iter 32: MSE - 0.48962435126304626
Iter 33: MSE - 0.505821704864502
Iter 34: MSE - 0.49929797649383545
Iter 35: MSE - 0.4943191707134247
Iter 36: MSE - 0.49552351236343384
Iter 37: MSE - 0.4998506009578705
Iter 38: MSE - 0.49139630794525146
Iter 39: MSE - 0.4969286024570465
Iter 40: MSE - 0.5021647214889526
Iter 41: MSE - 0.5022836923599243
Iter 42: MSE - 0.4944969117641449
Iter 43: MSE - 0.49395349621772766
Iter 44: MSE - 0.48825889825820923
Iter 45: MSE - 0.5064910650253296
Iter 46: MSE - 0.4892715513706207
Iter 47: MSE - 0.49266690015792847
Iter 48: MSE - 0.5007745623588562
Iter 49: MSE - 0.49781671166419983
Iter 50: MSE - 0.5064631104469299
Iter 51: MSE - 0.48984020948410034
Iter 52: MSE - 0.5001645088195801
Iter 53: MSE - 0.49216923117637634
Iter 54: MSE - 0.5046253204345703
Iter 55: MSE - 0.4921579957008362
Iter 56: MSE - 0.498946875333786
Iter 57: MSE - 0.487331360578537
Iter 58: MSE - 0.49674999713897705
Iter 59: MSE - 0.4939647912979126
Iter 60: MSE - 0.49983811378479004
Iter 61: MSE - 0.5038195848464966
Iter 62: MSE - 0.495554655790329
Iter 63: MSE - 0.49679604172706604
Iter 64: MSE - 0.4927883744239807
Iter 65: MSE - 0.4977257549762726
Iter 66: MSE - 0.507605791091919
Iter 67: MSE - 0.5015589594841003
Iter 68: MSE - 0.5019769072532654
Iter 69: MSE - 0.4949818253517151
Iter 70: MSE - 0.5011417865753174
Iter 71: MSE - 0.4898408055305481
Iter 72: MSE - 0.4901275932788849
Iter 73: MSE - 0.4886806905269623
Iter 74: MSE - 0.49059098958969116
Iter 75: MSE - 0.48856863379478455
Iter 76: MSE - 0.4931923449039459
Iter 77: MSE - 0.5020263195037842
Iter 78: MSE - 0.5095419883728027
Iter 79: MSE - 0.5055869817733765
Iter 80: MSE - 0.4967125654220581
Iter 81: MSE - 0.503754198551178
Iter 82: MSE - 0.4962518811225891
Iter 83: MSE - 0.48911234736442566
Iter 84: MSE - 0.49277007579803467
Iter 85: MSE - 0.4887048602104187
Iter 86: MSE - 0.5000033378601074
Iter 87: MSE - 0.4979660212993622
Iter 88: MSE - 0.4976353049278259
Iter 89: MSE - 0.5005643963813782
Iter 90: MSE - 0.4920172691345215
Iter 91: MSE - 0.49755528569221497
Iter 92: MSE - 0.49773505330085754
Iter 93: MSE - 0.49668338894844055
Iter 94: MSE - 0.49780941009521484
Iter 95: MSE - 0.4900079071521759
Iter 96: MSE - 0.4870259761810303
