START TRAINING DENOISER AT:  4326195535495
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.3621523082256317
Iter 1: MSE - 3.6323459148406982
Iter 2: MSE - 27.1070613861084
Iter 3: MSE - 11.933090209960938
Iter 4: MSE - 1.3930859565734863
Iter 5: MSE - 0.6699015498161316
Iter 6: MSE - 0.4938322603702545
Iter 7: MSE - 0.503502368927002
Iter 8: MSE - 0.48908883333206177
Iter 9: MSE - 0.4949360489845276
Iter 10: MSE - 0.4975413680076599
Iter 11: MSE - 0.4854237735271454
Iter 12: MSE - 0.49222129583358765
Iter 13: MSE - 0.5028210282325745
Iter 14: MSE - 0.497317910194397
Iter 15: MSE - 0.5074197053909302
Iter 16: MSE - 0.5050562620162964
Iter 17: MSE - 0.4845293164253235
Iter 18: MSE - 0.5017516613006592
Iter 19: MSE - 0.5008019208908081
Iter 20: MSE - 0.49180033802986145
Iter 21: MSE - 0.4965120255947113
Iter 22: MSE - 0.49614208936691284
Iter 23: MSE - 0.5006415843963623
Iter 24: MSE - 0.4896472990512848
Iter 25: MSE - 0.4867905378341675
Iter 26: MSE - 0.5005366802215576
Iter 27: MSE - 0.5011724233627319
Iter 28: MSE - 0.49055925011634827
Iter 29: MSE - 0.508380115032196
Iter 30: MSE - 0.5052226185798645
Iter 31: MSE - 0.4961089789867401
Iter 32: MSE - 0.49125632643699646
Iter 33: MSE - 0.48676928877830505
Iter 34: MSE - 0.49454814195632935
Iter 35: MSE - 0.49479055404663086
Iter 36: MSE - 0.48900365829467773
Iter 37: MSE - 0.5071526765823364
Iter 38: MSE - 0.4931700527667999
Iter 39: MSE - 0.48998722434043884
Iter 40: MSE - 0.5013969540596008
Iter 41: MSE - 0.5003132224082947
Iter 42: MSE - 0.4942619502544403
Iter 43: MSE - 0.4941234290599823
Iter 44: MSE - 0.4979253113269806
Iter 45: MSE - 0.4973343312740326
Iter 46: MSE - 0.5038641691207886
Iter 47: MSE - 0.49478963017463684
Iter 48: MSE - 0.49737024307250977
Iter 49: MSE - 0.5015084147453308
Iter 50: MSE - 0.498360812664032
Iter 51: MSE - 0.5038647055625916
Iter 52: MSE - 0.49594590067863464
Iter 53: MSE - 0.49891042709350586
Iter 54: MSE - 0.48706865310668945
Iter 55: MSE - 0.5000572204589844
Iter 56: MSE - 0.49986228346824646
Iter 57: MSE - 0.5003224611282349
Iter 58: MSE - 0.4897473156452179
Iter 59: MSE - 0.48548784852027893
Iter 60: MSE - 0.47745636105537415
Iter 61: MSE - 0.5051138997077942
Iter 62: MSE - 0.48675650358200073
Iter 63: MSE - 0.4993329346179962
Iter 64: MSE - 0.499491423368454
Iter 65: MSE - 0.4957290589809418
Iter 66: MSE - 0.49223795533180237
Iter 67: MSE - 0.4970896244049072
Iter 68: MSE - 0.508021354675293
Iter 69: MSE - 0.5022974610328674
Iter 70: MSE - 0.48370617628097534
Iter 71: MSE - 0.495039701461792
Iter 72: MSE - 0.4875851571559906
Iter 73: MSE - 0.5105274319648743
Iter 74: MSE - 0.500188410282135
Iter 75: MSE - 0.49893391132354736
Iter 76: MSE - 0.49484434723854065
Iter 77: MSE - 0.493821918964386
Iter 78: MSE - 0.49152040481567383
Iter 79: MSE - 0.49079635739326477
Iter 80: MSE - 0.4946693778038025
Iter 81: MSE - 0.49241533875465393
Iter 82: MSE - 0.49817386269569397
Iter 83: MSE - 0.5033052563667297
Iter 84: MSE - 0.49392077326774597
Iter 85: MSE - 0.48995643854141235
Iter 86: MSE - 0.48604270815849304
Iter 87: MSE - 0.49360373616218567
Iter 88: MSE - 0.49272194504737854
Iter 89: MSE - 0.502422571182251
Iter 90: MSE - 0.4962475001811981
Iter 91: MSE - 0.5021184086799622
Iter 92: MSE - 0.4977000057697296
Iter 93: MSE - 0.4989801049232483
Iter 94: MSE - 0.4973560869693756
Iter 95: MSE - 0.4944511353969574
Iter 96: MSE - 0.4873816668987274
Iter 97: MSE - 0.4956071078777313
Iter 98: MSE - 0.49889248609542847
Iter 99: MSE - 0.4969424903392792
Iter 100: MSE - 0.4865032434463501
Iter 101: MSE - 0.49066877365112305
Iter 102: MSE - 0.4725169241428375
Iter 103: MSE - 0.4990251064300537
Iter 104: MSE - 0.4881460964679718
Iter 105: MSE - 0.49245357513427734
Iter 106: MSE - 0.490648090839386
Iter 107: MSE - 0.49528586864471436
Iter 108: MSE - 0.4895595610141754
Iter 109: MSE - 0.49982723593711853
Iter 110: MSE - 0.4956575334072113
Iter 111: MSE - 0.4762358069419861
Iter 112: MSE - 0.49908456206321716
Iter 113: MSE - 0.4914942979812622
Iter 114: MSE - 0.49672719836235046
Iter 115: MSE - 0.48771220445632935
Iter 116: MSE - 0.48640772700309753
Iter 117: MSE - 0.4995070695877075
Iter 118: MSE - 0.5006403923034668
Iter 119: MSE - 0.49239733815193176
Iter 120: MSE - 0.501704752445221
Iter 121: MSE - 0.49795976281166077
Iter 122: MSE - 0.5016869902610779
Iter 123: MSE - 0.5045652389526367
Iter 124: MSE - 0.5043905377388
Iter 125: MSE - 0.5021136999130249
Iter 126: MSE - 0.4998635947704315
Iter 127: MSE - 0.49345624446868896
Iter 128: MSE - 0.5051397085189819
Iter 129: MSE - 0.4915996193885803
Iter 130: MSE - 0.4884239137172699
Iter 131: MSE - 0.5041730403900146
Iter 132: MSE - 0.4915863573551178
Iter 133: MSE - 0.5094892382621765
Iter 134: MSE - 0.48841699957847595
Iter 135: MSE - 0.5001091957092285
Iter 136: MSE - 0.5028015375137329
Iter 137: MSE - 0.4878588318824768
Iter 138: MSE - 0.4897790849208832
Iter 139: MSE - 0.4988951086997986
Iter 140: MSE - 0.4980830252170563
Iter 141: MSE - 0.4923376441001892
Iter 142: MSE - 0.5043619275093079
