START TRAINING DENOISER AT:  4875445863394
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.36975914239883423
Iter 1: MSE - 0.38649535179138184
Iter 2: MSE - 0.23701566457748413
Iter 3: MSE - 0.18824757635593414
Iter 4: MSE - 0.1551225632429123
Iter 5: MSE - 0.13073308765888214
Iter 6: MSE - 0.10593526810407639
Iter 7: MSE - 0.08993503451347351
Iter 8: MSE - 0.0819253921508789
Iter 9: MSE - 0.07690729200839996
Iter 10: MSE - 0.06492917984724045
Iter 11: MSE - 0.06291400641202927
Iter 12: MSE - 0.05125506967306137
Iter 13: MSE - 0.046981412917375565
Iter 14: MSE - 0.04242398962378502
Iter 15: MSE - 0.04372387379407883
Iter 16: MSE - 0.05203504487872124
Iter 17: MSE - 0.04991251230239868
Iter 18: MSE - 0.0327087938785553
Iter 19: MSE - 0.03940670192241669
Iter 20: MSE - 0.03743423894047737
Iter 21: MSE - 0.027987901121377945
Iter 22: MSE - 0.029427122324705124
Iter 23: MSE - 0.029146401211619377
Iter 24: MSE - 0.027019936591386795
Iter 25: MSE - 0.025032024830579758
Iter 26: MSE - 0.02370297722518444
Iter 27: MSE - 0.028642388060688972
Iter 28: MSE - 0.030796360224485397
Iter 29: MSE - 0.029095983132719994
Iter 30: MSE - 0.06600486487150192
Iter 31: MSE - 0.025285230949521065
Iter 32: MSE - 0.03850655257701874
Iter 33: MSE - 0.027745766565203667
Iter 34: MSE - 0.023275792598724365
Iter 35: MSE - 0.02082015387713909
Iter 36: MSE - 0.020871756598353386
Iter 37: MSE - 0.020066961646080017
Iter 38: MSE - 0.01885438710451126
Iter 39: MSE - 0.022710580378770828
Iter 40: MSE - 0.017861293628811836
Iter 41: MSE - 0.023250790312886238
Iter 42: MSE - 0.01667078770697117
Iter 43: MSE - 0.017456062138080597
Iter 44: MSE - 0.02122718095779419
Iter 45: MSE - 0.01758049614727497
Iter 46: MSE - 0.016206150874495506
Iter 47: MSE - 0.015395917929708958
Iter 48: MSE - 0.01715058460831642
Iter 49: MSE - 0.0153904864564538
Iter 50: MSE - 0.015080465003848076
Iter 51: MSE - 0.023419201374053955
Iter 52: MSE - 0.017857711762189865
Iter 53: MSE - 0.013659683056175709
Iter 54: MSE - 0.027551334351301193
Iter 55: MSE - 0.01711825281381607
Iter 56: MSE - 0.01688537746667862
Iter 57: MSE - 0.01265465747565031
Iter 58: MSE - 0.012712579220533371
Iter 59: MSE - 0.011719702742993832
Iter 60: MSE - 0.016894128173589706
Iter 61: MSE - 0.011636381037533283
Iter 62: MSE - 0.018684731796383858
Iter 63: MSE - 0.013782709836959839
Iter 64: MSE - 0.011980881914496422
Iter 65: MSE - 0.011864115484058857
Iter 66: MSE - 0.013809651136398315
Iter 67: MSE - 0.011308020912110806
Iter 68: MSE - 0.017259016633033752
Iter 69: MSE - 0.01117664948105812
Iter 70: MSE - 0.010837136767804623
Iter 71: MSE - 0.011999142356216908
Iter 72: MSE - 0.009581206366419792
Iter 73: MSE - 0.012470363639295101
Iter 74: MSE - 0.009638519026339054
Iter 75: MSE - 0.010830269195139408
Iter 76: MSE - 0.01131319347769022
Iter 77: MSE - 0.010578322224318981
Iter 78: MSE - 0.010544931516051292
Iter 79: MSE - 0.01132839173078537
Iter 80: MSE - 0.009823408909142017
Iter 81: MSE - 0.00897612702101469
Iter 82: MSE - 0.015706593170762062
Iter 83: MSE - 0.009121190756559372
Iter 84: MSE - 0.013897545635700226
Iter 85: MSE - 0.010441961698234081
Iter 86: MSE - 0.009012079797685146
Iter 87: MSE - 0.010512138716876507
Iter 88: MSE - 0.00929341185837984
Iter 89: MSE - 0.009027604945003986
Iter 90: MSE - 0.01128298882395029
Iter 91: MSE - 0.016005955636501312
Iter 92: MSE - 0.009348684921860695
Iter 93: MSE - 0.02608206309378147
Iter 94: MSE - 0.011541316285729408
Iter 95: MSE - 0.015162328258156776
Iter 96: MSE - 0.011765887960791588
Iter 97: MSE - 0.009275921620428562
Iter 98: MSE - 0.007902109064161777
Iter 99: MSE - 0.008567297831177711
Iter 100: MSE - 0.008938776329159737
Iter 101: MSE - 0.013581745326519012
Iter 102: MSE - 0.008489061146974564
Iter 103: MSE - 0.012305350974202156
Iter 104: MSE - 0.0088820094242692
Iter 105: MSE - 0.007256926037371159
Iter 106: MSE - 0.008147095330059528
Iter 107: MSE - 0.008484098128974438
Iter 108: MSE - 0.007379042450338602
Iter 109: MSE - 0.009074416942894459
Iter 110: MSE - 0.012276158668100834
Iter 111: MSE - 0.007608642801642418
Iter 112: MSE - 0.00880848802626133
Iter 113: MSE - 0.011014278046786785
Iter 114: MSE - 0.010346748866140842
Iter 115: MSE - 0.009571148082613945
Iter 116: MSE - 0.00745362788438797
Iter 117: MSE - 0.0077768005430698395
Iter 118: MSE - 0.009797262959182262
Iter 119: MSE - 0.008913679979741573
Iter 120: MSE - 0.0077663324773311615
Iter 121: MSE - 0.007979786954820156
Iter 122: MSE - 0.014555888250470161
Iter 123: MSE - 0.011561847291886806
Iter 124: MSE - 0.00866839848458767
Iter 125: MSE - 0.0077478098683059216
Iter 126: MSE - 0.007063789758831263
Iter 127: MSE - 0.009928444400429726
Iter 128: MSE - 0.007974541746079922
Iter 129: MSE - 0.010003853589296341
Iter 130: MSE - 0.007868757471442223
Iter 131: MSE - 0.007657087408006191
Iter 132: MSE - 0.00877664890140295
Iter 133: MSE - 0.007361104711890221
Iter 134: MSE - 0.0075123123824596405
Iter 135: MSE - 0.007477856241166592
Iter 136: MSE - 0.0076700071804225445
Iter 137: MSE - 0.00999667402356863
Iter 138: MSE - 0.007122003939002752
Iter 139: MSE - 0.007236592471599579
Iter 140: MSE - 0.007310075219720602
Iter 141: MSE - 0.0071796998381614685
Iter 142: MSE - 0.007760095875710249
Iter 143: MSE - 0.008198088966310024
Iter 144: MSE - 0.006606983486562967
Iter 145: MSE - 0.008323000743985176
Iter 146: MSE - 0.011019066907465458
Iter 147: MSE - 0.014510455541312695
Iter 148: MSE - 0.00960051454603672
Iter 149: MSE - 0.0071426439099013805
Iter 150: MSE - 0.006370126269757748
Iter 151: MSE - 0.007511861622333527
Iter 152: MSE - 0.0067571308463811874
Iter 153: MSE - 0.006403491832315922
Iter 154: MSE - 0.017009401693940163
Iter 155: MSE - 0.01259415689855814
