START TRAINING DENOISER AT:  5640048514594
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.314919114112854
Iter 1: MSE - 41.426456451416016
Iter 2: MSE - 60.65524673461914
Iter 3: MSE - 17.773984909057617
Iter 4: MSE - 1.6886417865753174
Iter 5: MSE - 0.4897155165672302
Iter 6: MSE - 0.5025464296340942
Iter 7: MSE - 0.4819120764732361
Iter 8: MSE - 0.49281615018844604
Iter 9: MSE - 0.4866051971912384
Iter 10: MSE - 0.5186166763305664
Iter 11: MSE - 0.5240435600280762
Iter 12: MSE - 0.5129801034927368
Iter 13: MSE - 0.49714186787605286
Iter 14: MSE - 0.49540501832962036
Iter 15: MSE - 0.5079622864723206
Iter 16: MSE - 0.49764975905418396
Iter 17: MSE - 0.49184471368789673
Iter 18: MSE - 0.5142491459846497
Iter 19: MSE - 0.4989743232727051
Iter 20: MSE - 0.4935954511165619
Iter 21: MSE - 0.4957069158554077
Iter 22: MSE - 0.480055034160614
Iter 23: MSE - 0.47477641701698303
Iter 24: MSE - 0.5036758780479431
Iter 25: MSE - 0.48980647325515747
Iter 26: MSE - 0.5007633566856384
Iter 27: MSE - 0.4969618022441864
Iter 28: MSE - 0.5065343976020813
Iter 29: MSE - 0.4899621605873108
Iter 30: MSE - 0.4968821704387665
Iter 31: MSE - 0.489848256111145
Iter 32: MSE - 0.49311575293540955
Iter 33: MSE - 0.4904477894306183
Iter 34: MSE - 0.5018724799156189
Iter 35: MSE - 0.5009462237358093
Iter 36: MSE - 0.4828020930290222
Iter 37: MSE - 0.5006551146507263
Iter 38: MSE - 0.5031157732009888
Iter 39: MSE - 0.49983668327331543
Iter 40: MSE - 0.5013236403465271
Iter 41: MSE - 0.5059634447097778
Iter 42: MSE - 0.4918403923511505
Iter 43: MSE - 0.5029680132865906
Iter 44: MSE - 0.4992242157459259
Iter 45: MSE - 0.4853802025318146
Iter 46: MSE - 0.4863106310367584
Iter 47: MSE - 0.5030407905578613
Iter 48: MSE - 0.4863989055156708
Iter 49: MSE - 0.4825567603111267
Iter 50: MSE - 0.49202877283096313
Iter 51: MSE - 0.48072129487991333
Iter 52: MSE - 0.49590998888015747
Iter 53: MSE - 0.49236997961997986
Iter 54: MSE - 0.49929842352867126
Iter 55: MSE - 0.5012682676315308
Iter 56: MSE - 0.5018227696418762
Iter 57: MSE - 0.4958721399307251
Iter 58: MSE - 0.4915384352207184
Iter 59: MSE - 0.48708221316337585
Iter 60: MSE - 0.49710631370544434
Iter 61: MSE - 0.5017729997634888
Iter 62: MSE - 0.4879712164402008
Iter 63: MSE - 0.4903189241886139
Iter 64: MSE - 0.5022829174995422
Iter 65: MSE - 0.491666704416275
Iter 66: MSE - 0.4884830117225647
Iter 67: MSE - 0.48312607407569885
Iter 68: MSE - 0.4918613135814667
Iter 69: MSE - 0.504390299320221
Iter 70: MSE - 0.5045402646064758
Iter 71: MSE - 0.478615939617157
Iter 72: MSE - 0.4985257387161255
Iter 73: MSE - 0.498818963766098
Iter 74: MSE - 0.48923546075820923
Iter 75: MSE - 0.4859788417816162
Iter 76: MSE - 0.48322102427482605
Iter 77: MSE - 0.4977640211582184
Iter 78: MSE - 0.4947378933429718
Iter 79: MSE - 0.5032958388328552
Iter 80: MSE - 0.4945943355560303
Iter 81: MSE - 0.5083721876144409
Iter 82: MSE - 0.4811488389968872
Iter 83: MSE - 0.49027642607688904
Iter 84: MSE - 0.5075841546058655
Iter 85: MSE - 0.48971813917160034
Iter 86: MSE - 0.4854587912559509
Iter 87: MSE - 0.49623557925224304
Iter 88: MSE - 0.491036593914032
Iter 89: MSE - 0.49738866090774536
Iter 90: MSE - 0.4959377646446228
Iter 91: MSE - 0.5140106081962585
Iter 92: MSE - 0.5008765459060669
Iter 93: MSE - 0.4909871220588684
Iter 94: MSE - 0.49329549074172974
Iter 95: MSE - 0.4870949685573578
Iter 96: MSE - 0.49461838603019714
Iter 97: MSE - 0.49101191759109497
Iter 98: MSE - 0.5028471350669861
Iter 99: MSE - 0.5091341137886047
Iter 100: MSE - 0.5027013421058655
Iter 101: MSE - 0.49798691272735596
Iter 102: MSE - 0.5001429319381714
Iter 103: MSE - 0.5103780031204224
Iter 104: MSE - 0.5019095540046692
Iter 105: MSE - 0.4952748119831085
Iter 106: MSE - 0.4912271201610565
Iter 107: MSE - 0.5062028765678406
Iter 108: MSE - 0.5078732371330261
Iter 109: MSE - 0.4856007993221283
Iter 110: MSE - 0.5064187049865723
Iter 111: MSE - 0.49782073497772217
Iter 112: MSE - 0.49275466799736023
Iter 113: MSE - 0.4953562617301941
Iter 114: MSE - 0.506276547908783
Iter 115: MSE - 0.48379555344581604
Iter 116: MSE - 0.49045249819755554
Iter 117: MSE - 0.49595630168914795
Iter 118: MSE - 0.5037854909896851
Iter 119: MSE - 0.4933224320411682
Iter 120: MSE - 0.4984131157398224
Iter 121: MSE - 0.49631884694099426
Iter 122: MSE - 0.5003340840339661
Iter 123: MSE - 0.482911080121994
Iter 124: MSE - 0.48575106263160706
Iter 125: MSE - 0.48064273595809937
Iter 126: MSE - 0.48479387164115906
Iter 127: MSE - 0.486078679561615
Iter 128: MSE - 0.4965445101261139
Iter 129: MSE - 0.5061742067337036
Iter 130: MSE - 0.48928895592689514
Iter 131: MSE - 0.5016554594039917
Iter 132: MSE - 0.49591678380966187
Iter 133: MSE - 0.5052536129951477
Iter 134: MSE - 0.4838206470012665
Iter 135: MSE - 0.5043839812278748
Iter 136: MSE - 0.4946480989456177
Iter 137: MSE - 0.5033688545227051
Iter 138: MSE - 0.49115297198295593
Iter 139: MSE - 0.5051974058151245
Iter 140: MSE - 0.5051072239875793
Iter 141: MSE - 0.5058375597000122
Iter 142: MSE - 0.5004382729530334
Iter 143: MSE - 0.49324846267700195
Iter 144: MSE - 0.49455228447914124
Iter 145: MSE - 0.4911097288131714
