START TRAINING DENOISER AT:  6149267417351
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.345201313495636
Iter 1: MSE - 0.2603752017021179
Iter 2: MSE - 0.23126010596752167
Iter 3: MSE - 0.16865506768226624
Iter 4: MSE - 0.14639294147491455
Iter 5: MSE - 0.10768833011388779
Iter 6: MSE - 0.10275732725858688
Iter 7: MSE - 0.0883164033293724
Iter 8: MSE - 0.07798709720373154
Iter 9: MSE - 0.06859435886144638
Iter 10: MSE - 0.06822692602872849
Iter 11: MSE - 0.06437058001756668
Iter 12: MSE - 0.05026411637663841
Iter 13: MSE - 0.04967598244547844
Iter 14: MSE - 0.04802213981747627
Iter 15: MSE - 0.041871894150972366
Iter 16: MSE - 0.039952486753463745
Iter 17: MSE - 0.03704923018813133
Iter 18: MSE - 0.04370845854282379
Iter 19: MSE - 0.030791711062192917
Iter 20: MSE - 0.03596988692879677
Iter 21: MSE - 0.02943255938589573
Iter 22: MSE - 0.042274847626686096
Iter 23: MSE - 0.027010465040802956
Iter 24: MSE - 0.02891668677330017
Iter 25: MSE - 0.025293361395597458
Iter 26: MSE - 0.025990581139922142
Iter 27: MSE - 0.026544418185949326
Iter 28: MSE - 0.024220481514930725
Iter 29: MSE - 0.03863673284649849
Iter 30: MSE - 0.02372182160615921
Iter 31: MSE - 0.02072182670235634
Iter 32: MSE - 0.02306658960878849
Iter 33: MSE - 0.021295657381415367
Iter 34: MSE - 0.023869218304753304
Iter 35: MSE - 0.021038370206952095
Iter 36: MSE - 0.018691640347242355
Iter 37: MSE - 0.02317245863378048
Iter 38: MSE - 0.019322257488965988
Iter 39: MSE - 0.020561890676617622
Iter 40: MSE - 0.017890343442559242
Iter 41: MSE - 0.016792429611086845
Iter 42: MSE - 0.017079655081033707
Iter 43: MSE - 0.017058100551366806
Iter 44: MSE - 0.016705773770809174
Iter 45: MSE - 0.0161148589104414
Iter 46: MSE - 0.017349543049931526
Iter 47: MSE - 0.01685452088713646
Iter 48: MSE - 0.01498448196798563
Iter 49: MSE - 0.0166869405657053
Iter 50: MSE - 0.020668338984251022
Iter 51: MSE - 0.01779547519981861
Iter 52: MSE - 0.015381259843707085
Iter 53: MSE - 0.015806248411536217
Iter 54: MSE - 0.01474392507225275
Iter 55: MSE - 0.019165685400366783
Iter 56: MSE - 0.012637557461857796
Iter 57: MSE - 0.013491113670170307
Iter 58: MSE - 0.018147490918636322
Iter 59: MSE - 0.013501235283911228
Iter 60: MSE - 0.01279978733509779
Iter 61: MSE - 0.015604040585458279
Iter 62: MSE - 0.013275262899696827
Iter 63: MSE - 0.0117264986038208
Iter 64: MSE - 0.014656011015176773
Iter 65: MSE - 0.010856752283871174
Iter 66: MSE - 0.021568942815065384
Iter 67: MSE - 0.015733627602458
Iter 68: MSE - 0.034843169152736664
Iter 69: MSE - 0.023556843400001526
Iter 70: MSE - 0.013644595630466938
Iter 71: MSE - 0.038557812571525574
Iter 72: MSE - 0.012074431404471397
Iter 73: MSE - 0.014405454508960247
Iter 74: MSE - 0.015381348319351673
Iter 75: MSE - 0.0118303457275033
Iter 76: MSE - 0.013771307654678822
Iter 77: MSE - 0.011802315711975098
Iter 78: MSE - 0.011482292786240578
Iter 79: MSE - 0.010388788767158985
Iter 80: MSE - 0.010889289900660515
Iter 81: MSE - 0.01015031710267067
Iter 82: MSE - 0.011838181875646114
Iter 83: MSE - 0.014664174057543278
Iter 84: MSE - 0.0215123500674963
Iter 85: MSE - 0.018497159704566002
Iter 86: MSE - 0.030351614579558372
Iter 87: MSE - 0.011257711797952652
Iter 88: MSE - 0.011605748906731606
Iter 89: MSE - 0.022807449102401733
Iter 90: MSE - 0.013335523195564747
Iter 91: MSE - 0.01503277849406004
Iter 92: MSE - 0.013159780763089657
Iter 93: MSE - 0.015515774488449097
Iter 94: MSE - 0.00940689817070961
Iter 95: MSE - 0.010841886512935162
Iter 96: MSE - 0.010692884214222431
Iter 97: MSE - 0.009417193941771984
Iter 98: MSE - 0.013967727310955524
Iter 99: MSE - 0.011206475086510181
Iter 100: MSE - 0.011148818768560886
Iter 101: MSE - 0.012219508178532124
Iter 102: MSE - 0.010251829400658607
Iter 103: MSE - 0.009187298826873302
Iter 104: MSE - 0.008696090430021286
Iter 105: MSE - 0.010057506151497364
Iter 106: MSE - 0.014622553251683712
Iter 107: MSE - 0.0096678351983428
Iter 108: MSE - 0.011132755316793919
Iter 109: MSE - 0.009100701659917831
Iter 110: MSE - 0.009366837330162525
Iter 111: MSE - 0.010452525690197945
Iter 112: MSE - 0.01167460810393095
Iter 113: MSE - 0.009188349358737469
Iter 114: MSE - 0.008795192465186119
Iter 115: MSE - 0.010902690701186657
Iter 116: MSE - 0.010574610903859138
Iter 117: MSE - 0.008217805996537209
Iter 118: MSE - 0.007804641965776682
Iter 119: MSE - 0.009312466718256474
