START TRAINING DENOISER AT:  6856327862046
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.3863644599914551
Iter 1: MSE - 0.42509642243385315
Iter 2: MSE - 0.44887208938598633
Iter 3: MSE - 0.4808303415775299
Iter 4: MSE - 0.36866846680641174
Iter 5: MSE - 0.2920665144920349
Iter 6: MSE - 0.33941107988357544
Iter 7: MSE - 0.30033618211746216
Iter 8: MSE - 0.28844577074050903
Iter 9: MSE - 0.28866952657699585
Iter 10: MSE - 0.2629428803920746
Iter 11: MSE - 0.23478661477565765
Iter 12: MSE - 0.22680118680000305
Iter 13: MSE - 0.2030792236328125
Iter 14: MSE - 0.20691999793052673
Iter 15: MSE - 0.1988568902015686
Iter 16: MSE - 0.17681069672107697
Iter 17: MSE - 0.16650263965129852
Iter 18: MSE - 0.1530611366033554
Iter 19: MSE - 0.14127638936042786
Iter 20: MSE - 0.13109184801578522
Iter 21: MSE - 0.11191955953836441
Iter 22: MSE - 0.10939144343137741
Iter 23: MSE - 0.10404377430677414
Iter 24: MSE - 0.09476136416196823
Iter 25: MSE - 0.08789524435997009
Iter 26: MSE - 0.08551362156867981
Iter 27: MSE - 0.08046724647283554
Iter 28: MSE - 0.07354361563920975
Iter 29: MSE - 0.07290193438529968
Iter 30: MSE - 0.06663529574871063
Iter 31: MSE - 0.06113414093852043
Iter 32: MSE - 0.06378665566444397
Iter 33: MSE - 0.05860574170947075
Iter 34: MSE - 0.057418130338191986
Iter 35: MSE - 0.0541275329887867
Iter 36: MSE - 0.05632127821445465
Iter 37: MSE - 0.05071141943335533
Iter 38: MSE - 0.04317949339747429
Iter 39: MSE - 0.04404781386256218
Iter 40: MSE - 0.052154477685689926
Iter 41: MSE - 0.04264635220170021
Iter 42: MSE - 0.04852556064724922
Iter 43: MSE - 0.0421631783246994
Iter 44: MSE - 0.04197721183300018
Iter 45: MSE - 0.04054062068462372
Iter 46: MSE - 0.034117184579372406
Iter 47: MSE - 0.035056810826063156
Iter 48: MSE - 0.033217255026102066
Iter 49: MSE - 0.030266454443335533
Iter 50: MSE - 0.031960926949977875
Iter 51: MSE - 0.03012164495885372
Iter 52: MSE - 0.02895398810505867
Iter 53: MSE - 0.02840103954076767
Iter 54: MSE - 0.02624119631946087
Iter 55: MSE - 0.026076575741171837
Iter 56: MSE - 0.02491920255124569
Iter 57: MSE - 0.023920925334095955
Iter 58: MSE - 0.023713603615760803
Iter 59: MSE - 0.024888142943382263
Iter 60: MSE - 0.02267097495496273
Iter 61: MSE - 0.02098451741039753
Iter 62: MSE - 0.020095176994800568
Iter 63: MSE - 0.02112524025142193
Iter 64: MSE - 0.018996788188815117
Iter 65: MSE - 0.019099144265055656
Iter 66: MSE - 0.01815798133611679
Iter 67: MSE - 0.017984913662075996
Iter 68: MSE - 0.0181452427059412
Iter 69: MSE - 0.01830694079399109
Iter 70: MSE - 0.017266269773244858
Iter 71: MSE - 0.016167687252163887
Iter 72: MSE - 0.016129832714796066
Iter 73: MSE - 0.018061799928545952
Iter 74: MSE - 0.015479850582778454
Iter 75: MSE - 0.015566790476441383
Iter 76: MSE - 0.015550157055258751
Iter 77: MSE - 0.015604773536324501
Iter 78: MSE - 0.013842575252056122
Iter 79: MSE - 0.013822337612509727
Iter 80: MSE - 0.01377161405980587
Iter 81: MSE - 0.014933502301573753
Iter 82: MSE - 0.013120162300765514
Iter 83: MSE - 0.013276220299303532
Iter 84: MSE - 0.014268983155488968
Iter 85: MSE - 0.013854837976396084
Iter 86: MSE - 0.012266203761100769
Iter 87: MSE - 0.013404631987214088
Iter 88: MSE - 0.012757455930113792
Iter 89: MSE - 0.012285885401070118
Iter 90: MSE - 0.0121064567938447
Iter 91: MSE - 0.012283309362828732
Iter 92: MSE - 0.012773625552654266
Iter 93: MSE - 0.011936877854168415
Iter 94: MSE - 0.010937303304672241
Iter 95: MSE - 0.011228716000914574
Iter 96: MSE - 0.012427102774381638
Iter 97: MSE - 0.011033336631953716
Iter 98: MSE - 0.015013757161796093
Iter 99: MSE - 0.01209521945565939
Iter 100: MSE - 0.010535279288887978
Iter 101: MSE - 0.010429210029542446
Iter 102: MSE - 0.011688172817230225
Iter 103: MSE - 0.010460072197020054
Iter 104: MSE - 0.011182901449501514
Iter 105: MSE - 0.01193982269614935
Iter 106: MSE - 0.009860185906291008
Iter 107: MSE - 0.011225172318518162
Iter 108: MSE - 0.010563116520643234
Iter 109: MSE - 0.009896596893668175
Iter 110: MSE - 0.010802991688251495
Iter 111: MSE - 0.010033398866653442
Iter 112: MSE - 0.010070083662867546
Iter 113: MSE - 0.009494541212916374
Iter 114: MSE - 0.010580601170659065
Iter 115: MSE - 0.009302191436290741
Iter 116: MSE - 0.00973381008952856
Iter 117: MSE - 0.009256427176296711
Iter 118: MSE - 0.009688090533018112
Iter 119: MSE - 0.009549674578011036
Iter 120: MSE - 0.009933886118233204
Iter 121: MSE - 0.009298938326537609
Iter 122: MSE - 0.012844706885516644
Iter 123: MSE - 0.010474734008312225
Iter 124: MSE - 0.01164848729968071
Iter 125: MSE - 0.00972872506827116
Iter 126: MSE - 0.009556196630001068
Iter 127: MSE - 0.009784354828298092
Iter 128: MSE - 0.0103905675932765
Iter 129: MSE - 0.00919393915683031
Iter 130: MSE - 0.00962459109723568
Iter 131: MSE - 0.009147364646196365
Iter 132: MSE - 0.008880602195858955
Iter 133: MSE - 0.00879939179867506
Iter 134: MSE - 0.009258056990802288
Iter 135: MSE - 0.009428519755601883
Iter 136: MSE - 0.009064645506441593
Iter 137: MSE - 0.008936766535043716
Iter 138: MSE - 0.008688404224812984
Iter 139: MSE - 0.008778001181781292
Iter 140: MSE - 0.008184029720723629
Iter 141: MSE - 0.00856315903365612
Iter 142: MSE - 0.009409655816853046
Iter 143: MSE - 0.008455920964479446
Iter 144: MSE - 0.008060049265623093
Iter 145: MSE - 0.00896280724555254
Iter 146: MSE - 0.009803266264498234
Iter 147: MSE - 0.008717012591660023
Iter 148: MSE - 0.008072313852608204
Iter 149: MSE - 0.008740314282476902
