START TRAINING DENOISER AT:  7103543948547
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.3329313099384308
Iter 1: MSE - 0.28160732984542847
Iter 2: MSE - 0.33451956510543823
Iter 3: MSE - 0.27186140418052673
Iter 4: MSE - 0.20003736019134521
Iter 5: MSE - 0.17584991455078125
Iter 6: MSE - 0.11649251729249954
Iter 7: MSE - 0.12693966925144196
Iter 8: MSE - 0.10355027765035629
Iter 9: MSE - 0.08617706596851349
Iter 10: MSE - 0.08410294353961945
Iter 11: MSE - 0.0709901973605156
Iter 12: MSE - 0.06582944840192795
Iter 13: MSE - 0.06396420300006866
Iter 14: MSE - 0.057751256972551346
Iter 15: MSE - 0.05346616357564926
Iter 16: MSE - 0.05078675597906113
Iter 17: MSE - 0.04450700804591179
Iter 18: MSE - 0.041637398302555084
Iter 19: MSE - 0.04145922511816025
Iter 20: MSE - 0.03725811839103699
Iter 21: MSE - 0.03521769866347313
Iter 22: MSE - 0.030787158757448196
Iter 23: MSE - 0.031833961606025696
Iter 24: MSE - 0.028060676530003548
Iter 25: MSE - 0.025465356186032295
Iter 26: MSE - 0.027121515944600105
Iter 27: MSE - 0.023842744529247284
Iter 28: MSE - 0.023063747212290764
Iter 29: MSE - 0.0325762964785099
Iter 30: MSE - 0.01989804580807686
Iter 31: MSE - 0.02474053017795086
Iter 32: MSE - 0.01793370395898819
Iter 33: MSE - 0.017061054706573486
Iter 34: MSE - 0.016803206875920296
Iter 35: MSE - 0.01536516658961773
Iter 36: MSE - 0.016848357394337654
Iter 37: MSE - 0.015114854089915752
Iter 38: MSE - 0.015402483753859997
Iter 39: MSE - 0.014107031747698784
Iter 40: MSE - 0.016691671684384346
Iter 41: MSE - 0.013693524524569511
Iter 42: MSE - 0.014744417741894722
Iter 43: MSE - 0.013938168995082378
Iter 44: MSE - 0.013296631164848804
Iter 45: MSE - 0.014209488406777382
Iter 46: MSE - 0.013049095869064331
Iter 47: MSE - 0.01172470860183239
Iter 48: MSE - 0.011842354200780392
Iter 49: MSE - 0.012349476106464863
Iter 50: MSE - 0.011688905768096447
Iter 51: MSE - 0.012922422960400581
Iter 52: MSE - 0.012813296169042587
Iter 53: MSE - 0.01362547930330038
Iter 54: MSE - 0.013687015511095524
Iter 55: MSE - 0.012118742801249027
Iter 56: MSE - 0.013407903723418713
Iter 57: MSE - 0.012424372136592865
Iter 58: MSE - 0.013149242848157883
Iter 59: MSE - 0.012235025875270367
Iter 60: MSE - 0.012472479604184628
Iter 61: MSE - 0.011155557818710804
Iter 62: MSE - 0.013999995775520802
Iter 63: MSE - 0.011164209805428982
Iter 64: MSE - 0.011286230757832527
Iter 65: MSE - 0.01051029097288847
Iter 66: MSE - 0.010260771960020065
Iter 67: MSE - 0.010663919150829315
Iter 68: MSE - 0.01097343023866415
Iter 69: MSE - 0.010122575797140598
Iter 70: MSE - 0.009752471931278706
Iter 71: MSE - 0.010746363550424576
Iter 72: MSE - 0.009265732951462269
Iter 73: MSE - 0.010633748024702072
Iter 74: MSE - 0.008889557793736458
Iter 75: MSE - 0.00937576312571764
Iter 76: MSE - 0.009650463238358498
Iter 77: MSE - 0.00890168733894825
Iter 78: MSE - 0.008310656994581223
Iter 79: MSE - 0.008852371014654636
Iter 80: MSE - 0.01108054630458355
Iter 81: MSE - 0.007900821045041084
Iter 82: MSE - 0.010573756881058216
Iter 83: MSE - 0.00937088206410408
Iter 84: MSE - 0.009818286634981632
Iter 85: MSE - 0.008780932985246181
Iter 86: MSE - 0.008736841380596161
Iter 87: MSE - 0.009249514900147915
Iter 88: MSE - 0.009183181449770927
Iter 89: MSE - 0.008274668827652931
Iter 90: MSE - 0.008661122992634773
Iter 91: MSE - 0.008014477789402008
Iter 92: MSE - 0.008602946996688843
Iter 93: MSE - 0.008682740852236748
Iter 94: MSE - 0.007643386721611023
Iter 95: MSE - 0.008029688149690628
Iter 96: MSE - 0.008076289668679237
Iter 97: MSE - 0.007989378646016121
Iter 98: MSE - 0.009974665939807892
Iter 99: MSE - 0.009708398021757603
Iter 100: MSE - 0.010008662939071655
Iter 101: MSE - 0.011419129557907581
Iter 102: MSE - 0.009712865576148033
Iter 103: MSE - 0.010335448198020458
Iter 104: MSE - 0.009888002648949623
Iter 105: MSE - 0.010594562627375126
Iter 106: MSE - 0.009681541472673416
Iter 107: MSE - 0.00910094566643238
Iter 108: MSE - 0.009752967394888401
Iter 109: MSE - 0.008526274003088474
Iter 110: MSE - 0.0077086868695914745
Iter 111: MSE - 0.008948647417128086
Iter 112: MSE - 0.008537531830370426
Iter 113: MSE - 0.007680554408580065
Iter 114: MSE - 0.008872228674590588
Iter 115: MSE - 0.007696222048252821
Iter 116: MSE - 0.00753201125189662
Iter 117: MSE - 0.007355289533734322
Iter 118: MSE - 0.008122539147734642
Iter 119: MSE - 0.007501468528062105
Iter 120: MSE - 0.00776237528771162
Iter 121: MSE - 0.0076118032447993755
Iter 122: MSE - 0.0076127503998577595
Iter 123: MSE - 0.007631237152963877
Iter 124: MSE - 0.008056738413870335
Iter 125: MSE - 0.007765840273350477
Iter 126: MSE - 0.007187600713223219
Iter 127: MSE - 0.007270042318850756
Iter 128: MSE - 0.00753259239718318
Iter 129: MSE - 0.00698866369202733
Iter 130: MSE - 0.0073040504939854145
Iter 131: MSE - 0.006692400202155113
Iter 132: MSE - 0.008756048046052456
Iter 133: MSE - 0.00699915736913681
Iter 134: MSE - 0.009362667798995972
Iter 135: MSE - 0.008235995657742023
Iter 136: MSE - 0.008236756548285484
Iter 137: MSE - 0.007548537105321884
Iter 138: MSE - 0.007795722223818302
Iter 139: MSE - 0.008155458606779575
Iter 140: MSE - 0.012314097955822945
Iter 141: MSE - 0.07598419487476349
Iter 142: MSE - 0.02380847930908203
Iter 143: MSE - 0.016265545040369034
Iter 144: MSE - 0.016061121597886086
Iter 145: MSE - 0.014376458711922169
Iter 146: MSE - 0.01246759481728077
Iter 147: MSE - 0.014224808663129807
Iter 148: MSE - 0.01101361121982336
Iter 149: MSE - 0.015363811515271664
Iter 150: MSE - 0.012058468535542488
Iter 151: MSE - 0.011475197970867157
Iter 152: MSE - 0.011571818962693214
Iter 153: MSE - 0.009672346524894238
Iter 154: MSE - 0.009724472649395466
