START TRAINING DENOISER AT:  8914610786036
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.32096657156944275
Iter 1: MSE - 438.2302551269531
Iter 2: MSE - 452.24365234375
Iter 3: MSE - 21.485383987426758
Iter 4: MSE - 0.9726097583770752
Iter 5: MSE - 0.48901888728141785
Iter 6: MSE - 0.49613156914711
Iter 7: MSE - 0.49109044671058655
Iter 8: MSE - 0.49005118012428284
Iter 9: MSE - 0.5038771629333496
Iter 10: MSE - 0.491224467754364
Iter 11: MSE - 0.4934332072734833
Iter 12: MSE - 0.49441957473754883
Iter 13: MSE - 0.5028431415557861
Iter 14: MSE - 0.49333569407463074
Iter 15: MSE - 0.4954153597354889
Iter 16: MSE - 0.48259198665618896
Iter 17: MSE - 0.49983081221580505
Iter 18: MSE - 0.4879691004753113
Iter 19: MSE - 0.49405357241630554
Iter 20: MSE - 0.49944156408309937
Iter 21: MSE - 0.4955413043498993
Iter 22: MSE - 0.495966374874115
Iter 23: MSE - 0.493396520614624
Iter 24: MSE - 0.5039022564888
Iter 25: MSE - 0.49411213397979736
Iter 26: MSE - 0.4870348572731018
Iter 27: MSE - 0.48652172088623047
Iter 28: MSE - 0.4975646436214447
Iter 29: MSE - 0.4996899664402008
Iter 30: MSE - 0.4943581521511078
Iter 31: MSE - 0.5017092227935791
Iter 32: MSE - 0.48308393359184265
Iter 33: MSE - 0.4878414571285248
Iter 34: MSE - 0.491489052772522
Iter 35: MSE - 0.4907603859901428
Iter 36: MSE - 0.48623767495155334
Iter 37: MSE - 0.4988977313041687
Iter 38: MSE - 0.5127627849578857
Iter 39: MSE - 0.49050402641296387
Iter 40: MSE - 0.5046147108078003
Iter 41: MSE - 0.48593395948410034
Iter 42: MSE - 0.49898362159729004
Iter 43: MSE - 0.4943738579750061
Iter 44: MSE - 0.4942752718925476
Iter 45: MSE - 0.505059003829956
Iter 46: MSE - 0.4837954044342041
Iter 47: MSE - 0.49573495984077454
Iter 48: MSE - 0.49750131368637085
Iter 49: MSE - 0.5025702118873596
Iter 50: MSE - 0.5022465586662292
Iter 51: MSE - 0.48264163732528687
Iter 52: MSE - 0.49785900115966797
Iter 53: MSE - 0.48388412594795227
Iter 54: MSE - 0.5047736167907715
Iter 55: MSE - 0.493795782327652
Iter 56: MSE - 0.4938763678073883
Iter 57: MSE - 0.4816301465034485
Iter 58: MSE - 0.49800437688827515
Iter 59: MSE - 0.5079108476638794
Iter 60: MSE - 0.5025972723960876
Iter 61: MSE - 0.49838870763778687
Iter 62: MSE - 0.49847182631492615
Iter 63: MSE - 0.48810115456581116
Iter 64: MSE - 0.4979417324066162
Iter 65: MSE - 0.4934735894203186
Iter 66: MSE - 0.49744632840156555
