START TRAINING DENOISER AT:  9284994389192
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.3801330327987671
Iter 1: MSE - 2.7191402912139893
Iter 2: MSE - 2.5671627521514893
Iter 3: MSE - 4.838778972625732
Iter 4: MSE - 2.8757898807525635
Iter 5: MSE - 0.8833848834037781
Iter 6: MSE - 0.4957752525806427
Iter 7: MSE - 0.49742770195007324
Iter 8: MSE - 0.4915121793746948
Iter 9: MSE - 0.4941307008266449
Iter 10: MSE - 0.5012529492378235
Iter 11: MSE - 0.5029262900352478
Iter 12: MSE - 0.4933704435825348
Iter 13: MSE - 0.5022194385528564
Iter 14: MSE - 0.4901437759399414
Iter 15: MSE - 0.5011895895004272
Iter 16: MSE - 0.4939228594303131
Iter 17: MSE - 0.49034154415130615
Iter 18: MSE - 0.5000262260437012
Iter 19: MSE - 0.48771339654922485
Iter 20: MSE - 0.4885748624801636
Iter 21: MSE - 0.48243483901023865
Iter 22: MSE - 0.4906461536884308
Iter 23: MSE - 0.5017094612121582
Iter 24: MSE - 0.49717098474502563
Iter 25: MSE - 0.49073734879493713
Iter 26: MSE - 0.4882638454437256
Iter 27: MSE - 0.4906134605407715
Iter 28: MSE - 0.49734631180763245
Iter 29: MSE - 0.5046898722648621
Iter 30: MSE - 0.49577510356903076
Iter 31: MSE - 0.49576815962791443
Iter 32: MSE - 0.49566614627838135
Iter 33: MSE - 0.49680033326148987
Iter 34: MSE - 0.49100515246391296
Iter 35: MSE - 0.4968879222869873
Iter 36: MSE - 0.4935590922832489
Iter 37: MSE - 0.502380907535553
Iter 38: MSE - 0.4891570806503296
Iter 39: MSE - 0.503359854221344
Iter 40: MSE - 0.49413084983825684
Iter 41: MSE - 0.4939606785774231
Iter 42: MSE - 0.48815828561782837
Iter 43: MSE - 0.5030898451805115
Iter 44: MSE - 0.48702773451805115
Iter 45: MSE - 0.49798986315727234
Iter 46: MSE - 0.5008421540260315
Iter 47: MSE - 0.4908178448677063
Iter 48: MSE - 0.49009546637535095
Iter 49: MSE - 0.4937326908111572
Iter 50: MSE - 0.5006932616233826
Iter 51: MSE - 0.48843249678611755
Iter 52: MSE - 0.4909176826477051
Iter 53: MSE - 0.504413902759552
Iter 54: MSE - 0.5007455945014954
Iter 55: MSE - 0.491303414106369
Iter 56: MSE - 0.504841685295105
Iter 57: MSE - 0.5017712116241455
Iter 58: MSE - 0.5007901191711426
Iter 59: MSE - 0.5015358328819275
Iter 60: MSE - 0.49166953563690186
Iter 61: MSE - 0.4873962700366974
Iter 62: MSE - 0.4964270293712616
Iter 63: MSE - 0.49273034930229187
Iter 64: MSE - 0.5070937275886536
Iter 65: MSE - 0.49526047706604004
Iter 66: MSE - 0.49526864290237427
Iter 67: MSE - 0.4961695671081543
Iter 68: MSE - 0.49723929166793823
Iter 69: MSE - 0.4913361668586731
Iter 70: MSE - 0.50303053855896
Iter 71: MSE - 0.4944233298301697
Iter 72: MSE - 0.5004046559333801
Iter 73: MSE - 0.5061500072479248
Iter 74: MSE - 0.498481422662735
Iter 75: MSE - 0.4908531904220581
Iter 76: MSE - 0.49960044026374817
Iter 77: MSE - 0.4944588243961334
Iter 78: MSE - 0.5033771395683289
Iter 79: MSE - 0.4907066524028778
Iter 80: MSE - 0.49939289689064026
Iter 81: MSE - 0.48705875873565674
Iter 82: MSE - 0.4893539845943451
Iter 83: MSE - 0.4968886077404022
Iter 84: MSE - 0.4993429481983185
Iter 85: MSE - 0.492152601480484
Iter 86: MSE - 0.49454373121261597
Iter 87: MSE - 0.49251654744148254
Iter 88: MSE - 0.5041264891624451
Iter 89: MSE - 0.4971185028553009
Iter 90: MSE - 0.4960577189922333
Iter 91: MSE - 0.5018993616104126
Iter 92: MSE - 0.4934665560722351
Iter 93: MSE - 0.499695360660553
Iter 94: MSE - 0.4952148199081421
Iter 95: MSE - 0.5001291036605835
Iter 96: MSE - 0.4872603118419647
Iter 97: MSE - 0.49941420555114746
Iter 98: MSE - 0.4959734082221985
Iter 99: MSE - 0.49587589502334595
Iter 100: MSE - 0.49516206979751587
Iter 101: MSE - 0.5002890229225159
Iter 102: MSE - 0.4983372688293457
Iter 103: MSE - 0.4919978976249695
Iter 104: MSE - 0.5024678111076355
Iter 105: MSE - 0.5016694068908691
Iter 106: MSE - 0.4953412711620331
Iter 107: MSE - 0.4929408133029938
Iter 108: MSE - 0.49300962686538696
Iter 109: MSE - 0.49069005250930786
Iter 110: MSE - 0.5043544173240662
Iter 111: MSE - 0.5022779107093811
Iter 112: MSE - 0.4965682029724121
Iter 113: MSE - 0.4846550226211548
Iter 114: MSE - 0.4951976239681244
Iter 115: MSE - 0.5000452995300293
Iter 116: MSE - 0.5036076903343201
Iter 117: MSE - 0.4936550259590149
Iter 118: MSE - 0.5000414848327637
Iter 119: MSE - 0.5015182495117188
Iter 120: MSE - 0.5023607015609741
Iter 121: MSE - 0.49435144662857056
Iter 122: MSE - 0.49571266770362854
Iter 123: MSE - 0.49297717213630676
Iter 124: MSE - 0.49958518147468567
Iter 125: MSE - 0.4965118169784546
Iter 126: MSE - 0.49666571617126465
Iter 127: MSE - 0.48992064595222473
Iter 128: MSE - 0.492145299911499
Iter 129: MSE - 0.502982497215271
Iter 130: MSE - 0.4975900948047638
Iter 131: MSE - 0.4934399724006653
Iter 132: MSE - 0.49633073806762695
Iter 133: MSE - 0.49392953515052795
Iter 134: MSE - 0.4994933307170868
Iter 135: MSE - 0.5029416084289551
Iter 136: MSE - 0.5016123056411743
Iter 137: MSE - 0.5072616338729858
Iter 138: MSE - 0.49955517053604126
Iter 139: MSE - 0.5030786991119385
Iter 140: MSE - 0.5027047395706177
Iter 141: MSE - 0.49436429142951965
Iter 142: MSE - 0.4967622458934784
Iter 143: MSE - 0.4944935441017151
Iter 144: MSE - 0.4978911280632019
Iter 145: MSE - 0.48939889669418335
Iter 146: MSE - 0.4930664598941803
Iter 147: MSE - 0.516391396522522
Iter 148: MSE - 0.5010067820549011
Iter 149: MSE - 0.496319055557251
Iter 150: MSE - 0.4873373806476593
Iter 151: MSE - 0.4849907457828522
Iter 152: MSE - 0.4925437867641449
Iter 153: MSE - 0.4881930351257324
Iter 154: MSE - 0.5110461711883545
Iter 155: MSE - 0.4956579804420471
Iter 156: MSE - 0.5052007436752319
Iter 157: MSE - 0.4961943030357361
Iter 158: MSE - 0.4864063858985901
Iter 159: MSE - 0.5010635852813721
Iter 160: MSE - 0.4901873469352722
Iter 161: MSE - 0.49567389488220215
Iter 162: MSE - 0.4993893802165985
Iter 163: MSE - 0.4955865144729614
Iter 164: MSE - 0.48717421293258667
Iter 165: MSE - 0.4965517818927765
Iter 166: MSE - 0.4995138943195343
Iter 167: MSE - 0.49650007486343384
Iter 168: MSE - 0.5037360787391663
Iter 169: MSE - 0.5019583106040955
Iter 170: MSE - 0.4943569600582123
Iter 171: MSE - 0.4934997260570526
Iter 172: MSE - 0.5020382404327393
Iter 173: MSE - 0.4987446069717407
Iter 174: MSE - 0.49983471632003784
Iter 175: MSE - 0.49997013807296753
Iter 176: MSE - 0.49959251284599304
Iter 177: MSE - 0.4964289665222168
Iter 178: MSE - 0.49617835879325867
Iter 179: MSE - 0.4909142255783081
Iter 180: MSE - 0.4909523129463196
Iter 181: MSE - 0.4981042146682739
Iter 182: MSE - 0.49133676290512085
Iter 183: MSE - 0.4942033886909485
Iter 184: MSE - 0.49098342657089233
Iter 185: MSE - 0.4967671036720276
Iter 186: MSE - 0.5013785362243652
Iter 187: MSE - 0.49024930596351624
Iter 188: MSE - 0.5022428631782532
Iter 189: MSE - 0.5016361474990845
Iter 190: MSE - 0.4841650724411011
Iter 191: MSE - 0.49919772148132324
Iter 192: MSE - 0.49591419100761414
Iter 193: MSE - 0.49800869822502136
Iter 194: MSE - 0.4973003566265106
Iter 195: MSE - 0.5041311383247375
Iter 196: MSE - 0.5020032525062561
Iter 197: MSE - 0.497747540473938
Iter 198: MSE - 0.4960952699184418
Iter 199: MSE - 0.4900941550731659
Iter 200: MSE - 0.492390900850296
Iter 201: MSE - 0.4977484345436096
Iter 202: MSE - 0.4949369430541992
Iter 203: MSE - 0.5059274435043335
Iter 204: MSE - 0.5109120607376099
Iter 205: MSE - 0.5026595592498779
Iter 206: MSE - 0.5050845742225647
Iter 207: MSE - 0.48957085609436035
Iter 208: MSE - 0.49797943234443665
Iter 209: MSE - 0.49624761939048767
Iter 210: MSE - 0.4996805489063263
Iter 211: MSE - 0.5021337270736694
Iter 212: MSE - 0.505078136920929
Iter 213: MSE - 0.5013266205787659
Iter 214: MSE - 0.5010956525802612
Iter 215: MSE - 0.4955269396305084
Iter 216: MSE - 0.49058499932289124
Iter 217: MSE - 0.49474045634269714
Iter 218: MSE - 0.48753175139427185
Iter 219: MSE - 0.49783992767333984
Iter 220: MSE - 0.4885006546974182
Iter 221: MSE - 0.48783600330352783
Iter 222: MSE - 0.49722400307655334
Iter 223: MSE - 0.49191397428512573
Iter 224: MSE - 0.4939653277397156
Iter 225: MSE - 0.4854169487953186
Iter 226: MSE - 0.4939521849155426
Iter 227: MSE - 0.497148334980011
Iter 228: MSE - 0.4866023063659668
Iter 229: MSE - 0.5020506978034973
Iter 230: MSE - 0.4973067343235016
Iter 231: MSE - 0.48819705843925476
Iter 232: MSE - 0.4905378222465515
Iter 233: MSE - 0.5000805854797363
Iter 234: MSE - 0.5001769065856934
Iter 235: MSE - 0.4959917664527893
Iter 236: MSE - 0.4933032691478729
Iter 237: MSE - 0.49878382682800293
Iter 238: MSE - 0.49215129017829895
Iter 239: MSE - 0.4846079349517822
Iter 240: MSE - 0.4996449649333954
Iter 241: MSE - 0.5060088038444519
Iter 242: MSE - 0.49559831619262695
Iter 243: MSE - 0.5068132281303406
Iter 244: MSE - 0.4908265769481659
Iter 245: MSE - 0.493808388710022
Iter 246: MSE - 0.500868558883667
Iter 247: MSE - 0.4999855160713196
Iter 248: MSE - 0.4906841516494751
Iter 249: MSE - 0.5039402842521667
