START TRAINING DENOISER AT:  23692371796246
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.39284536242485046
Iter 1: MSE - 0.44551774859428406
Iter 2: MSE - 0.493112176656723
Iter 3: MSE - 0.47351157665252686
Iter 4: MSE - 1.2787995338439941
Iter 5: MSE - 0.3610385060310364
Iter 6: MSE - 0.5892399549484253
Iter 7: MSE - 0.28685012459754944
Iter 8: MSE - 0.31210649013519287
Iter 9: MSE - 0.27834033966064453
Iter 10: MSE - 0.26401814818382263
Iter 11: MSE - 0.21028059720993042
Iter 12: MSE - 0.21675467491149902
Iter 13: MSE - 0.1752779334783554
Iter 14: MSE - 0.15331199765205383
Iter 15: MSE - 0.13804233074188232
Iter 16: MSE - 0.1306353360414505
Iter 17: MSE - 0.1069231852889061
Iter 18: MSE - 0.09234920889139175
Iter 19: MSE - 0.09367447346448898
Iter 20: MSE - 0.08083278685808182
Iter 21: MSE - 0.07417730242013931
Iter 22: MSE - 0.07155297696590424
Iter 23: MSE - 0.07117340713739395
Iter 24: MSE - 0.0630442276597023
Iter 25: MSE - 0.0629849061369896
Iter 26: MSE - 0.05815357342362404
Iter 27: MSE - 0.05534549802541733
Iter 28: MSE - 0.05112304911017418
Iter 29: MSE - 0.052921850234270096
Iter 30: MSE - 0.048757124692201614
Iter 31: MSE - 0.04839599132537842
Iter 32: MSE - 0.04431084170937538
Iter 33: MSE - 0.04556712135672569
Iter 34: MSE - 0.042208269238471985
Iter 35: MSE - 0.04246478155255318
Iter 36: MSE - 0.038304246962070465
Iter 37: MSE - 0.041809841990470886
Iter 38: MSE - 0.03890099748969078
Iter 39: MSE - 0.03836345672607422
Iter 40: MSE - 0.03834768012166023
Iter 41: MSE - 0.03423786535859108
Iter 42: MSE - 0.03762627765536308
Iter 43: MSE - 0.03287162631750107
Iter 44: MSE - 0.035923510789871216
Iter 45: MSE - 0.030126716941595078
Iter 46: MSE - 0.034564658999443054
Iter 47: MSE - 0.029927512630820274
Iter 48: MSE - 0.030443880707025528
Iter 49: MSE - 0.027464035898447037
Iter 50: MSE - 0.028132066130638123
Iter 51: MSE - 0.027777044102549553
Iter 52: MSE - 0.030309874564409256
Iter 53: MSE - 0.024288062006235123
Iter 54: MSE - 0.045992784202098846
Iter 55: MSE - 0.030287552624940872
Iter 56: MSE - 0.02702244743704796
Iter 57: MSE - 0.025539562106132507
Iter 58: MSE - 0.02507590688765049
Iter 59: MSE - 0.026527171954512596
Iter 60: MSE - 0.02826259657740593
Iter 61: MSE - 0.02376684546470642
Iter 62: MSE - 0.02222796157002449
Iter 63: MSE - 0.020909225568175316
Iter 64: MSE - 0.03753114864230156
Iter 65: MSE - 0.023340078070759773
Iter 66: MSE - 0.022410618141293526
Iter 67: MSE - 0.02011815458536148
Iter 68: MSE - 0.021612420678138733
Iter 69: MSE - 0.01996234804391861
Iter 70: MSE - 0.028293980285525322
Iter 71: MSE - 0.01815541833639145
Iter 72: MSE - 0.0174916572868824
Iter 73: MSE - 0.017804531380534172
Iter 74: MSE - 0.017933625727891922
Iter 75: MSE - 0.020887983962893486
Iter 76: MSE - 0.017214473336935043
Iter 77: MSE - 0.017079535871744156
Iter 78: MSE - 0.025361258536577225
Iter 79: MSE - 0.0167920533567667
Iter 80: MSE - 0.02646966092288494
Iter 81: MSE - 0.02341286651790142
Iter 82: MSE - 0.03331724554300308
Iter 83: MSE - 0.02077626809477806
Iter 84: MSE - 0.03927186131477356
Iter 85: MSE - 0.015686901286244392
Iter 86: MSE - 0.016432475298643112
Iter 87: MSE - 0.020925039425492287
Iter 88: MSE - 0.01547106821089983
Iter 89: MSE - 0.015766669064760208
Iter 90: MSE - 0.014967435039579868
Iter 91: MSE - 0.016278289258480072
Iter 92: MSE - 0.01484293770045042
Iter 93: MSE - 0.01768292859196663
Iter 94: MSE - 0.016744516789913177
Iter 95: MSE - 0.018979620188474655
Iter 96: MSE - 0.01176887471228838
Iter 97: MSE - 0.0161915086209774
Iter 98: MSE - 0.013988738879561424
Iter 99: MSE - 0.013978345319628716
Iter 100: MSE - 0.012393499724566936
Iter 101: MSE - 0.013803095556795597
