START TRAINING DENOISER AT:  23969470495465
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.3508965075016022
Iter 1: MSE - 145.73658752441406
Iter 2: MSE - 0.5074968934059143
Iter 3: MSE - 1.1763854026794434
Iter 4: MSE - 0.7203902006149292
Iter 5: MSE - 0.5373030304908752
Iter 6: MSE - 0.49531325697898865
Iter 7: MSE - 0.516890287399292
Iter 8: MSE - 0.4939371645450592
Iter 9: MSE - 0.5188800692558289
Iter 10: MSE - 0.48629340529441833
Iter 11: MSE - 0.5133132338523865
Iter 12: MSE - 0.4952741265296936
Iter 13: MSE - 0.4718552529811859
Iter 14: MSE - 0.48668548464775085
Iter 15: MSE - 0.7489506602287292
Iter 16: MSE - 0.4896264970302582
Iter 17: MSE - 0.48967161774635315
Iter 18: MSE - 0.4979124069213867
Iter 19: MSE - 0.49502062797546387
Iter 20: MSE - 0.47914838790893555
Iter 21: MSE - 0.5147435665130615
Iter 22: MSE - 0.4962339997291565
Iter 23: MSE - 0.47512492537498474
Iter 24: MSE - 0.4895797669887543
Iter 25: MSE - 2.4712343215942383
Iter 26: MSE - 0.5026393532752991
Iter 27: MSE - 0.488010436296463
Iter 28: MSE - 0.5135930776596069
Iter 29: MSE - 0.4900798499584198
Iter 30: MSE - 0.4856002926826477
Iter 31: MSE - 0.49296870827674866
Iter 32: MSE - 1.611073613166809
Iter 33: MSE - 0.4905605912208557
Iter 34: MSE - 0.49633684754371643
Iter 35: MSE - 0.5040470957756042
Iter 36: MSE - 0.5216735005378723
Iter 37: MSE - 0.5175026059150696
Iter 38: MSE - 0.4941583275794983
Iter 39: MSE - 0.4823532700538635
Iter 40: MSE - 0.4887600541114807
Iter 41: MSE - 0.494033545255661
Iter 42: MSE - 0.5117727518081665
Iter 43: MSE - 0.5037240982055664
Iter 44: MSE - 0.47638508677482605
Iter 45: MSE - 0.4760831296443939
Iter 46: MSE - 0.5093299150466919
Iter 47: MSE - 0.4938661754131317
Iter 48: MSE - 0.5092299580574036
Iter 49: MSE - 0.4965205788612366
Iter 50: MSE - 0.4946211874485016
Iter 51: MSE - 0.47507068514823914
Iter 52: MSE - 0.4869665503501892
Iter 53: MSE - 0.49128955602645874
Iter 54: MSE - 0.49964606761932373
Iter 55: MSE - 0.5001261830329895
Iter 56: MSE - 0.5001664757728577
Iter 57: MSE - 0.4919266104698181
Iter 58: MSE - 0.47844892740249634
Iter 59: MSE - 0.4929051697254181
Iter 60: MSE - 0.4925892949104309
Iter 61: MSE - 0.49461883306503296
Iter 62: MSE - 0.49517038464546204
Iter 63: MSE - 0.4925977885723114
Iter 64: MSE - 0.4649009108543396
Iter 65: MSE - 0.5048986673355103
Iter 66: MSE - 0.49045422673225403
Iter 67: MSE - 0.4997107982635498
