START TRAINING DENOISER AT:  48741504059206
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.3167683482170105
Iter 1: MSE - 73.38163757324219
Iter 2: MSE - 123.9218978881836
Iter 3: MSE - 0.4974324405193329
Iter 4: MSE - 0.4973944425582886
Iter 5: MSE - 0.48948559165000916
Iter 6: MSE - 0.4973262846469879
Iter 7: MSE - 0.5052396655082703
Iter 8: MSE - 0.4995405972003937
Iter 9: MSE - 0.4934479296207428
Iter 10: MSE - 0.5058355927467346
Iter 11: MSE - 0.4817316234111786
Iter 12: MSE - 0.5048676133155823
Iter 13: MSE - 0.5025481581687927
Iter 14: MSE - 0.48892632126808167
Iter 15: MSE - 0.49580636620521545
Iter 16: MSE - 0.4902231693267822
Iter 17: MSE - 0.5022162199020386
Iter 18: MSE - 0.502092182636261
Iter 19: MSE - 0.48589739203453064
Iter 20: MSE - 0.4851936399936676
Iter 21: MSE - 0.47964486479759216
Iter 22: MSE - 0.6004327535629272
Iter 23: MSE - 0.4898708760738373
Iter 24: MSE - 0.48910367488861084
Iter 25: MSE - 0.4791252017021179
Iter 26: MSE - 0.49454814195632935
Iter 27: MSE - 0.4972158968448639
Iter 28: MSE - 0.4994964301586151
Iter 29: MSE - 1.1208785772323608
Iter 30: MSE - 0.49783098697662354
Iter 31: MSE - 0.4963991045951843
Iter 32: MSE - 0.4962705075740814
Iter 33: MSE - 0.5049397349357605
Iter 34: MSE - 0.48650386929512024
Iter 35: MSE - 0.49443519115448
Iter 36: MSE - 0.5001792311668396
Iter 37: MSE - 0.4832242429256439
Iter 38: MSE - 0.5041964650154114
Iter 39: MSE - 0.5126256346702576
Iter 40: MSE - 0.48786821961402893
Iter 41: MSE - 0.49833229184150696
Iter 42: MSE - 0.4903091490268707
Iter 43: MSE - 0.5106136202812195
Iter 44: MSE - 0.5222082138061523
Iter 45: MSE - 0.49751630425453186
Iter 46: MSE - 0.48516330122947693
Iter 47: MSE - 0.5025926828384399
Iter 48: MSE - 0.4980138838291168
Iter 49: MSE - 0.4942196011543274
Iter 50: MSE - 0.4943908751010895
Iter 51: MSE - 0.5086998343467712
Iter 52: MSE - 0.4856683611869812
Iter 53: MSE - 0.49299338459968567
Iter 54: MSE - 0.48758670687675476
Iter 55: MSE - 0.49703311920166016
Iter 56: MSE - 0.49519219994544983
Iter 57: MSE - 0.4884016811847687
Iter 58: MSE - 0.49103108048439026
Iter 59: MSE - 0.48354023694992065
Iter 60: MSE - 0.5024095773696899
Iter 61: MSE - 0.49796581268310547
Iter 62: MSE - 0.4747696816921234
Iter 63: MSE - 0.4884813129901886
Iter 64: MSE - 0.4944249987602234
Iter 65: MSE - 0.5083820223808289
Iter 66: MSE - 0.4826650321483612
Iter 67: MSE - 0.49132615327835083
Iter 68: MSE - 0.4923330843448639
Iter 69: MSE - 0.48850685358047485
Iter 70: MSE - 0.4967670142650604
Iter 71: MSE - 0.5169638991355896
Iter 72: MSE - 0.49360647797584534
Iter 73: MSE - 0.49359598755836487
Iter 74: MSE - 0.4856376051902771
Iter 75: MSE - 0.4858783185482025
Iter 76: MSE - 0.4986128807067871
Iter 77: MSE - 0.5026845335960388
Iter 78: MSE - 0.5037103295326233
Iter 79: MSE - 0.47931110858917236
Iter 80: MSE - 0.49221813678741455
Iter 81: MSE - 0.5053580403327942
Iter 82: MSE - 0.4788656234741211
Iter 83: MSE - 0.49921298027038574
Iter 84: MSE - 0.49884673953056335
Iter 85: MSE - 0.4932348132133484
Iter 86: MSE - 0.48535916209220886
Iter 87: MSE - 0.4963153898715973
Iter 88: MSE - 0.4875165820121765
Iter 89: MSE - 0.4993140399456024
Iter 90: MSE - 0.4986018240451813
Iter 91: MSE - 0.5057783722877502
Iter 92: MSE - 0.4955297112464905
Iter 93: MSE - 0.4944719970226288
Iter 94: MSE - 0.4861118495464325
Iter 95: MSE - 0.5059617757797241
Iter 96: MSE - 0.49863123893737793
Iter 97: MSE - 0.4991603493690491
Iter 98: MSE - 0.5000457763671875
Iter 99: MSE - 0.5086758732795715
Iter 100: MSE - 0.49287453293800354
Iter 101: MSE - 0.505476713180542
Iter 102: MSE - 0.5041093826293945
Iter 103: MSE - 0.49868273735046387
Iter 104: MSE - 0.4900928735733032
Iter 105: MSE - 0.49417412281036377
Iter 106: MSE - 0.4934523403644562
Iter 107: MSE - 0.4940546751022339
Iter 108: MSE - 0.5040740370750427
Iter 109: MSE - 0.495171457529068
Iter 110: MSE - 0.47746002674102783
Iter 111: MSE - 0.5027710199356079
Iter 112: MSE - 0.5053194761276245
Iter 113: MSE - 0.4940015971660614
Iter 114: MSE - 0.5023486614227295
Iter 115: MSE - 0.48891541361808777
Iter 116: MSE - 0.4867711663246155
Iter 117: MSE - 0.4875779151916504
Iter 118: MSE - 0.4899680018424988
Iter 119: MSE - 0.5009509325027466
Iter 120: MSE - 0.4893442690372467
Iter 121: MSE - 0.4976300895214081
Iter 122: MSE - 0.49584290385246277
Iter 123: MSE - 0.4785860776901245
Iter 124: MSE - 0.5038768649101257
Iter 125: MSE - 0.4820384085178375
Iter 126: MSE - 0.5009031891822815
Iter 127: MSE - 0.4876944422721863
Iter 128: MSE - 0.4886070191860199
Iter 129: MSE - 0.48213058710098267
Iter 130: MSE - 0.4923563301563263
Iter 131: MSE - 0.4934295415878296
Iter 132: MSE - 0.4966409206390381
Iter 133: MSE - 0.500689685344696
Iter 134: MSE - 0.4956476092338562
Iter 135: MSE - 0.4937005341053009
Iter 136: MSE - 0.4970245659351349
Iter 137: MSE - 0.4928639233112335
Iter 138: MSE - 0.5018422603607178
Iter 139: MSE - 0.5034123063087463
Iter 140: MSE - 0.4849427342414856
Iter 141: MSE - 0.48059239983558655
Iter 142: MSE - 0.5057941675186157
Iter 143: MSE - 0.4953053295612335
Iter 144: MSE - 0.4918815791606903
Iter 145: MSE - 0.4980035126209259
Iter 146: MSE - 0.49502116441726685
Iter 147: MSE - 0.4917057156562805
Iter 148: MSE - 0.5073137879371643
Iter 149: MSE - 0.4958352744579315
Iter 150: MSE - 0.4959842264652252
Iter 151: MSE - 0.5029496550559998
Iter 152: MSE - 0.49247604608535767
Iter 153: MSE - 0.488194078207016
Iter 154: MSE - 0.5067844390869141
Iter 155: MSE - 0.49194708466529846
Iter 156: MSE - 0.4885203242301941
Iter 157: MSE - 0.49188002943992615
Iter 158: MSE - 0.5002639889717102
Iter 159: MSE - 0.49444305896759033
Iter 160: MSE - 0.5166404843330383
Iter 161: MSE - 0.4916320741176605
Iter 162: MSE - 0.49008113145828247
Iter 163: MSE - 0.5029728412628174
Iter 164: MSE - 0.4944674074649811
Iter 165: MSE - 0.4901258647441864
Iter 166: MSE - 0.48165759444236755
Iter 167: MSE - 0.48781633377075195
Iter 168: MSE - 0.5031993985176086
Iter 169: MSE - 0.4978511333465576
Iter 170: MSE - 0.4774346947669983
Iter 171: MSE - 0.4923818111419678
Iter 172: MSE - 0.5136460661888123
Iter 173: MSE - 0.501995861530304
Iter 174: MSE - 0.5027549862861633
Iter 175: MSE - 0.49246636033058167
Iter 176: MSE - 0.4979320764541626
Iter 177: MSE - 0.49232760071754456
Iter 178: MSE - 0.49755236506462097
Iter 179: MSE - 0.5094738006591797
Iter 180: MSE - 0.5031455159187317
Iter 181: MSE - 0.4953343868255615
Iter 182: MSE - 0.4950832724571228
Iter 183: MSE - 0.5030587911605835
Iter 184: MSE - 0.509120523929596
Iter 185: MSE - 0.49667268991470337
Iter 186: MSE - 0.49403607845306396
Iter 187: MSE - 0.5062012076377869
Iter 188: MSE - 0.5064042806625366
Iter 189: MSE - 0.4914518892765045
Iter 190: MSE - 0.5177412629127502
Iter 191: MSE - 0.49496492743492126
Iter 192: MSE - 0.4828111529350281
Iter 193: MSE - 0.49278709292411804
Iter 194: MSE - 0.5069395303726196
Iter 195: MSE - 0.5025762915611267
Iter 196: MSE - 0.489250510931015
Iter 197: MSE - 0.4976784288883209
Iter 198: MSE - 0.4923597276210785
Iter 199: MSE - 0.47721022367477417
Iter 200: MSE - 0.49309617280960083
Iter 201: MSE - 0.5046822428703308
Iter 202: MSE - 0.5101172924041748
Iter 203: MSE - 0.4894934892654419
Iter 204: MSE - 0.49326008558273315
Iter 205: MSE - 0.5083584785461426
Iter 206: MSE - 0.49967777729034424
Iter 207: MSE - 0.49486303329467773
Iter 208: MSE - 0.48694559931755066
Iter 209: MSE - 0.492620587348938
Iter 210: MSE - 0.4950217008590698
Iter 211: MSE - 0.4930800497531891
Iter 212: MSE - 0.5065878033638
Iter 213: MSE - 0.48037874698638916
Iter 214: MSE - 0.5006876587867737
Iter 215: MSE - 0.4844706952571869
Iter 216: MSE - 0.49754297733306885
Iter 217: MSE - 0.5028247833251953
Iter 218: MSE - 0.48217082023620605
Iter 219: MSE - 0.4934767484664917
Iter 220: MSE - 0.5042926073074341
Iter 221: MSE - 0.5000678300857544
Iter 222: MSE - 0.49165835976600647
Iter 223: MSE - 0.49524417519569397
Iter 224: MSE - 0.49953600764274597
Iter 225: MSE - 0.49057555198669434
Iter 226: MSE - 0.4978207051753998
Iter 227: MSE - 0.4686635434627533
Iter 228: MSE - 0.5050823092460632
Iter 229: MSE - 0.49881747364997864
Iter 230: MSE - 0.502571702003479
Iter 231: MSE - 0.4994894564151764
Iter 232: MSE - 0.4852193295955658
Iter 233: MSE - 0.4837871193885803
Iter 234: MSE - 0.50555419921875
Iter 235: MSE - 0.49106815457344055
Iter 236: MSE - 0.5037078857421875
Iter 237: MSE - 0.5026174187660217
Iter 238: MSE - 0.49176913499832153
Iter 239: MSE - 0.5147322416305542
Iter 240: MSE - 0.4976078271865845
Iter 241: MSE - 0.5011065602302551
Iter 242: MSE - 0.4943236708641052
Iter 243: MSE - 0.49378782510757446
Iter 244: MSE - 0.49820271134376526
Iter 245: MSE - 0.4939637780189514
Iter 246: MSE - 0.4890283942222595
Iter 247: MSE - 0.4968104064464569
Iter 248: MSE - 0.4866860806941986
Iter 249: MSE - 0.4972747564315796
Iter 250: MSE - 0.5028189420700073
Iter 251: MSE - 0.4968275725841522
Iter 252: MSE - 0.5156912207603455
Iter 253: MSE - 0.4898603558540344
Iter 254: MSE - 0.4894716441631317
Iter 255: MSE - 0.49970224499702454
Iter 256: MSE - 0.4826795756816864
Iter 257: MSE - 0.484214723110199
Iter 258: MSE - 0.5022772550582886
Iter 259: MSE - 0.5013723969459534
Iter 260: MSE - 0.504379153251648
Iter 261: MSE - 0.49356433749198914
Iter 262: MSE - 0.4902419447898865
Iter 263: MSE - 0.48724308609962463
Iter 264: MSE - 0.5082448720932007
Iter 265: MSE - 0.4880150258541107
Iter 266: MSE - 0.48582369089126587
Iter 267: MSE - 0.4866716265678406
Iter 268: MSE - 0.49722209572792053
Iter 269: MSE - 0.4965762197971344
Iter 270: MSE - 0.5072062611579895
Iter 271: MSE - 0.4971281886100769
Iter 272: MSE - 0.4979149103164673
Iter 273: MSE - 0.5001075267791748
Iter 274: MSE - 0.4823329448699951
Iter 275: MSE - 0.4908917248249054
Iter 276: MSE - 0.49816903471946716
Iter 277: MSE - 0.4906737506389618
Iter 278: MSE - 0.5058190226554871
Iter 279: MSE - 0.4937104880809784
Iter 280: MSE - 0.4870603382587433
Iter 281: MSE - 0.5022100210189819
Iter 282: MSE - 0.5033450126647949
Iter 283: MSE - 0.48390936851501465
Iter 284: MSE - 0.4943372905254364
