START TRAINING DENOISER AT:  21236659101109
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.33637604117393494
Iter 1: MSE - 0.41710615158081055
Iter 2: MSE - 0.23963624238967896
Iter 3: MSE - 0.20936207473278046
Iter 4: MSE - 0.18294978141784668
Iter 5: MSE - 0.16286185383796692
Iter 6: MSE - 0.1439625471830368
Iter 7: MSE - 0.12949508428573608
Iter 8: MSE - 0.11625222861766815
Iter 9: MSE - 0.10701995342969894
Iter 10: MSE - 0.09762286394834518
Iter 11: MSE - 0.08927841484546661
Iter 12: MSE - 0.0820096954703331
Iter 13: MSE - 0.07966145873069763
Iter 14: MSE - 0.07323374599218369
Iter 15: MSE - 0.06819908320903778
Iter 16: MSE - 0.0615156888961792
Iter 17: MSE - 0.05845525115728378
Iter 18: MSE - 0.05542713403701782
Iter 19: MSE - 0.051826924085617065
Iter 20: MSE - 0.04969705641269684
Iter 21: MSE - 0.048041485249996185
Iter 22: MSE - 0.044149335473775864
Iter 23: MSE - 0.042000968009233475
Iter 24: MSE - 0.04106716811656952
Iter 25: MSE - 0.039942555129528046
Iter 26: MSE - 0.039598677307367325
Iter 27: MSE - 0.038661010563373566
Iter 28: MSE - 0.03792671114206314
Iter 29: MSE - 0.039150673896074295
Iter 30: MSE - 0.036979470402002335
Iter 31: MSE - 0.036154232919216156
Iter 32: MSE - 0.03681572154164314
Iter 33: MSE - 0.035863179713487625
Iter 34: MSE - 0.035770729184150696
Iter 35: MSE - 0.03470362350344658
Iter 36: MSE - 0.034019771963357925
Iter 37: MSE - 0.03297825902700424
Iter 38: MSE - 0.03381409868597984
Iter 39: MSE - 0.03356686979532242
Iter 40: MSE - 0.03292965516448021
Iter 41: MSE - 0.032632261514663696
Iter 42: MSE - 0.03213772922754288
Iter 43: MSE - 0.03172008693218231
Iter 44: MSE - 0.03174891695380211
Iter 45: MSE - 0.03159617260098457
Iter 46: MSE - 0.031143037602305412
Iter 47: MSE - 0.03083198517560959
Iter 48: MSE - 0.03015701100230217
Iter 49: MSE - 0.030630314722657204
Iter 50: MSE - 0.030334502458572388
Iter 51: MSE - 0.029985204339027405
Iter 52: MSE - 0.02925395779311657
Iter 53: MSE - 0.029406847432255745
Iter 54: MSE - 0.028483392670750618
Iter 55: MSE - 0.029153795912861824
Iter 56: MSE - 0.028533566743135452
Iter 57: MSE - 0.027685021981596947
Iter 58: MSE - 0.026966286823153496
Iter 59: MSE - 0.02746589668095112
Iter 60: MSE - 0.0268215611577034
Iter 61: MSE - 0.026126718148589134
Iter 62: MSE - 0.024647900834679604
Iter 63: MSE - 0.02394113875925541
Iter 64: MSE - 0.025030268356204033
Iter 65: MSE - 0.023409970104694366
Iter 66: MSE - 0.022703442722558975
Iter 67: MSE - 0.022626081481575966
Iter 68: MSE - 0.022124892100691795
Iter 69: MSE - 0.02126099355518818
Iter 70: MSE - 0.019872916862368584
Iter 71: MSE - 0.02159685268998146
Iter 72: MSE - 0.020392386242747307
Iter 73: MSE - 0.018843958154320717
Iter 74: MSE - 0.019570328295230865
Iter 75: MSE - 0.019465886056423187
Iter 76: MSE - 0.018350711092352867
Iter 77: MSE - 0.01798880659043789
Iter 78: MSE - 0.017637422308325768
Iter 79: MSE - 0.01794799044728279
Iter 80: MSE - 0.01713472045958042
Iter 81: MSE - 0.018211135640740395
Iter 82: MSE - 0.016874250024557114
Iter 83: MSE - 0.016735145822167397
Iter 84: MSE - 0.016672154888510704
Iter 85: MSE - 0.01610133796930313
Iter 86: MSE - 0.015615276992321014
Iter 87: MSE - 0.016857242211699486
Iter 88: MSE - 0.016214119270443916
Iter 89: MSE - 0.017455462366342545
Iter 90: MSE - 0.017714450135827065
Iter 91: MSE - 0.01724117249250412
Iter 92: MSE - 0.01663874089717865
Iter 93: MSE - 0.01975373737514019
Iter 94: MSE - 0.015004489570856094
Iter 95: MSE - 0.018993789330124855
Iter 96: MSE - 0.014738288708031178
Iter 97: MSE - 0.015270252712070942
Iter 98: MSE - 0.01499456912279129
Iter 99: MSE - 0.01461768802255392
Iter 100: MSE - 0.017026053741574287
Iter 101: MSE - 0.014718451537191868
Iter 102: MSE - 0.01540599949657917
Iter 103: MSE - 0.01878570206463337
Iter 104: MSE - 0.013952396810054779
Iter 105: MSE - 0.013872547075152397
Iter 106: MSE - 0.01642589457333088
Iter 107: MSE - 0.013967309147119522
Iter 108: MSE - 0.014506555162370205
Iter 109: MSE - 0.013047715649008751
Iter 110: MSE - 0.013637949712574482
Iter 111: MSE - 0.013301641680300236
Iter 112: MSE - 0.013171336613595486
Iter 113: MSE - 0.014962359331548214
Iter 114: MSE - 0.01348473783582449
Iter 115: MSE - 0.013009702786803246
Iter 116: MSE - 0.01597997359931469
Iter 117: MSE - 0.013353447429835796
Iter 118: MSE - 0.013332760892808437
Iter 119: MSE - 0.013722780160605907
Iter 120: MSE - 0.013746831566095352
Iter 121: MSE - 0.01266492996364832
Iter 122: MSE - 0.013276536948978901
Iter 123: MSE - 0.01271538995206356
Iter 124: MSE - 0.012731297872960567
Iter 125: MSE - 0.012332337908446789
