START TRAINING DENOISER AT:  36219258353191
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.34819191694259644
Iter 1: MSE - 0.7649657726287842
Iter 2: MSE - 0.32292982935905457
Iter 3: MSE - 0.2557048201560974
Iter 4: MSE - 0.2645857036113739
Iter 5: MSE - 0.2129782885313034
Iter 6: MSE - 0.17777182161808014
Iter 7: MSE - 0.14793190360069275
Iter 8: MSE - 0.12782756984233856
Iter 9: MSE - 0.10967792570590973
Iter 10: MSE - 0.0996486097574234
Iter 11: MSE - 0.0918859988451004
Iter 12: MSE - 0.0844302847981453
Iter 13: MSE - 0.0785527378320694
Iter 14: MSE - 0.07463110238313675
Iter 15: MSE - 0.06923970580101013
Iter 16: MSE - 0.06629276275634766
Iter 17: MSE - 0.06319701671600342
Iter 18: MSE - 0.058553546667099
Iter 19: MSE - 0.05578320845961571
Iter 20: MSE - 0.05310293287038803
Iter 21: MSE - 0.05235953629016876
Iter 22: MSE - 0.05459513142704964
Iter 23: MSE - 0.05643916875123978
Iter 24: MSE - 0.05784909427165985
Iter 25: MSE - 0.04796628654003143
Iter 26: MSE - 0.04340561479330063
Iter 27: MSE - 0.03994077816605568
Iter 28: MSE - 0.03668389096856117
Iter 29: MSE - 0.03517747297883034
Iter 30: MSE - 0.033659301698207855
Iter 31: MSE - 0.031718987971544266
Iter 32: MSE - 0.03042461909353733
Iter 33: MSE - 0.02949049510061741
Iter 34: MSE - 0.03070182353258133
Iter 35: MSE - 0.029502345249056816
Iter 36: MSE - 0.029324520379304886
Iter 37: MSE - 0.031356874853372574
Iter 38: MSE - 0.040672529488801956
Iter 39: MSE - 0.04020758345723152
Iter 40: MSE - 0.05636676028370857
Iter 41: MSE - 0.04530559480190277
Iter 42: MSE - 0.03733067959547043
Iter 43: MSE - 0.026181498542428017
Iter 44: MSE - 0.025330768898129463
Iter 45: MSE - 0.025566255673766136
Iter 46: MSE - 0.023427164182066917
Iter 47: MSE - 0.02334119752049446
Iter 48: MSE - 0.02315584383904934
Iter 49: MSE - 0.026868391782045364
Iter 50: MSE - 0.027121689170598984
Iter 51: MSE - 0.027974236756563187
Iter 52: MSE - 0.029342347756028175
Iter 53: MSE - 0.0327448770403862
Iter 54: MSE - 0.024944404140114784
Iter 55: MSE - 0.021126823499798775
Iter 56: MSE - 0.021190432831645012
Iter 57: MSE - 0.01991235837340355
Iter 58: MSE - 0.02080138772726059
Iter 59: MSE - 0.019552672281861305
Iter 60: MSE - 0.019783927127718925
Iter 61: MSE - 0.020110413432121277
Iter 62: MSE - 0.021604469045996666
Iter 63: MSE - 0.022806525230407715
Iter 64: MSE - 0.024004483595490456
Iter 65: MSE - 0.025614550337195396
Iter 66: MSE - 0.030817780643701553
Iter 67: MSE - 0.021002044901251793
Iter 68: MSE - 0.023126652464270592
Iter 69: MSE - 0.019526110962033272
Iter 70: MSE - 0.01726662553846836
Iter 71: MSE - 0.017374584451317787
Iter 72: MSE - 0.019915003329515457
Iter 73: MSE - 0.01924639381468296
Iter 74: MSE - 0.01758430525660515
Iter 75: MSE - 0.018745575100183487
Iter 76: MSE - 0.017652474343776703
Iter 77: MSE - 0.019320758059620857
Iter 78: MSE - 0.018749933689832687
Iter 79: MSE - 0.017245769500732422
Iter 80: MSE - 0.017666468396782875
Iter 81: MSE - 0.015973743051290512
Iter 82: MSE - 0.015927128493785858
Iter 83: MSE - 0.01651235856115818
Iter 84: MSE - 0.01751629263162613
Iter 85: MSE - 0.02262895740568638
Iter 86: MSE - 0.026263343170285225
Iter 87: MSE - 0.025067362934350967
Iter 88: MSE - 0.025260210037231445
Iter 89: MSE - 0.020145568996667862
Iter 90: MSE - 0.015992211177945137
Iter 91: MSE - 0.016588129103183746
Iter 92: MSE - 0.01631050743162632
