START TRAINING DENOISER AT:  26484859186502
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.3314324617385864
Iter 1: MSE - 2.6245908737182617
Iter 2: MSE - 38.942691802978516
Iter 3: MSE - 9.937417984008789
Iter 4: MSE - 10.436027526855469
Iter 5: MSE - 0.49249598383903503
Iter 6: MSE - 0.4529988169670105
Iter 7: MSE - 0.45377495884895325
Iter 8: MSE - 0.44457095861434937
Iter 9: MSE - 0.4540884494781494
Iter 10: MSE - 0.4478350281715393
Iter 11: MSE - 0.45077523589134216
Iter 12: MSE - 0.45218297839164734
Iter 13: MSE - 0.45238548517227173
Iter 14: MSE - 0.45738399028778076
Iter 15: MSE - 0.4476824402809143
Iter 16: MSE - 0.4536888897418976
Iter 17: MSE - 0.45284226536750793
Iter 18: MSE - 0.45513102412223816
Iter 19: MSE - 0.44834038615226746
Iter 20: MSE - 0.4473784863948822
Iter 21: MSE - 0.4469883143901825
Iter 22: MSE - 0.4558710753917694
Iter 23: MSE - 0.4539622664451599
Iter 24: MSE - 0.4530983865261078
Iter 25: MSE - 0.453241229057312
Iter 26: MSE - 0.45594704151153564
Iter 27: MSE - 0.4592377245426178
Iter 28: MSE - 0.45105183124542236
Iter 29: MSE - 0.45015063881874084
Iter 30: MSE - 0.44979411363601685
Iter 31: MSE - 0.44478246569633484
Iter 32: MSE - 0.45296862721443176
Iter 33: MSE - 0.45304131507873535
Iter 34: MSE - 0.4427034258842468
Iter 35: MSE - 0.4536636471748352
Iter 36: MSE - 0.44634440541267395
Iter 37: MSE - 0.4591049551963806
Iter 38: MSE - 0.44445204734802246
Iter 39: MSE - 0.44547078013420105
Iter 40: MSE - 0.4533426761627197
Iter 41: MSE - 0.4482027590274811
Iter 42: MSE - 0.4549825191497803
Iter 43: MSE - 0.4484535753726959
Iter 44: MSE - 0.45277121663093567
Iter 45: MSE - 0.4516841471195221
Iter 46: MSE - 0.4510565400123596
Iter 47: MSE - 0.45053961873054504
Iter 48: MSE - 0.45248621702194214
Iter 49: MSE - 0.45627012848854065
Iter 50: MSE - 0.4556000828742981
Iter 51: MSE - 0.44829612970352173
Iter 52: MSE - 0.45480236411094666
Iter 53: MSE - 0.44699645042419434
Iter 54: MSE - 0.45564278960227966
Iter 55: MSE - 0.44863343238830566
Iter 56: MSE - 0.4407193660736084
Iter 57: MSE - 0.45341354608535767
Iter 58: MSE - 0.45284780859947205
Iter 59: MSE - 0.4480435252189636
Iter 60: MSE - 0.45043396949768066
Iter 61: MSE - 0.4533865749835968
Iter 62: MSE - 0.44843927025794983
Iter 63: MSE - 0.45032748579978943
Iter 64: MSE - 0.45086580514907837
Iter 65: MSE - 0.4538465142250061
Iter 66: MSE - 0.45825114846229553
Iter 67: MSE - 0.4590591788291931
Iter 68: MSE - 0.4497705399990082
Iter 69: MSE - 0.4505038559436798
Iter 70: MSE - 0.4592573344707489
Iter 71: MSE - 0.4509589374065399
Iter 72: MSE - 0.4570062458515167
Iter 73: MSE - 0.4545727074146271
Iter 74: MSE - 0.45105668902397156
Iter 75: MSE - 0.4552028775215149
Iter 76: MSE - 0.45562028884887695
Iter 77: MSE - 0.4556625485420227
Iter 78: MSE - 0.4534990191459656
Iter 79: MSE - 0.45570695400238037
Iter 80: MSE - 0.45301181077957153
Iter 81: MSE - 0.4602758586406708
Iter 82: MSE - 0.45769307017326355
Iter 83: MSE - 0.4508562684059143
Iter 84: MSE - 0.45246070623397827
Iter 85: MSE - 0.4522233009338379
Iter 86: MSE - 0.44581350684165955
Iter 87: MSE - 0.44997403025627136
Iter 88: MSE - 0.4536692500114441
Iter 89: MSE - 0.4526446759700775
Iter 90: MSE - 0.4537370502948761
Iter 91: MSE - 0.45054328441619873
Iter 92: MSE - 0.45885810256004333
Iter 93: MSE - 0.4522562325000763
Iter 94: MSE - 0.4506871700286865
Iter 95: MSE - 0.4460853040218353
Iter 96: MSE - 0.44796112179756165
Iter 97: MSE - 0.45503056049346924
Iter 98: MSE - 0.4553600549697876
Iter 99: MSE - 0.4536730647087097
Iter 100: MSE - 0.4537636339664459
Iter 101: MSE - 0.4511311948299408
Iter 102: MSE - 0.4588870704174042
Iter 103: MSE - 0.4509499669075012
Iter 104: MSE - 0.451269268989563
Iter 105: MSE - 0.45345720648765564
Iter 106: MSE - 0.44741472601890564
Iter 107: MSE - 0.45073357224464417
Iter 108: MSE - 0.4522901177406311
Iter 109: MSE - 0.447801798582077
Iter 110: MSE - 0.4473317861557007
Iter 111: MSE - 0.45835793018341064
Iter 112: MSE - 0.4516693353652954
Iter 113: MSE - 0.45260360836982727
Iter 114: MSE - 0.4518151581287384
Iter 115: MSE - 0.4506109058856964
Iter 116: MSE - 0.4563252031803131
Iter 117: MSE - 0.4549221992492676
Iter 118: MSE - 0.44958528876304626
Iter 119: MSE - 0.45014408230781555
Iter 120: MSE - 0.4559423625469208
Iter 121: MSE - 0.4490649700164795
Iter 122: MSE - 0.45514556765556335
Iter 123: MSE - 0.4565059542655945
Iter 124: MSE - 0.4595397710800171
Iter 125: MSE - 0.4486212432384491
Iter 126: MSE - 0.4536927044391632
Iter 127: MSE - 0.4480970501899719
Iter 128: MSE - 0.4470389187335968
Iter 129: MSE - 0.45268693566322327
Iter 130: MSE - 0.45508015155792236
Iter 131: MSE - 0.45091935992240906
Iter 132: MSE - 0.45559921860694885
Iter 133: MSE - 0.46150606870651245
Iter 134: MSE - 0.4483177959918976
Iter 135: MSE - 0.45212945342063904
Iter 136: MSE - 0.4604509472846985
Iter 137: MSE - 0.44959160685539246
Iter 138: MSE - 0.45626211166381836
Iter 139: MSE - 0.4495728611946106
Iter 140: MSE - 0.4547263979911804
Iter 141: MSE - 0.458722859621048
Iter 142: MSE - 0.44506433606147766
Iter 143: MSE - 0.4504844844341278
Iter 144: MSE - 0.45202869176864624
Iter 145: MSE - 0.44894856214523315
Iter 146: MSE - 0.45495232939720154
Iter 147: MSE - 0.45871198177337646
Iter 148: MSE - 0.45220836997032166
Iter 149: MSE - 0.4621789753437042
Iter 150: MSE - 0.45059847831726074
Iter 151: MSE - 0.45108845829963684
Iter 152: MSE - 0.45492008328437805
Iter 153: MSE - 0.45358744263648987
Iter 154: MSE - 0.458778440952301
Iter 155: MSE - 0.45787230134010315
Iter 156: MSE - 0.44930410385131836
Iter 157: MSE - 0.4511147439479828
Iter 158: MSE - 0.44533196091651917
Iter 159: MSE - 0.45988228917121887
Iter 160: MSE - 0.4504815936088562
Iter 161: MSE - 0.4605201184749603
Iter 162: MSE - 0.4504460394382477
Iter 163: MSE - 0.45530399680137634
Iter 164: MSE - 0.4503065049648285
Iter 165: MSE - 0.44972988963127136
Iter 166: MSE - 0.44801151752471924
Iter 167: MSE - 0.4586215317249298
Iter 168: MSE - 0.45837676525115967
Iter 169: MSE - 0.457763135433197
Iter 170: MSE - 0.4589197039604187
Iter 171: MSE - 0.44946902990341187
Iter 172: MSE - 0.44840145111083984
Iter 173: MSE - 0.4500916600227356
Iter 174: MSE - 0.45540904998779297
Iter 175: MSE - 0.44947314262390137
Iter 176: MSE - 0.452202171087265
Iter 177: MSE - 0.45157042145729065
Iter 178: MSE - 0.45191890001296997
Iter 179: MSE - 0.45192843675613403
Iter 180: MSE - 0.4530492424964905
Iter 181: MSE - 0.4510384202003479
Iter 182: MSE - 0.45296409726142883
Iter 183: MSE - 0.45735687017440796
Iter 184: MSE - 0.45000362396240234
Iter 185: MSE - 0.4457298219203949
Iter 186: MSE - 0.45234742760658264
Iter 187: MSE - 0.45183053612709045
Iter 188: MSE - 0.45690760016441345
Iter 189: MSE - 0.45254361629486084
Iter 190: MSE - 0.4543190896511078
Iter 191: MSE - 0.4435146450996399
Iter 192: MSE - 0.4541633725166321
Iter 193: MSE - 0.45332008600234985
Iter 194: MSE - 0.45156827569007874
Iter 195: MSE - 0.44797831773757935
Iter 196: MSE - 0.44945231080055237
Iter 197: MSE - 0.45352229475975037
Iter 198: MSE - 0.44921550154685974
Iter 199: MSE - 0.4471077024936676
Iter 200: MSE - 0.4489918351173401
Iter 201: MSE - 0.44977667927742004
Iter 202: MSE - 0.4550318419933319
Iter 203: MSE - 0.4507083594799042
Iter 204: MSE - 0.44953373074531555
Iter 205: MSE - 0.45372894406318665
Iter 206: MSE - 0.45116642117500305
Iter 207: MSE - 0.45554211735725403
Iter 208: MSE - 0.45042937994003296
Iter 209: MSE - 0.4529028534889221
Iter 210: MSE - 0.4493969976902008
Iter 211: MSE - 0.45107734203338623
Iter 212: MSE - 0.4579841196537018
Iter 213: MSE - 0.45275843143463135
Iter 214: MSE - 0.451729953289032
Iter 215: MSE - 0.4616033434867859
Iter 216: MSE - 0.4472053050994873
Iter 217: MSE - 0.45603570342063904
Iter 218: MSE - 0.4536071717739105
Iter 219: MSE - 0.44407132267951965
Iter 220: MSE - 0.4501190781593323
Iter 221: MSE - 0.451924204826355
Iter 222: MSE - 0.44919636845588684
Iter 223: MSE - 0.4514884054660797
Iter 224: MSE - 0.4600648880004883
Iter 225: MSE - 0.4572286307811737
Iter 226: MSE - 0.4526197910308838
Iter 227: MSE - 0.448478639125824
Iter 228: MSE - 0.45149046182632446
Iter 229: MSE - 0.4537278115749359
Iter 230: MSE - 0.45171672105789185
Iter 231: MSE - 0.45581549406051636
Iter 232: MSE - 0.4494183361530304
Iter 233: MSE - 0.44988498091697693
Iter 234: MSE - 0.4489927887916565
Iter 235: MSE - 0.44881296157836914
Iter 236: MSE - 0.45324110984802246
Iter 237: MSE - 0.44966134428977966
Iter 238: MSE - 0.45442327857017517
Iter 239: MSE - 0.4531233310699463
Iter 240: MSE - 0.4502243995666504
Iter 241: MSE - 0.45229700207710266
Iter 242: MSE - 0.45119643211364746
Iter 243: MSE - 0.4538058936595917
Iter 244: MSE - 0.4555038511753082
Iter 245: MSE - 0.44884246587753296
Iter 246: MSE - 0.4487340748310089
Iter 247: MSE - 0.4450743496417999
Iter 248: MSE - 0.4500429034233093
Iter 249: MSE - 0.45427054166793823
Iter 250: MSE - 0.4496246874332428
Iter 251: MSE - 0.45167192816734314
Iter 252: MSE - 0.4479115307331085
Iter 253: MSE - 0.4467849135398865
Iter 254: MSE - 0.4531235694885254
Iter 255: MSE - 0.45902279019355774
Iter 256: MSE - 0.45971307158470154
Iter 257: MSE - 0.44996392726898193
Iter 258: MSE - 0.4501853883266449
Iter 259: MSE - 0.45095294713974
Iter 260: MSE - 0.45507362484931946
Iter 261: MSE - 0.4516717791557312
Iter 262: MSE - 0.45709535479545593
Iter 263: MSE - 0.44193682074546814
Iter 264: MSE - 0.4488498568534851
Iter 265: MSE - 0.452347069978714
Iter 266: MSE - 0.45453158020973206
Iter 267: MSE - 0.44892653822898865
Iter 268: MSE - 0.45341065526008606
Iter 269: MSE - 0.450651079416275
Iter 270: MSE - 0.4519798457622528
Iter 271: MSE - 0.44737255573272705
Iter 272: MSE - 0.4535980820655823
Iter 273: MSE - 0.4578809440135956
Iter 274: MSE - 0.45576605200767517
Iter 275: MSE - 0.4559764564037323
Iter 276: MSE - 0.45172345638275146
Iter 277: MSE - 0.4495183229446411
Iter 278: MSE - 0.44954913854599
Iter 279: MSE - 0.45010271668434143
Iter 280: MSE - 0.44785621762275696
Iter 281: MSE - 0.45428666472435
Iter 282: MSE - 0.45455411076545715
Iter 283: MSE - 0.44200167059898376
Iter 284: MSE - 0.44850683212280273
Iter 285: MSE - 0.4445825517177582
Iter 286: MSE - 0.4503573477268219
Iter 287: MSE - 0.44473016262054443
Iter 288: MSE - 0.44339802861213684
Iter 289: MSE - 0.45440974831581116
Iter 290: MSE - 0.45200541615486145
Iter 291: MSE - 0.4580756723880768
Iter 292: MSE - 0.44930964708328247
Iter 293: MSE - 0.4497452974319458
Iter 294: MSE - 0.4492773413658142
Iter 295: MSE - 0.4468047320842743
Iter 296: MSE - 0.4534371495246887
Iter 297: MSE - 0.44979381561279297
Iter 298: MSE - 0.45190316438674927
Iter 299: MSE - 0.45213884115219116
Iter 300: MSE - 0.45155635476112366
Iter 301: MSE - 0.45407190918922424
Iter 302: MSE - 0.4553373157978058
Iter 303: MSE - 0.4449728727340698
Iter 304: MSE - 0.4528610110282898
Iter 305: MSE - 0.4597340226173401
Iter 306: MSE - 0.45063963532447815
Iter 307: MSE - 0.4513787031173706
Iter 308: MSE - 0.4497603476047516
Iter 309: MSE - 0.4534050226211548
Iter 310: MSE - 0.4450424909591675
Iter 311: MSE - 0.45045027136802673
Iter 312: MSE - 0.4537246823310852
Iter 313: MSE - 0.4547538161277771
Iter 314: MSE - 0.45262977480888367
Iter 315: MSE - 0.4439438581466675
Iter 316: MSE - 0.4504988491535187
Iter 317: MSE - 0.45413216948509216
Iter 318: MSE - 0.4543505012989044
Iter 319: MSE - 0.44996121525764465
Iter 320: MSE - 0.4535640776157379
Iter 321: MSE - 0.4441559910774231
Iter 322: MSE - 0.44817864894866943
Iter 323: MSE - 0.45894259214401245
Iter 324: MSE - 0.4531428813934326
Iter 325: MSE - 0.45301851630210876
Iter 326: MSE - 0.4524631202220917
Iter 327: MSE - 0.45372408628463745
Iter 328: MSE - 0.448097288608551
Iter 329: MSE - 0.4516553580760956
Iter 330: MSE - 0.4529629945755005
Iter 331: MSE - 0.45257508754730225
Iter 332: MSE - 0.4529578387737274
Iter 333: MSE - 0.4494971036911011
Iter 334: MSE - 0.44501328468322754
Iter 335: MSE - 0.4515152871608734
Iter 336: MSE - 0.4488494098186493
Iter 337: MSE - 0.4530142545700073
Iter 338: MSE - 0.44982829689979553
Iter 339: MSE - 0.4561866223812103
Iter 340: MSE - 0.45221060514450073
Iter 341: MSE - 0.45253658294677734
Iter 342: MSE - 0.4477592706680298
Iter 343: MSE - 0.45394831895828247
Iter 344: MSE - 0.4523839056491852
Iter 345: MSE - 0.45577532052993774
Iter 346: MSE - 0.447441428899765
Iter 347: MSE - 0.4499094784259796
Iter 348: MSE - 0.454088032245636
Iter 349: MSE - 0.45324671268463135
Iter 350: MSE - 0.4547652006149292
Iter 351: MSE - 0.4520713984966278
Iter 352: MSE - 0.45628464221954346
Iter 353: MSE - 0.4422335922718048
Iter 354: MSE - 0.44746145606040955
Iter 355: MSE - 0.4542900621891022
Iter 356: MSE - 0.44766461849212646
Iter 357: MSE - 0.4508334696292877
Iter 358: MSE - 0.4527374505996704
Iter 359: MSE - 0.44832149147987366
Iter 360: MSE - 0.4574624001979828
Iter 361: MSE - 0.4566008746623993
Iter 362: MSE - 0.44594907760620117
Iter 363: MSE - 0.45433473587036133
Iter 364: MSE - 0.4555283486843109
Iter 365: MSE - 0.4513882100582123
Iter 366: MSE - 0.4513292610645294
Iter 367: MSE - 0.45132529735565186
Iter 368: MSE - 0.450516015291214
Iter 369: MSE - 0.45046332478523254
Iter 370: MSE - 0.45279771089553833
Iter 371: MSE - 0.4542662799358368
Iter 372: MSE - 0.45601487159729004
Iter 373: MSE - 0.4534659683704376
Iter 374: MSE - 0.4475439786911011
Iter 375: MSE - 0.4538058042526245
Iter 376: MSE - 0.4502134621143341
Iter 377: MSE - 0.44929423928260803
Iter 378: MSE - 0.45468029379844666
Iter 379: MSE - 0.45826175808906555
Iter 380: MSE - 0.44692888855934143
Iter 381: MSE - 0.4573111832141876
Iter 382: MSE - 0.4513382315635681
Iter 383: MSE - 0.4555363059043884
Iter 384: MSE - 0.45157191157341003
Iter 385: MSE - 0.4533756673336029
