START TRAINING DENOISER AT:  82611838484462
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.3301209509372711
Iter 1: MSE - 0.6954874992370605
Iter 2: MSE - 8.127983093261719
Iter 3: MSE - 5.197577476501465
Iter 4: MSE - 4.1010613441467285
Iter 5: MSE - 0.620200514793396
Iter 6: MSE - 0.5012314319610596
Iter 7: MSE - 0.3610133230686188
Iter 8: MSE - 0.357613742351532
Iter 9: MSE - 0.3411768078804016
Iter 10: MSE - 0.31266018748283386
Iter 11: MSE - 0.3116112947463989
Iter 12: MSE - 0.30950218439102173
Iter 13: MSE - 0.2975500226020813
Iter 14: MSE - 0.290231317281723
Iter 15: MSE - 0.28844475746154785
Iter 16: MSE - 0.2918543219566345
Iter 17: MSE - 0.2854231894016266
Iter 18: MSE - 0.29934796690940857
Iter 19: MSE - 0.3183552026748657
Iter 20: MSE - 0.30741050839424133
Iter 21: MSE - 0.3004777431488037
Iter 22: MSE - 0.2988506555557251
Iter 23: MSE - 0.27846822142601013
Iter 24: MSE - 0.291270911693573
Iter 25: MSE - 0.3120722770690918
Iter 26: MSE - 0.3029165267944336
Iter 27: MSE - 0.30028238892555237
Iter 28: MSE - 0.30193084478378296
Iter 29: MSE - 0.29193252325057983
Iter 30: MSE - 0.2766631245613098
Iter 31: MSE - 0.26583540439605713
Iter 32: MSE - 0.27272456884384155
Iter 33: MSE - 0.253120094537735
Iter 34: MSE - 0.24295541644096375
Iter 35: MSE - 0.25561127066612244
Iter 36: MSE - 0.28209933638572693
Iter 37: MSE - 0.28442639112472534
Iter 38: MSE - 0.2751559615135193
Iter 39: MSE - 0.2661644518375397
Iter 40: MSE - 0.2603840231895447
Iter 41: MSE - 0.2598259150981903
Iter 42: MSE - 0.25835734605789185
Iter 43: MSE - 0.2615423798561096
Iter 44: MSE - 0.25459301471710205
Iter 45: MSE - 0.24666312336921692
Iter 46: MSE - 0.24788741767406464
Iter 47: MSE - 0.24200284481048584
Iter 48: MSE - 0.23071251809597015
Iter 49: MSE - 0.21805588901042938
Iter 50: MSE - 0.20790649950504303
Iter 51: MSE - 0.2109759896993637
Iter 52: MSE - 0.215180903673172
Iter 53: MSE - 0.237801656126976
Iter 54: MSE - 0.21298205852508545
Iter 55: MSE - 0.20630332827568054
Iter 56: MSE - 0.19618499279022217
Iter 57: MSE - 0.18056197464466095
Iter 58: MSE - 0.1911376267671585
Iter 59: MSE - 0.1923576444387436
Iter 60: MSE - 0.1791347861289978
Iter 61: MSE - 0.18536359071731567
Iter 62: MSE - 0.18053267896175385
Iter 63: MSE - 0.18440935015678406
Iter 64: MSE - 0.1708240509033203
Iter 65: MSE - 0.15765498578548431
Iter 66: MSE - 0.17372876405715942
Iter 67: MSE - 0.2348008006811142
Iter 68: MSE - 0.20342008769512177
Iter 69: MSE - 0.20501923561096191
Iter 70: MSE - 0.1859280914068222
Iter 71: MSE - 0.1858443170785904
Iter 72: MSE - 0.1948505938053131
Iter 73: MSE - 0.1548924446105957
Iter 74: MSE - 0.1642017364501953
Iter 75: MSE - 0.18978871405124664
Iter 76: MSE - 0.18954338133335114
Iter 77: MSE - 0.1969846934080124
Iter 78: MSE - 0.1765221506357193
Iter 79: MSE - 0.16468456387519836
Iter 80: MSE - 0.14478902518749237
Iter 81: MSE - 0.13208900392055511
