START TRAINING DENOISER AT:  184576875531017
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.34624311327934265
Iter 1: MSE - 0.4910067617893219
Iter 2: MSE - 1.3248000144958496
Iter 3: MSE - 1.5558661222457886
Iter 4: MSE - 0.5739820599555969
Iter 5: MSE - 0.7043039798736572
Iter 6: MSE - 0.4740845859050751
Iter 7: MSE - 0.4118274450302124
Iter 8: MSE - 0.4184695780277252
Iter 9: MSE - 0.4210621118545532
Iter 10: MSE - 0.4331931471824646
Iter 11: MSE - 0.4324294626712799
Iter 12: MSE - 0.4331728518009186
Iter 13: MSE - 0.4153996706008911
Iter 14: MSE - 0.4142225682735443
Iter 15: MSE - 0.4085606336593628
Iter 16: MSE - 0.42800724506378174
Iter 17: MSE - 0.4141695201396942
Iter 18: MSE - 0.4045233726501465
Iter 19: MSE - 0.40799790620803833
Iter 20: MSE - 0.42688289284706116
Iter 21: MSE - 0.4212430417537689
Iter 22: MSE - 0.4105299413204193
Iter 23: MSE - 0.38598549365997314
Iter 24: MSE - 0.380649209022522
Iter 25: MSE - 0.38383248448371887
Iter 26: MSE - 0.38826802372932434
Iter 27: MSE - 0.38027510046958923
Iter 28: MSE - 0.36700165271759033
Iter 29: MSE - 0.37285053730010986
Iter 30: MSE - 0.365732878446579
Iter 31: MSE - 0.3692842423915863
Iter 32: MSE - 0.3560924232006073
Iter 33: MSE - 0.3720467686653137
Iter 34: MSE - 0.36457306146621704
Iter 35: MSE - 0.3310129940509796
Iter 36: MSE - 0.330190509557724
Iter 37: MSE - 0.33145853877067566
Iter 38: MSE - 0.3167968690395355
Iter 39: MSE - 0.32746440172195435
Iter 40: MSE - 0.31019502878189087
Iter 41: MSE - 0.32741713523864746
Iter 42: MSE - 0.30008652806282043
Iter 43: MSE - 0.3108898401260376
Iter 44: MSE - 0.31231993436813354
Iter 45: MSE - 0.3015914857387543
Iter 46: MSE - 0.3350542187690735
Iter 47: MSE - 0.28238624334335327
Iter 48: MSE - 0.3187381327152252
Iter 49: MSE - 0.2913263142108917
Iter 50: MSE - 0.2808854877948761
Iter 51: MSE - 0.26669061183929443
Iter 52: MSE - 0.2678692936897278
Iter 53: MSE - 0.25723451375961304
Iter 54: MSE - 0.25059810280799866
Iter 55: MSE - 0.2496296465396881
Iter 56: MSE - 0.2654213607311249
Iter 57: MSE - 0.2412099540233612
