START TRAINING DENOISER AT:  185560665564751
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.3209742605686188
Iter 1: MSE - 0.2873656749725342
Iter 2: MSE - 0.29822206497192383
Iter 3: MSE - 0.21534569561481476
Iter 4: MSE - 0.18780146539211273
Iter 5: MSE - 0.13794481754302979
Iter 6: MSE - 0.11542234569787979
Iter 7: MSE - 0.0929635763168335
Iter 8: MSE - 0.08167371153831482
Iter 9: MSE - 0.07353009283542633
Iter 10: MSE - 0.06857240945100784
Iter 11: MSE - 0.06073938310146332
Iter 12: MSE - 0.05700495094060898
Iter 13: MSE - 0.053784437477588654
Iter 14: MSE - 0.05147162452340126
Iter 15: MSE - 0.048116959631443024
Iter 16: MSE - 0.0459243506193161
Iter 17: MSE - 0.043669529259204865
Iter 18: MSE - 0.04237616807222366
Iter 19: MSE - 0.03939998894929886
Iter 20: MSE - 0.03905515372753143
Iter 21: MSE - 0.03832129016518593
Iter 22: MSE - 0.03515446558594704
Iter 23: MSE - 0.03432749956846237
Iter 24: MSE - 0.03341461718082428
Iter 25: MSE - 0.031208915635943413
Iter 26: MSE - 0.031183790415525436
Iter 27: MSE - 0.028971416875720024
Iter 28: MSE - 0.028564201667904854
Iter 29: MSE - 0.02851554937660694
Iter 30: MSE - 0.027109455317258835
Iter 31: MSE - 0.025358378887176514
Iter 32: MSE - 0.025621522217988968
Iter 33: MSE - 0.024400990456342697
Iter 34: MSE - 0.02443666197359562
Iter 35: MSE - 0.022779813036322594
Iter 36: MSE - 0.022835446521639824
Iter 37: MSE - 0.022259743884205818
Iter 38: MSE - 0.021298794075846672
Iter 39: MSE - 0.020923208445310593
Iter 40: MSE - 0.020400678738951683
Iter 41: MSE - 0.019780930131673813
Iter 42: MSE - 0.019580617547035217
Iter 43: MSE - 0.019184758886694908
Iter 44: MSE - 0.018116328865289688
Iter 45: MSE - 0.019968954846262932
Iter 46: MSE - 0.020723791792988777
Iter 47: MSE - 0.01825442723929882
Iter 48: MSE - 0.017571842297911644
Iter 49: MSE - 0.016875069588422775
Iter 50: MSE - 0.0176512710750103
Iter 51: MSE - 0.01642879657447338
Iter 52: MSE - 0.01589384116232395
Iter 53: MSE - 0.016561497002840042
Iter 54: MSE - 0.01659521833062172
Iter 55: MSE - 0.015369128435850143
Iter 56: MSE - 0.01642797328531742
Iter 57: MSE - 0.015178783796727657
Iter 58: MSE - 0.01478171069175005
Iter 59: MSE - 0.014569194056093693
Iter 60: MSE - 0.015018503181636333
Iter 61: MSE - 0.01682130992412567
Iter 62: MSE - 0.017410431057214737
Iter 63: MSE - 0.014341907575726509
Iter 64: MSE - 0.01667969860136509
Iter 65: MSE - 0.014184784144163132
Iter 66: MSE - 0.014478828758001328
Iter 67: MSE - 0.014509482309222221
Iter 68: MSE - 0.013966761529445648
Iter 69: MSE - 0.01318484265357256
Iter 70: MSE - 0.014196406118571758
Iter 71: MSE - 0.013759329915046692
Iter 72: MSE - 0.013304544612765312
Iter 73: MSE - 0.01373783778399229
Iter 74: MSE - 0.012819096446037292
Iter 75: MSE - 0.012797781266272068
Iter 76: MSE - 0.012637101113796234
Iter 77: MSE - 0.012248089537024498
Iter 78: MSE - 0.012421620078384876
Iter 79: MSE - 0.012756341136991978
Iter 80: MSE - 0.012380857951939106
Iter 81: MSE - 0.012375425547361374
Iter 82: MSE - 0.011872546747326851
Iter 83: MSE - 0.012034337967634201
Iter 84: MSE - 0.011628450825810432
Iter 85: MSE - 0.01163585763424635
Iter 86: MSE - 0.011419163085520267
Iter 87: MSE - 0.012446274980902672
Iter 88: MSE - 0.012422521598637104
Iter 89: MSE - 0.013009683229029179
Iter 90: MSE - 0.01209808886051178
Iter 91: MSE - 0.011631091125309467
Iter 92: MSE - 0.012006963603198528
Iter 93: MSE - 0.011819066479802132
Iter 94: MSE - 0.01195819117128849
Iter 95: MSE - 0.010964162647724152
Iter 96: MSE - 0.011335155926644802
Iter 97: MSE - 0.0120548689737916
Iter 98: MSE - 0.01164875365793705
Iter 99: MSE - 0.011851320043206215
Iter 100: MSE - 0.011911079287528992
Iter 101: MSE - 0.011341062374413013
Iter 102: MSE - 0.01100906915962696
Iter 103: MSE - 0.010947318747639656
Iter 104: MSE - 0.011299028061330318
Iter 105: MSE - 0.010878189466893673
Iter 106: MSE - 0.010516935028135777
Iter 107: MSE - 0.011124229989945889
Iter 108: MSE - 0.011775222606956959
Iter 109: MSE - 0.011083829216659069
Iter 110: MSE - 0.010699310339987278
Iter 111: MSE - 0.01190279796719551
Iter 112: MSE - 0.011025279760360718
Iter 113: MSE - 0.010590801015496254
Iter 114: MSE - 0.010686790570616722
Iter 115: MSE - 0.010757619515061378
Iter 116: MSE - 0.010944469831883907
Iter 117: MSE - 0.010130179114639759
Iter 118: MSE - 0.010651643387973309
Iter 119: MSE - 0.010370696894824505
Iter 120: MSE - 0.01084462646394968
Iter 121: MSE - 0.0110922297462821
Iter 122: MSE - 0.009829336777329445
Iter 123: MSE - 0.010544762946665287
Iter 124: MSE - 0.010352102108299732
Iter 125: MSE - 0.010012319311499596
Iter 126: MSE - 0.010155429132282734
Iter 127: MSE - 0.00984528660774231
Iter 128: MSE - 0.00961371511220932
Iter 129: MSE - 0.009866246022284031
Iter 130: MSE - 0.010022951290011406
Iter 131: MSE - 0.009642472490668297
Iter 132: MSE - 0.010464271530508995
Iter 133: MSE - 0.00965577270835638
Iter 134: MSE - 0.009622243233025074
Iter 135: MSE - 0.010145320557057858
Iter 136: MSE - 0.014107602648437023
Iter 137: MSE - 0.013029217720031738
Iter 138: MSE - 0.010843871161341667
Iter 139: MSE - 0.011963281780481339
Iter 140: MSE - 0.011819818988442421
Iter 141: MSE - 0.010434611700475216
Iter 142: MSE - 0.01153741218149662
Iter 143: MSE - 0.01092380192130804
Iter 144: MSE - 0.01028941199183464
Iter 145: MSE - 0.010074424557387829
Iter 146: MSE - 0.01005332637578249
Iter 147: MSE - 0.009468785487115383
Iter 148: MSE - 0.009470763616263866
Iter 149: MSE - 0.00965985655784607
Iter 150: MSE - 0.009420172311365604
Iter 151: MSE - 0.009816907346248627
Iter 152: MSE - 0.009473093785345554
Iter 153: MSE - 0.009072497487068176
Iter 154: MSE - 0.00920379813760519
Iter 155: MSE - 0.009180933237075806
Iter 156: MSE - 0.00903378427028656
Iter 157: MSE - 0.009005558677017689
Iter 158: MSE - 0.009106706827878952
Iter 159: MSE - 0.009099465794861317
Iter 160: MSE - 0.008714388124644756
Iter 161: MSE - 0.008891061879694462
Iter 162: MSE - 0.009014839306473732
Iter 163: MSE - 0.008698769845068455
Iter 164: MSE - 0.008715380914509296
Iter 165: MSE - 0.009081763215363026
Iter 166: MSE - 0.008843458257615566
Iter 167: MSE - 0.008681253530085087
Iter 168: MSE - 0.008724737912416458
Iter 169: MSE - 0.008821561001241207
Iter 170: MSE - 0.009045016951858997
Iter 171: MSE - 0.008825711905956268
Iter 172: MSE - 0.008614106103777885
Iter 173: MSE - 0.009050766006112099
Iter 174: MSE - 0.009786599315702915
Iter 175: MSE - 0.008982048369944096
Iter 176: MSE - 0.00839126668870449
Iter 177: MSE - 0.009094607084989548
Iter 178: MSE - 0.009333555586636066
Iter 179: MSE - 0.009756112471222878
Iter 180: MSE - 0.00866057351231575
Iter 181: MSE - 0.008954138495028019
Iter 182: MSE - 0.0095476433634758
Iter 183: MSE - 0.00880871806293726
