START TRAINING DENOISER AT:  324156288767588
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.339863121509552
Iter 1: MSE - 0.3925635516643524
Iter 2: MSE - 0.4023011028766632
Iter 3: MSE - 0.3876681625843048
Iter 4: MSE - 0.4116339683532715
Iter 5: MSE - 0.27081120014190674
Iter 6: MSE - 0.23063869774341583
Iter 7: MSE - 0.21374067664146423
Iter 8: MSE - 0.20243050158023834
Iter 9: MSE - 0.17661239206790924
Iter 10: MSE - 0.1655634641647339
Iter 11: MSE - 0.15387636423110962
Iter 12: MSE - 0.12915390729904175
Iter 13: MSE - 0.11796266585588455
Iter 14: MSE - 0.11045428365468979
Iter 15: MSE - 0.1003626137971878
Iter 16: MSE - 0.10222939401865005
Iter 17: MSE - 0.08407295495271683
Iter 18: MSE - 0.08786191791296005
Iter 19: MSE - 0.08275259286165237
Iter 20: MSE - 0.07303585857152939
Iter 21: MSE - 0.06681591272354126
Iter 22: MSE - 0.06103748828172684
Iter 23: MSE - 0.056966718286275864
Iter 24: MSE - 0.05703213810920715
Iter 25: MSE - 0.05381164699792862
Iter 26: MSE - 0.053833018988370895
Iter 27: MSE - 0.04707682505249977
Iter 28: MSE - 0.04310499504208565
Iter 29: MSE - 0.042195484042167664
Iter 30: MSE - 0.04845884069800377
Iter 31: MSE - 0.06955897063016891
Iter 32: MSE - 0.11829724162817001
Iter 33: MSE - 0.14361439645290375
Iter 34: MSE - 0.06286090612411499
Iter 35: MSE - 0.06287962198257446
Iter 36: MSE - 0.05284279212355614
Iter 37: MSE - 0.047440044581890106
Iter 38: MSE - 0.042391736060380936
Iter 39: MSE - 0.03979919105768204
Iter 40: MSE - 0.03572529926896095
Iter 41: MSE - 0.03339705988764763
Iter 42: MSE - 0.03212449327111244
Iter 43: MSE - 0.031769201159477234
Iter 44: MSE - 0.02892512083053589
Iter 45: MSE - 0.027802038937807083
Iter 46: MSE - 0.026134558022022247
Iter 47: MSE - 0.02608242817223072
Iter 48: MSE - 0.024841567501425743
Iter 49: MSE - 0.025009820237755775
Iter 50: MSE - 0.02390558458864689
Iter 51: MSE - 0.022726653143763542
Iter 52: MSE - 0.0225322674959898
Iter 53: MSE - 0.02185107208788395
Iter 54: MSE - 0.022154897451400757
Iter 55: MSE - 0.02217317558825016
Iter 56: MSE - 0.027003148570656776
Iter 57: MSE - 0.034932784736156464
Iter 58: MSE - 0.02582865208387375
Iter 59: MSE - 0.02406761795282364
Iter 60: MSE - 0.022408034652471542
Iter 61: MSE - 0.020519275218248367
Iter 62: MSE - 0.019141411408782005
Iter 63: MSE - 0.018047204241156578
Iter 64: MSE - 0.017909888178110123
Iter 65: MSE - 0.017787249758839607
Iter 66: MSE - 0.019105682149529457
Iter 67: MSE - 0.02208862453699112
Iter 68: MSE - 0.020887071266770363
Iter 69: MSE - 0.021222468465566635
Iter 70: MSE - 0.025276022031903267
Iter 71: MSE - 0.030733997002243996
Iter 72: MSE - 0.04271642863750458
Iter 73: MSE - 0.02810542657971382
Iter 74: MSE - 0.022568898275494576
Iter 75: MSE - 0.01839311793446541
Iter 76: MSE - 0.01890154369175434
Iter 77: MSE - 0.018532084301114082
Iter 78: MSE - 0.01618584245443344
Iter 79: MSE - 0.015836117789149284
Iter 80: MSE - 0.017939060926437378
Iter 81: MSE - 0.019404901191592216
Iter 82: MSE - 0.016371341422200203
Iter 83: MSE - 0.015699634328484535
Iter 84: MSE - 0.01592417061328888
Iter 85: MSE - 0.019135475158691406
Iter 86: MSE - 0.022909261286258698
Iter 87: MSE - 0.023573007434606552
Iter 88: MSE - 0.021982165053486824
Iter 89: MSE - 0.018425147980451584
Iter 90: MSE - 0.01563466712832451
Iter 91: MSE - 0.013971771113574505
Iter 92: MSE - 0.01416727527976036
Iter 93: MSE - 0.015534605830907822
Iter 94: MSE - 0.014595726504921913
Iter 95: MSE - 0.014337477274239063
Iter 96: MSE - 0.014064222574234009
Iter 97: MSE - 0.014185305684804916
Iter 98: MSE - 0.015107640065252781
Iter 99: MSE - 0.013605066575109959
