START TRAINING DENOISER AT:  101633747612487
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.33216309547424316
Iter 1: MSE - 0.7315494418144226
Iter 2: MSE - 0.41125473380088806
Iter 3: MSE - 0.40507858991622925
Iter 4: MSE - 0.34839534759521484
Iter 5: MSE - 0.24609842896461487
Iter 6: MSE - 0.24065856635570526
Iter 7: MSE - 0.19905349612236023
Iter 8: MSE - 0.16192898154258728
Iter 9: MSE - 0.15356631577014923
Iter 10: MSE - 0.12891273200511932
Iter 11: MSE - 0.11733982712030411
Iter 12: MSE - 0.10848924517631531
Iter 13: MSE - 0.10363779217004776
Iter 14: MSE - 0.09781026840209961
Iter 15: MSE - 0.0925610363483429
Iter 16: MSE - 0.08730526268482208
Iter 17: MSE - 0.08159035444259644
Iter 18: MSE - 0.07779180258512497
Iter 19: MSE - 0.07489956170320511
Iter 20: MSE - 0.07284535467624664
Iter 21: MSE - 0.07209257781505585
Iter 22: MSE - 0.0662822276353836
Iter 23: MSE - 0.06615322083234787
Iter 24: MSE - 0.06557392328977585
Iter 25: MSE - 0.06122714653611183
Iter 26: MSE - 0.05547216907143593
Iter 27: MSE - 0.056171756237745285
Iter 28: MSE - 0.05620850995182991
Iter 29: MSE - 0.05198264122009277
Iter 30: MSE - 0.05196116492152214
Iter 31: MSE - 0.050565700978040695
Iter 32: MSE - 0.046926435083150864
Iter 33: MSE - 0.053150925785303116
Iter 34: MSE - 0.04935769736766815
Iter 35: MSE - 0.04409526661038399
Iter 36: MSE - 0.04622681066393852
Iter 37: MSE - 0.046317797154188156
Iter 38: MSE - 0.043361563235521317
Iter 39: MSE - 0.0434999018907547
Iter 40: MSE - 0.04081996530294418
Iter 41: MSE - 0.03698059171438217
Iter 42: MSE - 0.0359283871948719
Iter 43: MSE - 0.04314911738038063
Iter 44: MSE - 0.041801322251558304
Iter 45: MSE - 0.0373971201479435
Iter 46: MSE - 0.03452033922076225
Iter 47: MSE - 0.03316798806190491
Iter 48: MSE - 0.03240189701318741
Iter 49: MSE - 0.03245328739285469
Iter 50: MSE - 0.03187521547079086
Iter 51: MSE - 0.03444190323352814
Iter 52: MSE - 0.034835826605558395
Iter 53: MSE - 0.03327503427863121
Iter 54: MSE - 0.03047144040465355
Iter 55: MSE - 0.031011516228318214
Iter 56: MSE - 0.034429021179676056
Iter 57: MSE - 0.030951250344514847
Iter 58: MSE - 0.02688722126185894
Iter 59: MSE - 0.027983201667666435
Iter 60: MSE - 0.02875898964703083
Iter 61: MSE - 0.03611048683524132
Iter 62: MSE - 0.0357549712061882
Iter 63: MSE - 0.027377014979720116
Iter 64: MSE - 0.031712621450424194
Iter 65: MSE - 0.030838005244731903
Iter 66: MSE - 0.0261812936514616
Iter 67: MSE - 0.025939609855413437
Iter 68: MSE - 0.02531527541577816
Iter 69: MSE - 0.023034630343317986
Iter 70: MSE - 0.022815288975834846
Iter 71: MSE - 0.02489304542541504
Iter 72: MSE - 0.023908624425530434
Iter 73: MSE - 0.02425578609108925
Iter 74: MSE - 0.027829132974147797
Iter 75: MSE - 0.02480786107480526
Iter 76: MSE - 0.02315387688577175
Iter 77: MSE - 0.024512354284524918
Iter 78: MSE - 0.022727733477950096
Iter 79: MSE - 0.025383654981851578
Iter 80: MSE - 0.024201955646276474
Iter 81: MSE - 0.024241382256150246
Iter 82: MSE - 0.02036738023161888
Iter 83: MSE - 0.02299649454653263
Iter 84: MSE - 0.021205982193350792
Iter 85: MSE - 0.021989421918988228
Iter 86: MSE - 0.021512778475880623
Iter 87: MSE - 0.02778206765651703
Iter 88: MSE - 0.036503780633211136
Iter 89: MSE - 0.023799948394298553
Iter 90: MSE - 0.023335298523306847
Iter 91: MSE - 0.020572414621710777
Iter 92: MSE - 0.021868117153644562
Iter 93: MSE - 0.02120513841509819
Iter 94: MSE - 0.02016266994178295
Iter 95: MSE - 0.019369125366210938
Iter 96: MSE - 0.01970747299492359
Iter 97: MSE - 0.017321595922112465
Iter 98: MSE - 0.017083199694752693
