START TRAINING DENOISER AT:  108459634530328
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.3041313588619232
Iter 1: MSE - 0.28443413972854614
Iter 2: MSE - 0.3177420496940613
Iter 3: MSE - 0.23211827874183655
Iter 4: MSE - 0.21905875205993652
Iter 5: MSE - 0.1565215140581131
Iter 6: MSE - 0.15308958292007446
Iter 7: MSE - 0.12881439924240112
Iter 8: MSE - 0.11619547754526138
Iter 9: MSE - 0.12095856666564941
Iter 10: MSE - 0.09876344352960587
Iter 11: MSE - 0.08689569681882858
Iter 12: MSE - 0.08094596117734909
Iter 13: MSE - 0.0727340504527092
Iter 14: MSE - 0.06521309167146683
Iter 15: MSE - 0.06622565537691116
Iter 16: MSE - 0.06334927678108215
Iter 17: MSE - 0.05429273843765259
Iter 18: MSE - 0.053261470049619675
Iter 19: MSE - 0.05208851397037506
Iter 20: MSE - 0.04936959967017174
Iter 21: MSE - 0.04518689215183258
Iter 22: MSE - 0.04326977580785751
Iter 23: MSE - 0.043721266090869904
Iter 24: MSE - 0.04003117233514786
Iter 25: MSE - 0.03704178333282471
Iter 26: MSE - 0.036537397652864456
Iter 27: MSE - 0.03389481082558632
Iter 28: MSE - 0.033327531069517136
Iter 29: MSE - 0.03159958869218826
Iter 30: MSE - 0.030603734776377678
Iter 31: MSE - 0.028872836381196976
Iter 32: MSE - 0.02891944721341133
Iter 33: MSE - 0.028960004448890686
Iter 34: MSE - 0.02485930360853672
Iter 35: MSE - 0.026668956503272057
Iter 36: MSE - 0.02538600191473961
Iter 37: MSE - 0.024820048362016678
Iter 38: MSE - 0.023518182337284088
Iter 39: MSE - 0.023919668048620224
Iter 40: MSE - 0.02213660255074501
Iter 41: MSE - 0.022416358813643456
Iter 42: MSE - 0.0214356891810894
Iter 43: MSE - 0.021463030949234962
Iter 44: MSE - 0.019742488861083984
Iter 45: MSE - 0.019405445083975792
Iter 46: MSE - 0.019156722351908684
Iter 47: MSE - 0.018860910087823868
Iter 48: MSE - 0.01888727955520153
Iter 49: MSE - 0.017666038125753403
Iter 50: MSE - 0.01815745048224926
Iter 51: MSE - 0.01673845574259758
Iter 52: MSE - 0.017332497984170914
Iter 53: MSE - 0.016551831737160683
Iter 54: MSE - 0.017976319417357445
Iter 55: MSE - 0.016863979399204254
Iter 56: MSE - 0.015957240015268326
Iter 57: MSE - 0.01727948524057865
Iter 58: MSE - 0.016083119437098503
Iter 59: MSE - 0.015171458013355732
Iter 60: MSE - 0.014608832076191902
Iter 61: MSE - 0.015978913754224777
Iter 62: MSE - 0.01514393649995327
Iter 63: MSE - 0.015035266056656837
Iter 64: MSE - 0.015520269051194191
Iter 65: MSE - 0.01485524047166109
Iter 66: MSE - 0.014990575611591339
Iter 67: MSE - 0.014229431748390198
Iter 68: MSE - 0.01509271189570427
Iter 69: MSE - 0.015387950465083122
Iter 70: MSE - 0.014442965388298035
Iter 71: MSE - 0.015131130814552307
Iter 72: MSE - 0.014041059650480747
Iter 73: MSE - 0.015250601805746555
Iter 74: MSE - 0.013612181879580021
Iter 75: MSE - 0.015133906155824661
Iter 76: MSE - 0.013974498957395554
Iter 77: MSE - 0.01463760994374752
Iter 78: MSE - 0.01371118426322937
Iter 79: MSE - 0.013901716098189354
Iter 80: MSE - 0.013269702903926373
Iter 81: MSE - 0.013596112839877605
Iter 82: MSE - 0.013261119835078716
Iter 83: MSE - 0.012934783473610878
Iter 84: MSE - 0.014165740460157394
Iter 85: MSE - 0.013069644570350647
Iter 86: MSE - 0.0150303915143013
Iter 87: MSE - 0.012653575278818607
Iter 88: MSE - 0.016125889495015144
Iter 89: MSE - 0.01307400967925787
Iter 90: MSE - 0.015755031257867813
Iter 91: MSE - 0.013107786886394024
Iter 92: MSE - 0.014166687615215778
Iter 93: MSE - 0.013012816198170185
Iter 94: MSE - 0.013249283656477928
Iter 95: MSE - 0.01379009336233139
Iter 96: MSE - 0.012689245864748955
Iter 97: MSE - 0.012731622904539108
Iter 98: MSE - 0.013515003025531769
Iter 99: MSE - 0.012828168459236622
Iter 100: MSE - 0.012563474476337433
Iter 101: MSE - 0.0131063936278224
Iter 102: MSE - 0.012217621318995953
Iter 103: MSE - 0.013140884228050709
Iter 104: MSE - 0.012035679072141647
Iter 105: MSE - 0.012989244423806667
Iter 106: MSE - 0.011905067600309849
Iter 107: MSE - 0.012609781697392464
Iter 108: MSE - 0.011872941628098488
Iter 109: MSE - 0.0117743369191885
Iter 110: MSE - 0.011655417270958424
Iter 111: MSE - 0.012247052043676376
Iter 112: MSE - 0.011520304717123508
Iter 113: MSE - 0.011865313164889812
Iter 114: MSE - 0.011249423027038574
Iter 115: MSE - 0.011766202747821808
Iter 116: MSE - 0.011665399186313152
Iter 117: MSE - 0.013282007537782192
Iter 118: MSE - 0.011566021479666233
Iter 119: MSE - 0.014220071025192738
Iter 120: MSE - 0.013351681642234325
Iter 121: MSE - 0.012360617518424988
Iter 122: MSE - 0.012581824325025082
Iter 123: MSE - 0.01261076983064413
Iter 124: MSE - 0.01202961802482605
Iter 125: MSE - 0.012841052375733852
Iter 126: MSE - 0.013402167707681656
Iter 127: MSE - 0.013141472823917866
Iter 128: MSE - 0.012322459369897842
Iter 129: MSE - 0.012723869644105434
Iter 130: MSE - 0.012622070498764515
Iter 131: MSE - 0.011830526404082775
Iter 132: MSE - 0.011594665236771107
Iter 133: MSE - 0.011174236424267292
Iter 134: MSE - 0.011973293498158455
Iter 135: MSE - 0.012077435851097107
Iter 136: MSE - 0.011323492974042892
Iter 137: MSE - 0.011084480211138725
Iter 138: MSE - 0.011396883986890316
Iter 139: MSE - 0.010941638611257076
Iter 140: MSE - 0.011141739785671234
Iter 141: MSE - 0.011159094050526619
Iter 142: MSE - 0.010897772386670113
Iter 143: MSE - 0.01118733175098896
Iter 144: MSE - 0.011815340258181095
Iter 145: MSE - 0.012792768888175488
Iter 146: MSE - 0.010748479515314102
Iter 147: MSE - 0.011365470476448536
Iter 148: MSE - 0.010681587271392345
Iter 149: MSE - 0.010895567946135998
Iter 150: MSE - 0.011407703161239624
Iter 151: MSE - 0.011032484471797943
Iter 152: MSE - 0.010468200780451298
Iter 153: MSE - 0.010525588877499104
Iter 154: MSE - 0.01058992464095354
Iter 155: MSE - 0.0106882955878973
Iter 156: MSE - 0.010760768316686153
Iter 157: MSE - 0.010510592721402645
Iter 158: MSE - 0.01054392196238041
Iter 159: MSE - 0.01097959280014038
Iter 160: MSE - 0.010569699108600616
Iter 161: MSE - 0.01045879814773798
Iter 162: MSE - 0.010561265982687473
Iter 163: MSE - 0.011537929065525532
Iter 164: MSE - 0.010124919936060905
Iter 165: MSE - 0.0124313123524189
Iter 166: MSE - 0.011827505193650723
Iter 167: MSE - 0.011793924495577812
Iter 168: MSE - 0.01044959295541048
Iter 169: MSE - 0.011845654807984829
Iter 170: MSE - 0.011812292039394379
Iter 171: MSE - 0.011978605762124062
Iter 172: MSE - 0.010587284341454506
Iter 173: MSE - 0.011710861697793007
Iter 174: MSE - 0.009968096390366554
Iter 175: MSE - 0.011053689755499363
Iter 176: MSE - 0.010010909289121628
Iter 177: MSE - 0.009945197030901909
Iter 178: MSE - 0.009869823232293129
Iter 179: MSE - 0.010334581136703491
Iter 180: MSE - 0.009759233333170414
Iter 181: MSE - 0.010000859387218952
Iter 182: MSE - 0.010927800089120865
Iter 183: MSE - 0.009999443776905537
Iter 184: MSE - 0.010430031456053257
Iter 185: MSE - 0.010053948499262333
