START TRAINING DENOISER AT:  577590060267096
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.40641358494758606
Iter 1: MSE - 0.7134702801704407
Iter 2: MSE - 5.887829780578613
Iter 3: MSE - 3.0548408031463623
Iter 4: MSE - 0.9917224645614624
Iter 5: MSE - 0.5200205445289612
Iter 6: MSE - 0.4502313733100891
Iter 7: MSE - 0.43222615122795105
Iter 8: MSE - 0.41044679284095764
Iter 9: MSE - 0.4004531800746918
Iter 10: MSE - 0.3791978657245636
Iter 11: MSE - 0.3709579408168793
Iter 12: MSE - 0.34928175806999207
Iter 13: MSE - 0.34020310640335083
Iter 14: MSE - 0.33781176805496216
Iter 15: MSE - 0.3159926235675812
Iter 16: MSE - 0.30579954385757446
Iter 17: MSE - 0.3142712414264679
Iter 18: MSE - 0.2953130304813385
Iter 19: MSE - 0.29066258668899536
Iter 20: MSE - 0.28093215823173523
Iter 21: MSE - 0.2757154107093811
Iter 22: MSE - 0.2801039218902588
Iter 23: MSE - 0.2722448408603668
Iter 24: MSE - 0.26174235343933105
Iter 25: MSE - 0.2713397741317749
Iter 26: MSE - 0.2620970904827118
Iter 27: MSE - 0.25251665711402893
Iter 28: MSE - 0.2431993931531906
Iter 29: MSE - 0.2492319643497467
Iter 30: MSE - 0.23794817924499512
Iter 31: MSE - 0.22847580909729004
Iter 32: MSE - 0.23408621549606323
Iter 33: MSE - 0.21808449923992157
Iter 34: MSE - 0.23473744094371796
Iter 35: MSE - 0.20764507353305817
Iter 36: MSE - 0.21786469221115112
Iter 37: MSE - 0.2112717628479004
Iter 38: MSE - 0.2062973976135254
Iter 39: MSE - 0.21412165462970734
Iter 40: MSE - 0.18979039788246155
Iter 41: MSE - 0.18848736584186554
Iter 42: MSE - 0.18541237711906433
Iter 43: MSE - 0.18881632387638092
Iter 44: MSE - 0.17282737791538239
Iter 45: MSE - 0.16518084704875946
Iter 46: MSE - 0.16820396482944489
Iter 47: MSE - 0.17929178476333618
Iter 48: MSE - 0.17287969589233398
Iter 49: MSE - 0.1662408709526062
Iter 50: MSE - 0.17403212189674377
Iter 51: MSE - 0.15749193727970123
Iter 52: MSE - 0.1449984759092331
Iter 53: MSE - 0.1391376405954361
Iter 54: MSE - 0.14033882319927216
Iter 55: MSE - 0.15318088233470917
Iter 56: MSE - 0.15639445185661316
Iter 57: MSE - 0.1353367120027542
Iter 58: MSE - 0.14316880702972412
Iter 59: MSE - 0.14888395369052887
Iter 60: MSE - 0.12268660217523575
Iter 61: MSE - 0.12509797513484955
Iter 62: MSE - 0.10101410001516342
Iter 63: MSE - 0.11073650419712067
Iter 64: MSE - 0.1020740270614624
Iter 65: MSE - 0.09348627179861069
Iter 66: MSE - 0.10223285853862762
Iter 67: MSE - 0.09286084026098251
Iter 68: MSE - 0.09040795266628265
Iter 69: MSE - 0.09234772622585297
Iter 70: MSE - 0.09119671583175659
Iter 71: MSE - 0.12672245502471924
