START TRAINING DENOISER AT:  604058497619502
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.32211926579475403
Iter 1: MSE - 0.3562133014202118
Iter 2: MSE - 0.24847666919231415
Iter 3: MSE - 0.17274349927902222
Iter 4: MSE - 0.15328402817249298
Iter 5: MSE - 0.13270393013954163
Iter 6: MSE - 0.10993676632642746
Iter 7: MSE - 0.11028362810611725
Iter 8: MSE - 0.09880302101373672
Iter 9: MSE - 0.08406811207532883
Iter 10: MSE - 0.0782441645860672
Iter 11: MSE - 0.07093735784292221
Iter 12: MSE - 0.06767791509628296
Iter 13: MSE - 0.06181539595127106
Iter 14: MSE - 0.05710098519921303
Iter 15: MSE - 0.05488264560699463
Iter 16: MSE - 0.05297894403338432
Iter 17: MSE - 0.0492992140352726
Iter 18: MSE - 0.045886676758527756
Iter 19: MSE - 0.04243319854140282
Iter 20: MSE - 0.04072248935699463
Iter 21: MSE - 0.03947771340608597
Iter 22: MSE - 0.03740767389535904
Iter 23: MSE - 0.034935228526592255
Iter 24: MSE - 0.03346491977572441
Iter 25: MSE - 0.033270057290792465
Iter 26: MSE - 0.029877301305532455
Iter 27: MSE - 0.028345754370093346
Iter 28: MSE - 0.02791566587984562
Iter 29: MSE - 0.026625510305166245
Iter 30: MSE - 0.025755438953638077
Iter 31: MSE - 0.02451406419277191
Iter 32: MSE - 0.023547444492578506
Iter 33: MSE - 0.0225844569504261
Iter 34: MSE - 0.021368682384490967
Iter 35: MSE - 0.020066946744918823
Iter 36: MSE - 0.019930902868509293
Iter 37: MSE - 0.01959175616502762
Iter 38: MSE - 0.018775610253214836
Iter 39: MSE - 0.018423110246658325
Iter 40: MSE - 0.018946532160043716
Iter 41: MSE - 0.019006863236427307
Iter 42: MSE - 0.016548732295632362
Iter 43: MSE - 0.017223622649908066
Iter 44: MSE - 0.016164926812052727
Iter 45: MSE - 0.016326654702425003
Iter 46: MSE - 0.016297291964292526
Iter 47: MSE - 0.015029005706310272
Iter 48: MSE - 0.01594356633722782
Iter 49: MSE - 0.015052910894155502
Iter 50: MSE - 0.014334379695355892
Iter 51: MSE - 0.014639338478446007
Iter 52: MSE - 0.014548374339938164
Iter 53: MSE - 0.013909636996686459
Iter 54: MSE - 0.013525500893592834
