START TRAINING DENOISER AT:  620728165357428
Training Denoiser. Epoch: 0
Iter 0: MSE - 0.31829550862312317
Iter 1: MSE - 0.4456319808959961
Iter 2: MSE - 0.33918142318725586
Iter 3: MSE - 0.2479247748851776
Iter 4: MSE - 0.1913042813539505
Iter 5: MSE - 0.1668197512626648
Iter 6: MSE - 0.13051143288612366
Iter 7: MSE - 0.11868523061275482
Iter 8: MSE - 0.10547243058681488
Iter 9: MSE - 0.09445386379957199
Iter 10: MSE - 0.08869731426239014
Iter 11: MSE - 0.08240873366594315
Iter 12: MSE - 0.07859262079000473
Iter 13: MSE - 0.07228679209947586
Iter 14: MSE - 0.06882383674383163
Iter 15: MSE - 0.06495757400989532
Iter 16: MSE - 0.05940193682909012
Iter 17: MSE - 0.057388633489608765
Iter 18: MSE - 0.05398089066147804
Iter 19: MSE - 0.05216263607144356
Iter 20: MSE - 0.04855833947658539
Iter 21: MSE - 0.046435389667749405
Iter 22: MSE - 0.04496295377612114
Iter 23: MSE - 0.041287634521722794
Iter 24: MSE - 0.04071064665913582
Iter 25: MSE - 0.03698410466313362
Iter 26: MSE - 0.038469117134809494
Iter 27: MSE - 0.03705689311027527
Iter 28: MSE - 0.03367799147963524
Iter 29: MSE - 0.032878220081329346
Iter 30: MSE - 0.03301483020186424
Iter 31: MSE - 0.03244546055793762
Iter 32: MSE - 0.03326800838112831
Iter 33: MSE - 0.03227035701274872
Iter 34: MSE - 0.03064015507698059
Iter 35: MSE - 0.02734418399631977
Iter 36: MSE - 0.026754001155495644
Iter 37: MSE - 0.027864256873726845
Iter 38: MSE - 0.026303544640541077
Iter 39: MSE - 0.02573273703455925
Iter 40: MSE - 0.024361906573176384
Iter 41: MSE - 0.02289685606956482
Iter 42: MSE - 0.02206367254257202
Iter 43: MSE - 0.0218571275472641
Iter 44: MSE - 0.023210886865854263
Iter 45: MSE - 0.024555405601859093
Iter 46: MSE - 0.025773106142878532
Iter 47: MSE - 0.019873792305588722
Iter 48: MSE - 0.020787468180060387
Iter 49: MSE - 0.021154778078198433
Iter 50: MSE - 0.01902478002011776
Iter 51: MSE - 0.020230453461408615
Iter 52: MSE - 0.022345799952745438
Iter 53: MSE - 0.018464313820004463
Iter 54: MSE - 0.0182142686098814
Iter 55: MSE - 0.018414931371808052
Iter 56: MSE - 0.016921289265155792
Iter 57: MSE - 0.016227373853325844
Iter 58: MSE - 0.015863005071878433
Iter 59: MSE - 0.016743147745728493
Iter 60: MSE - 0.015906626358628273
Iter 61: MSE - 0.015070578083395958
Iter 62: MSE - 0.016018720343708992
Iter 63: MSE - 0.015436210669577122
Iter 64: MSE - 0.015029690228402615
Iter 65: MSE - 0.015306777320802212
Iter 66: MSE - 0.01506854873150587
Iter 67: MSE - 0.015729699283838272
Iter 68: MSE - 0.014835292473435402
Iter 69: MSE - 0.014554460532963276
Iter 70: MSE - 0.014701205305755138
Iter 71: MSE - 0.013744018971920013
Iter 72: MSE - 0.014099028892815113
Iter 73: MSE - 0.0136848334223032
Iter 74: MSE - 0.01301400177180767
Iter 75: MSE - 0.01347399316728115
Iter 76: MSE - 0.01319769024848938
Iter 77: MSE - 0.013053014874458313
Iter 78: MSE - 0.01258418895304203
Iter 79: MSE - 0.012538880109786987
Iter 80: MSE - 0.01318096648901701
Iter 81: MSE - 0.013134096749126911
Iter 82: MSE - 0.012816688045859337
Iter 83: MSE - 0.012794473208487034
Iter 84: MSE - 0.012927068397402763
Iter 85: MSE - 0.012985613197088242
Iter 86: MSE - 0.012181560508906841
Iter 87: MSE - 0.013554884120821953
Iter 88: MSE - 0.014176884666085243
Iter 89: MSE - 0.012533873319625854
Iter 90: MSE - 0.012508656829595566
Iter 91: MSE - 0.012714534066617489
Iter 92: MSE - 0.012201872654259205
Iter 93: MSE - 0.012415247038006783
Iter 94: MSE - 0.012525411322712898
Iter 95: MSE - 0.011959036812186241
Iter 96: MSE - 0.0110835125669837
Iter 97: MSE - 0.011144672520458698
Iter 98: MSE - 0.011163814924657345
Iter 99: MSE - 0.011032952927052975
Iter 100: MSE - 0.011115066707134247
Iter 101: MSE - 0.011885103769600391
Iter 102: MSE - 0.011223237961530685
Iter 103: MSE - 0.01089849229902029
Iter 104: MSE - 0.011327062733471394
Iter 105: MSE - 0.012238468043506145
Iter 106: MSE - 0.010693460702896118
Iter 107: MSE - 0.013063989579677582
Iter 108: MSE - 0.01405300758779049
Iter 109: MSE - 0.011915169656276703
Iter 110: MSE - 0.01212931890040636
Iter 111: MSE - 0.01076278556138277
Iter 112: MSE - 0.010442305356264114
Iter 113: MSE - 0.010057940147817135
Iter 114: MSE - 0.010126619599759579
Iter 115: MSE - 0.011570900678634644
Iter 116: MSE - 0.010982640087604523
Iter 117: MSE - 0.010228795930743217
Iter 118: MSE - 0.01048419252038002
Iter 119: MSE - 0.010104246437549591
Iter 120: MSE - 0.00968997459858656
Iter 121: MSE - 0.010119589045643806
Iter 122: MSE - 0.010437914170324802
Iter 123: MSE - 0.010355234146118164
Iter 124: MSE - 0.010578208602964878
Iter 125: MSE - 0.009928835555911064
Iter 126: MSE - 0.00994538702070713
Iter 127: MSE - 0.009839006699621677
Iter 128: MSE - 0.00979373138397932
Iter 129: MSE - 0.009419769048690796
Iter 130: MSE - 0.009445032104849815
Iter 131: MSE - 0.009579977951943874
Iter 132: MSE - 0.010306930169463158
Iter 133: MSE - 0.01003175787627697
Iter 134: MSE - 0.010567082092165947
Iter 135: MSE - 0.010957321152091026
Iter 136: MSE - 0.012728589586913586
Iter 137: MSE - 0.010610930621623993
Iter 138: MSE - 0.009504023008048534
Iter 139: MSE - 0.010011696256697178
Iter 140: MSE - 0.009152968414127827
Iter 141: MSE - 0.009135070256888866
Iter 142: MSE - 0.009289474226534367
Iter 143: MSE - 0.009688029997050762
Iter 144: MSE - 0.009736970998346806
Iter 145: MSE - 0.009739412926137447
Iter 146: MSE - 0.009282415732741356
Iter 147: MSE - 0.010440265759825706
Iter 148: MSE - 0.008840390481054783
Iter 149: MSE - 0.0091921491548419
Iter 150: MSE - 0.009542904794216156
Iter 151: MSE - 0.008976546116173267
Iter 152: MSE - 0.009568977169692516
Iter 153: MSE - 0.008820554241538048
Iter 154: MSE - 0.009140713140368462
Iter 155: MSE - 0.008768067695200443
Iter 156: MSE - 0.008631743490695953
Iter 157: MSE - 0.009175700135529041
Iter 158: MSE - 0.008982878178358078
